LOGOHSUN,AGNFRAC,LOGZ,LOGQ,('C__3_977000A', 'N__3_991000A', 'H__1_102572A', 'BLND_103500A', 'INCI_121500A', 'H__1_121567A', 'N__5_123882A', 'BLND_124000A', 'N__5_124280A', 'SI_2_126474A', 'BLND_130400A', 'SI_2_130928A', 'C__2_133500A', 'BLND_139700A', 'BLND_140200A', 'BLND_140600A', 'N__4_148332A', 'N__4_148650A', 'BLND_148600A', 'SI_2_153343A', 'C__4_154819A', 'BLND_154900A', 'C__4_155078A', 'HE_2_164043A', 'BLND_166600A', 'AL_2_167079A', 'N__4_171860A', 'BLND_175000A', 'BLND_186000A', 'BLND_188800A', 'C__3_190668A', 'BLND_190900A', 'C__3_190873A', 'C__3_229690A', 'O__3_232095A', 'BLND_247100A', 'BLND_232600A', 'BLND_233500A', 'BLND_266500A', 'BLND_279800A', 'MG_2_280271A', 'NE_3_334218A', 'NE_5_342603A', 'BA_C_0', 'BAC__364600A', 'O__2_372603A', 'BLND_372700A', 'O__2_372881A', 'NE_3_386876A', 'HE_1_388863A', 'CA_2_393366A', 'HE_1_402620A', 'S__2_406860A', 'HE_1_447149A', 'BLND_407400A', 'S__2_407635A', 'H__1_410173A', 'H__1_434046A', 'BLND_436300A', 'HE_2_468564A', 'CA_B_468564A', 'AR_4_471126A', 'BLND_472000A', 'AR_4_474012A', 'INCI_486000A', 'H__1_486133A', 'O__3_495891A', 'O__3_500684A', 'HE_1_501568A', 'AR_3_519182A', 'N__1_520026A', 'FE14_530301A', 'O__1_557734A', 'N__2_575461A', 'HE_1_587564A', 'O__1_630030A', 'BLND_630000A', 'S__3_631206A', 'O__1_636378A', 'N__2_654805A', 'H__1_656281A', 'N__2_658345A', 'HE_1_667815A', 'S__2_671644A', 'BLND_672000A', 'S__2_673082A', 'AR_5_700583A', 'AR_3_713579A', 'O__2_731892A', 'O__2_731999A', 'BLND_732500A', 'AR_4_733215A', 'AR_3_775111A', 'BLND_844600A', 'CA_2_849802A', 'CA_2_854209A', 'CA_2_866214A', 'BLND_857900A', 'S__3_906862A', 'H__1_922897A', 'S__3_953062A', 'H__1_954593A', 'HE_1_108303m', 'H__1_187510m', 'H__1_128180m', 'H__1_109380m', 'H__1_100493m', 'H__1_405113m', 'H__1_262513m', 'H__1_216551m', 'H__1_194454m', 'C__2_157636m', 'N__2_121767m', 'N__2_205244m', 'N__3_573238m', 'O__1_631679m', 'O__1_145495m', 'O__3_518004m', 'O__3_883323m', 'O__4_258832m', 'NE_2_128101m', 'NE_3_155509m', 'NE_3_360036m', 'NE_5_143228m', 'NE_5_242065m', 'NE_6_764318m', 'NA_3_731706m', 'NA_4_903098m', 'NA_4_213162m', 'NA_6_143228m', 'NA_6_861836m', 'MG_4_448712m', 'MG_5_560700m', 'MG_5_135464m', 'MG_7_550177m', 'MG_7_900655m', 'MG_8_302765m', 'AL_5_290450m', 'AL_6_365932m', 'AL_6_911329m', 'AL_8_582933m', 'AL_8_369722m', 'SI_2_348046m', 'SI_6_196247m', 'SI_7_248071m', 'SI_7_651288m', 'SI_9_392820m', 'SI_9_258394m', 'SI10_143008m', 'S__3_187078m', 'S__3_334704m', 'S__4_105076m', 'S__8_991400A', 'S__9_125201m', 'S__9_375414m', 'S_11_191960m', 'S_11_139238m', 'AR_2_698337m', 'AR_3_898898m', 'AR_3_218253m', 'AR_5_789971m', 'AR_5_130985m', 'AR_6_452800m', 'AR10_553402A', 'AR11_259535m', 'CA_4_320610m', 'CA_5_415739m', 'CA_5_114792m', 'CA_8_232117m', 'SC_5_231119m', 'TI_6_171509m', 'V__7_130376m', 'CR_8_101065m', 'MN_9_796849A', 'NI12_423090A', 'O__3_166081A', 'O__3_166615A', 'O__5_121834A', 'SI_3_189203A', 'BLND_233500A_1')
8.76,0,-1.301029996,6.477,8.15E-08,6.22E-09,0.024400236,0,113.7487974,34.57682878,8.96E-17,1.38E-16,4.84E-17,0.001533255,0.003579343,0.001557121,0.00037038,1.47E-05,3.10E-11,2.65E-07,4.62E-09,3.11E-09,7.73E-09,0.00298352,1.19E-06,1.80E-06,6.06E-07,0.001893672,0.000239037,0,7.67E-18,2.91E-05,0.000228717,0.017503181,0.003151361,0.005232923,0.002081562,2.45E-08,4.09E-05,0.012946836,0.026245306,0.026545421,0.01521337,0.142134012,0.047816641,3.76E-05,0,3.329195245,13.76493591,0.309950033,0.732751932,0.422178083,0.020515502,0.101831104,0.000155706,0.019173831,0.013586791,0.039533224,0.017812917,0.004226126,0.257583564,0.47403867,0.000162739,0.000159629,0.000170274,1.39E-06,1.59E-13,9.94E-07,10.96800223,1,0.005055709,0.015084262,0.024102914,0.000170718,0.001341485,0,0.000926508,0.00052922,0.100968313,0.034297508,0.045259303,0.001543621,0.010956209,0.008876509,2.845069985,0.026166475,0.028444182,0.17803296,0.312373918,0.134337854,2.23E-14,0.015043915,0.002235561,0.006558456,0.016055988,3.99E-09,0.003570963,3.17E-05,5.18E-07,4.58E-06,2.51E-06,7.61E-06,0.01650973,0.024474721,0.041469849,0.034902703,0.245942087,0.296911952,0.152025077,0.084783216,0.052617858,0.065646628,0.039458738,0.024831321,0.016542317,0.00414295,0.001143757,0.000341765,0.000164734,0.011111697,0.001063561,0.002545793,0.003140188,2.73E-09,0.049089103,0.021411502,0.001952546,0,0,0,0.000454548,1.13E-12,9.36E-14,0,0,1.08E-12,0,0,0,0,0,8.95E-18,0,0,0,0,0.125908569,0,0,0,0,0,0,0.017736569,0.026437417,5.82E-05,0,0,0,0,0,0.005959467,0.011136836,0.000763726,7.71E-14,1.29E-13,0,0,0,3.99E-09,3.58E-18,2.60E-19,0,1.20E-11,1.49E-18,0,0,0,0,6.08E-05,0.000178191,0,0.006987058,0.026545421
8.76,0,-1.301029996,6.727,3.29E-07,4.78E-08,0.024881987,0,113.3758159,34.2902218,3.07E-15,4.74E-15,1.66E-15,0.001985461,0.003841371,0.001966901,0.000522071,8.98E-05,7.78E-09,1.61E-06,5.19E-08,3.50E-08,8.69E-08,0.00358926,7.58E-06,1.14E-05,3.86E-06,0.002412967,0.000989142,0,1.55E-16,0.00011409,0.000486961,0.036542209,0.006304018,0.010461224,0.004156897,9.84E-08,0.000152649,0.016344232,0.027698209,0.027180994,0.018011569,0.141036904,0.047464967,7.67E-05,5.90E-17,3.355090172,13.32230024,0.360874811,0.851733845,0.490209422,0.034401584,0.103022241,0.000123995,0.019211804,0.01245213,0.039598478,0.016325053,0.003872924,0.257218424,0.474433136,0.000606768,0.000208841,0.000226158,5.10E-06,7.91E-10,3.65E-06,10.93203823,1,0.016358462,0.048807498,0.0243193,0.000222424,0.000953383,0,0.000730628,0.000611439,0.10111362,0.025840938,0.034098432,0.002529588,0.00825471,0.009248616,2.842237139,0.027263278,0.028433817,0.153614626,0.270065271,0.116450645,2.26E-13,0.017388251,0.002820986,0.008278219,0.020268506,1.60E-08,0.00412751,3.51E-05,4.12E-07,3.65E-06,2.00E-06,6.06E-06,0.024399418,0.024302905,0.061289325,0.034649055,0.255684103,0.294063786,0.150886256,0.084096885,0.052219507,0.064797228,0.03895196,0.024531197,0.01635011,0.003255174,0.001090915,0.000315495,0.00045346,0.007841124,0.000749002,0.007303802,0.008928141,4.92E-07,0.040186222,0.030489993,0.002778544,3.63E-16,4.39E-16,0,0.000683948,4.89E-09,4.06E-10,0,0,3.31E-09,3.41E-19,2.86E-20,0,0,0,6.44E-17,0,0,0,0,0.102054011,0,0,0,0,0,0,0.024773409,0.036316392,0.000228902,0,0,0,0,0,0.004321465,0.011961828,0.000823831,7.05E-13,1.17E-12,0,0,0,1.13E-08,2.72E-17,1.99E-18,0,6.27E-11,2.24E-17,0,0,0,0,0.000251786,0.000737371,3.79E-16,0.014567389,0.027180994
8.76,0,-1.301029996,6.977,1.21E-06,3.15E-07,0.0250964,0,113.0610482,33.90504982,5.45E-14,8.41E-14,2.96E-14,0.002424561,0.004099701,0.002380233,0.000700188,0.000457569,7.91E-08,8.75E-06,5.00E-07,3.36E-07,8.36E-07,0.004119135,4.43E-05,6.69E-05,2.26E-05,0.002903106,0.003727982,0,1.60E-15,0.000396921,0.001048215,0.068911374,0.011922757,0.019771416,0.007847734,3.61E-07,0.000519203,0.019284326,0.027741926,0.0262532,0.021625382,0.133186291,0.044849924,0.000148675,1.30E-16,3.382176019,12.86701422,0.394083351,0.929265509,0.534472653,0.055039023,0.103535182,9.35E-05,0.019115279,0.010847395,0.039386742,0.01422155,0.003374156,0.256852886,0.474812598,0.002063732,0.000244946,0.000264719,1.85E-05,4.05E-09,1.33E-05,10.90168739,1,0.048443718,0.14453836,0.024398618,0.000287642,0.000662091,0,0.000560292,0.000654687,0.100573773,0.01906438,0.025157479,0.003930037,0.006090014,0.008985409,2.838572354,0.026487337,0.028222846,0.126563223,0.222839868,0.096276645,1.43E-12,0.019936453,0.00332665,0.009763704,0.023913996,6.32E-08,0.004732393,3.84E-05,3.11E-07,2.75E-06,1.50E-06,4.57E-06,0.034253632,0.02412623,0.086041275,0.034386279,0.263781349,0.291091094,0.149683808,0.083376006,0.051809236,0.063913996,0.038421199,0.024219391,0.016150168,0.002488386,0.000980442,0.000277012,0.001123454,0.005487861,0.000523121,0.01925718,0.023396058,3.34E-06,0.031107135,0.04157695,0.00378536,6.55E-16,7.91E-16,0,0.001016689,2.13E-08,1.77E-09,0,0,1.58E-08,6.39E-19,5.30E-20,0,0,0,2.95E-16,0,0,0,0,0.079458309,0,0,0,0,0,0,0.032917913,0.047521362,0.000817812,0,0,0,0,0,0.003051763,0.012739612,0.000881451,4.02E-12,6.62E-12,0,0,0,2.93E-08,1.17E-16,8.59E-18,0,1.46E-10,1.74E-16,0,0,0,0,0.000948977,0.002779128,5.21E-17,0.027430052,0.0262532
8.76,0,-1.301029996,7.227,3.93E-06,1.58E-06,0.024734799,0,112.8904084,33.38261566,2.02E-14,3.12E-14,1.10E-14,0.002813959,0.004335921,0.002769759,0.000881291,0.00185511,4.76E-07,4.11E-05,3.59E-06,2.41E-06,6.00E-06,0.00452843,0.000227139,0.00034319,0.000116051,0.00333703,0.011488326,0,3.44E-16,0.001094222,0.00222328,0.116293969,0.020909259,0.034648555,0.013736832,1.16E-06,0.001451734,0.019972279,0.026015524,0.023978316,0.025823323,0.118490113,0.039937165,0.00026691,3.38E-15,3.410028953,12.40959773,0.380644366,0.896999938,0.515585536,0.082249122,0.103625331,6.73E-05,0.01894197,0.008929341,0.039022362,0.011707325,0.00277786,0.256616152,0.475297234,0.005770652,0.000262484,0.000279773,6.41E-05,1.57E-08,4.64E-05,10.88523378,1,0.118881291,0.354678741,0.024391363,0.000366969,0.000445112,0,0.00041468,0.000612179,0.099670424,0.013710959,0.018092774,0.005708125,0.004379967,0.007729933,2.833764554,0.0227863,0.027899341,0.099045155,0.174601121,0.075555966,2.54E-13,0.022606419,0.003442062,0.010104109,0.024766525,2.39E-07,0.005366229,4.09E-05,2.24E-07,1.98E-06,1.08E-06,3.29E-06,0.045114889,0.023949978,0.113324709,0.034124931,0.270849504,0.288082918,0.148475328,0.082668022,0.051401466,0.063022855,0.037895029,0.02390624,0.015949301,0.001826157,0.000790304,0.000219183,0.002257993,0.003789195,0.0003605,0.042392041,0.051241299,1.30E-05,0.022522639,0.053332717,0.004849689,1.39E-14,1.68E-14,0,0.001444311,6.67E-08,5.56E-09,0,0,4.84E-08,1.50E-17,1.23E-18,0,0,0,1.07E-15,0,0,0,0,0.059640855,7.28E-20,0,0,0,0,0,0.041144582,0.058538163,0.002563636,0,0,0,0,0,0.002096778,0.013438674,0.000934393,6.44E-13,1.05E-12,0,0,0,6.96E-08,3.69E-16,2.72E-17,0,2.50E-10,8.36E-16,0,0,0,0,0.002924352,0.008564036,1.95E-15,0.046220662,0.023978316
8.76,0,-1.301029996,7.477,1.11E-05,5.78E-06,0.024529462,0,112.7168163,32.67314553,1.40E-13,2.16E-13,7.61E-14,0.003158138,0.004539919,0.003136917,0.001040964,0.005691967,1.78E-06,0.000165082,1.86E-05,1.25E-05,3.11E-05,0.00484746,0.001001046,0.001516946,0.0005159,0.003811047,0.02746002,0,1.39E-15,0.002333467,0.004499631,0.179191783,0.034118588,0.056498339,0.022370833,3.27E-06,0.003164288,0.017617481,0.022912105,0.021089617,0.030026756,0.099674007,0.033657276,0.000444766,1.83E-14,3.437692213,11.94857916,0.315782999,0.743726166,0.427082052,0.114792717,0.103487514,4.69E-05,0.018737545,0.006979026,0.038596383,0.009150572,0.002171516,0.256446057,0.475827285,0.012578115,0.000269673,0.000281652,0.000208888,4.72E-08,0.000151741,10.86849551,1,0.229050314,0.68338664,0.024348628,0.000460389,0.000288778,0,0.000297287,0.000495756,0.098643745,0.009642022,0.012723582,0.007770328,0.003080022,0.005848505,2.828023127,0.017240743,0.027530139,0.073917456,0.130458851,0.056541395,3.00E-10,0.025278017,0.003031369,0.008899619,0.02184586,8.45E-07,0.006000431,4.27E-05,1.56E-07,1.38E-06,7.52E-07,2.29E-06,0.055834051,0.023773834,0.140250953,0.033863329,0.277577193,0.285038135,0.147256735,0.081962726,0.050993357,0.062126338,0.037363144,0.023591463,0.015747324,0.00128223,0.000566521,0.000154269,0.003574855,0.002579838,0.000244926,0.073785213,0.088697872,3.14E-05,0.015274634,0.064236068,0.005831898,6.17E-14,7.49E-14,0,0.001917948,1.60E-07,1.34E-08,0,0,1.18E-07,1.97E-17,1.60E-18,0,0,0,3.46E-15,0,0,0,0,0.043621602,1.65E-19,0,0,0,0,0,0.048422315,0.067901956,0.006976565,0,0,0,0,0,0.00140414,0.01400695,0.000978933,6.91E-10,1.12E-09,8.59E-18,0,0,1.55E-07,9.97E-16,7.37E-17,0,3.32E-10,2.96E-15,0,0,0,0,0.00698979,0.020469922,1.27E-14,0.071109608,0.021089617
8.76,0,-1.301029996,7.727,2.73E-05,1.66E-05,0.023615696,0,112.4470761,31.5794318,7.06E-13,1.09E-12,3.86E-13,0.003476407,0.004732773,0.003505246,0.00116368,0.012986439,4.57E-06,0.000569062,7.47E-05,5.00E-05,0.00012467,0.005134074,0.003657728,0.005607474,0.001949837,0.004429956,0.052696815,0,4.07E-15,0.004078358,0.008234644,0.256427563,0.052184451,0.08634718,0.034144321,7.99E-06,0.005558692,0.013569675,0.019082653,0.018198135,0.032766767,0.079858256,0.027050377,0.000694668,8.14E-14,3.462293674,11.48585629,0.230502546,0.542523164,0.311100202,0.151175063,0.10322452,3.20E-05,0.018539915,0.005213843,0.038194146,0.006836228,0.001622262,0.256381543,0.47634534,0.022095171,0.000273474,0.000278392,0.000621403,1.13E-07,0.000453672,10.84248635,1,0.357826594,1.067619807,0.024317052,0.000562619,0.000181892,0,0.000209508,0.000361324,0.097711235,0.006713812,0.008859606,0.009947536,0.002144689,0.004039394,2.820672516,0.011907406,0.027172486,0.053000552,0.093655274,0.040654722,6.57E-09,0.027664908,0.002328251,0.006838068,0.016825489,2.72E-06,0.00656716,4.49E-05,1.06E-07,9.40E-07,5.11E-07,1.56E-06,0.06519298,0.023603731,0.163760201,0.03361048,0.284328404,0.282002823,0.14603608,0.081278763,0.05059827,0.061235197,0.036844204,0.023282813,0.015549488,0.000868595,0.000373965,9.98E-05,0.004703933,0.001757379,0.000166454,0.104810701,0.125234706,5.34E-05,0.009832791,0.073412284,0.006652451,2.27E-13,2.77E-13,0,0.002370712,3.00E-07,2.51E-08,0,0,2.38E-07,3.67E-16,2.94E-17,0,0,0,9.45E-15,0,0,0,0,0.031524207,1.26E-18,0,0,0,0,0,0.053902559,0.074501442,0.016592318,0,0,0,0,0,0.000920047,0.014335461,0.001007241,1.39E-08,2.22E-08,5.97E-17,0,0,3.30E-07,4.70E-13,3.49E-14,0,3.74E-10,8.22E-15,0,0,0,0,0.013414125,0.039283304,6.02E-14,0.10160459,0.018198135
8.76,0,-1.301029996,7.977,5.91E-05,4.01E-05,0.022530883,0,112.6267593,29.85126913,6.35E-09,9.83E-09,3.48E-09,0.003796017,0.004908426,0.003898347,0.001242702,0.026055252,9.30E-06,0.001687389,0.000247262,0.000165266,0.000412513,0.005444349,0.01024307,0.016131154,0.005887776,0.005279639,0.086678754,0,2.18E-11,0.006230103,0.01279024,0.343832586,0.075250446,0.124417676,0.049124209,1.72E-05,0.008445086,0.009634933,0.015209883,0.015708008,0.031967918,0.061757114,0.021009157,0.001028456,3.02E-13,3.479503411,11.01960543,0.155915432,0.366726077,0.209824227,0.190326347,0.102802532,2.15E-05,0.018367341,0.003760371,0.037849548,0.004930551,0.001169904,0.25644398,0.476829943,0.033568926,0.000277918,0.000274654,0.00162848,2.23E-07,0.00119504,10.85981194,1,0.48592588,1.449818696,0.024315961,0.000659455,0.000109953,0,0.000147084,0.000248642,0.096976215,0.004663512,0.006154201,0.011950095,0.001489767,0.002664956,2.812457747,0.007855694,0.026855141,0.036866204,0.065244914,0.028378711,2.15E-08,0.029258497,0.001645658,0.004836519,0.011945486,7.67E-06,0.006945179,4.75E-05,7.16E-08,6.34E-07,3.43E-07,1.05E-06,0.071741135,0.02344355,0.180213263,0.033372257,0.291199066,0.279042468,0.144840514,0.08063733,0.050230471,0.060374286,0.036343802,0.022986602,0.015359228,0.000570616,0.000237146,6.19E-05,0.005478151,0.0011908,0.000112492,0.130081126,0.154335935,7.40E-05,0.006097044,0.080760248,0.007302256,7.01E-13,8.58E-13,0,0.002757145,4.63E-07,3.87E-08,0,0,4.13E-07,1.51E-15,1.20E-16,0,0,0,2.08E-14,0,0,0,0,0.022780407,3.19E-17,0,0,0,0,0,0.056782005,0.077432241,0.034687481,0,0,0,0,0,0.000591789,0.014242517,0.001005347,4.12E-08,6.56E-08,1.29E-15,0,0,6.72E-07,9.96E-12,7.40E-13,0,3.92E-10,1.93E-14,0,0,0,0,0.022063487,0.064614959,2.33E-13,0.136036507,0.015708008
8.76,0,-1.301029996,8.227,0.000114907,8.53E-05,0.022041416,0,113.2777005,27.13645495,2.66E-08,4.12E-08,1.46E-08,0.004127337,0.005070314,0.004328543,0.00127767,0.049986092,1.63E-05,0.00433287,0.000705208,0.000470808,0.001176047,0.005794777,0.023828156,0.037552156,0.013722454,0.006444754,0.129618297,0,5.29E-11,0.00863236,0.016491114,0.432514295,0.102608561,0.169513213,0.066824293,3.34E-05,0.011746871,0.006583527,0.0117138,0.013641477,0.026887034,0.046675939,0.015974347,0.00145588,9.58E-13,3.4819966,10.54736517,0.101786432,0.239276773,0.136458044,0.231689074,0.102080049,1.45E-05,0.018233658,0.002639716,0.037598516,0.003460671,0.000821048,0.256683666,0.477329624,0.046694483,0.000284448,0.000271695,0.003684747,3.87E-07,0.002718003,10.92257765,1,0.607695874,1.813135528,0.024358832,0.000726534,6.35E-05,0,0.000103594,0.000166503,0.096535311,0.003249884,0.004288673,0.013418946,0.00103817,0.001729099,2.803585226,0.005097203,0.026598053,0.02509164,0.044493896,0.019402565,5.23E-08,0.029366404,0.001116674,0.0032845,0.008161335,1.86E-05,0.006971102,5.03E-05,4.82E-08,4.26E-07,2.30E-07,7.04E-07,0.074238912,0.023300881,0.186487405,0.033160253,0.298216659,0.276257147,0.143711946,0.080061814,0.049899552,0.05956421,0.035883171,0.022713645,0.015183743,0.000367146,0.000148354,3.77E-05,0.005877608,0.000809921,7.63E-05,0.149482306,0.175753361,9.15E-05,0.003711018,0.086669757,0.007816412,1.86E-12,2.29E-12,0,0.003064689,6.31E-07,5.28E-08,0,0,6.47E-07,5.43E-15,4.34E-16,0,0,0,1.00E-11,0,0,0,0,0.016564982,1.66E-16,0,0,0,0,0,0.056501314,0.076040797,0.064259002,0,0,0,0,0,0.000375985,0.013511667,0.000957719,9.19E-08,1.45E-07,5.41E-15,0,0,1.32E-06,2.32E-11,1.74E-12,0,4.05E-10,9.83E-11,0,0,0,0,0.032993355,0.096624942,7.77E-13,0.170900943,0.013641477
8.76,0,-1.301029996,8.477,0.000204078,0.000162777,0.022057584,4.08E-17,114.4521125,23.34603254,8.73E-08,1.36E-07,4.82E-08,0.004450551,0.005204384,0.004773132,0.001269182,0.088096056,2.59E-05,0.009631827,0.001753677,0.001169472,0.002923149,0.006136839,0.051297505,0.079792649,0.028495456,0.008019236,0.181800581,0,1.01E-10,0.010954939,0.017982388,0.508509509,0.131636636,0.217340661,0.085560378,5.90E-05,0.015414234,0.004461169,0.008774943,0.011799644,0.019622147,0.034896793,0.012040721,0.001980452,2.69E-12,3.460637667,10.06089373,0.066002561,0.155101021,0.088036724,0.274611998,0.100740093,9.82E-06,0.018145708,0.001820566,0.03745433,0.002386691,0.000566124,0.257102707,0.477750367,0.061271586,0.000293932,0.000270003,0.007136433,6.08E-07,0.005289948,11.03581801,1,0.72282422,2.156637417,0.024447116,0.000738469,3.50E-05,0,7.36E-05,0.000110542,0.096455672,0.002283421,0.003013178,0.013977454,0.000729413,0.001124723,2.794116729,0.00331543,0.026411017,0.016869438,0.029996877,0.01312744,1.01E-07,0.027502732,0.000748962,0.002204978,0.005529775,3.83E-05,0.006528745,5.32E-05,3.26E-08,2.89E-07,1.55E-07,4.76E-07,0.0718265,0.023185211,0.180420323,0.032982544,0.305502295,0.273725135,0.1426787,0.079574056,0.049620585,0.058835837,0.035477625,0.022472598,0.015029822,0.000233136,9.30E-05,2.29E-05,0.005901071,0.000556943,5.22E-05,0.164566093,0.191178216,0.000106227,0.00225566,0.091506105,0.008231271,4.42E-12,5.46E-12,0,0.0033045,7.95E-07,6.66E-08,0,0,9.40E-07,1.72E-14,1.38E-15,0,0,0,2.33E-10,0,0,0,0,0.01211473,6.91E-16,0,0,0,0,0,0.05282141,0.070162071,0.10626737,0,0,0,0,0,0.000238472,0.01205165,0.000857415,1.63E-07,2.56E-07,1.83E-14,0,0,2.48E-06,4.61E-11,3.45E-12,0,4.14E-10,3.01E-10,0,0,0,0,0.046276114,0.135524467,1.45E-09,0.200808794,0.011799644
8.76,0,-1.301029996,8.727,0.000330802,0.000275958,0.022456954,2.73E-16,116.4336997,19.0135968,2.48E-07,3.85E-07,1.37E-07,0.004724252,0.005291315,0.005157253,0.001219423,0.131501366,3.81E-05,0.018270538,0.003737213,0.002489231,0.006226253,0.006366351,0.098506894,0.152763835,0.054256941,0.010086727,0.240942881,0,1.65E-10,0.012657094,0.017411526,0.544920262,0.157510007,0.259949806,0.102211068,9.52E-05,0.019281085,0.003095876,0.006476905,0.009958701,0.013155855,0.026315204,0.009174979,0.002577165,7.12E-09,3.403329309,9.559692484,0.043865557,0.103011627,0.058065951,0.317037296,0.098284516,6.80E-06,0.018109473,0.001263803,0.037442023,0.001656649,0.000392814,0.257668848,0.478111697,0.076640829,0.000307497,0.000270182,0.011760277,8.86E-07,0.008757545,11.22688862,1,0.829563505,2.475061948,0.0245778,0.000689053,1.89E-05,0,5.34E-05,7.44E-05,0.096823178,0.001637969,0.002161446,0.013448122,0.000523223,0.000750715,2.784833852,0.002213006,0.026306627,0.011452443,0.020448567,0.008996124,1.63E-07,0.023975475,0.000512263,0.001510071,0.003836648,6.65E-05,0.005691276,5.58E-05,2.26E-08,2.00E-07,1.07E-07,3.29E-07,0.064899295,0.023101849,0.163021793,0.032854692,0.313142512,0.27156109,0.141791092,0.07919817,0.049415465,0.058215261,0.035138827,0.02227524,0.01490406,0.000147478,5.94E-05,1.40E-05,0.005556579,0.000393259,3.67E-05,0.176675774,0.201302497,0.000119274,0.001405712,0.09549209,0.008568842,1.01E-08,1.25E-08,2.22E-19,0.003490374,9.51E-07,7.96E-08,1.57E-21,9.76E-22,1.28E-06,4.89E-14,3.93E-15,0,0,0,3.77E-10,8.41E-21,7.54E-22,0,0,0.008893513,2.25E-15,0,0,0,0,0,0.046407014,0.060772603,0.156169388,0,0,0,0,0,0.000155026,0.010098481,0.000720757,2.45E-07,3.82E-07,5.22E-14,0,0,4.40E-06,8.43E-11,6.32E-12,0,4.27E-10,5.87E-10,0,0,0,0,0.061328547,0.179614334,4.99E-09,0.215236038,0.009958701
