LOGOHSUN,AGNFRAC,LOGZ,LOGQ,('C__3_977000A', 'N__3_991000A', 'H__1_102572A', 'BLND_103500A', 'INCI_121500A', 'H__1_121567A', 'N__5_123882A', 'BLND_124000A', 'N__5_124280A', 'SI_2_126474A', 'BLND_130400A', 'SI_2_130928A', 'C__2_133500A', 'BLND_139700A', 'BLND_140200A', 'BLND_140600A', 'N__4_148332A', 'N__4_148650A', 'BLND_148600A', 'SI_2_153343A', 'C__4_154819A', 'BLND_154900A', 'C__4_155078A', 'HE_2_164043A', 'BLND_166600A', 'AL_2_167079A', 'N__4_171860A', 'BLND_175000A', 'BLND_186000A', 'BLND_188800A', 'C__3_190668A', 'BLND_190900A', 'C__3_190873A', 'C__3_229690A', 'O__3_232095A', 'BLND_247100A', 'BLND_232600A', 'BLND_233500A', 'BLND_266500A', 'BLND_279800A', 'MG_2_280271A', 'NE_3_334218A', 'NE_5_342603A', 'BA_C_0', 'BAC__364600A', 'O__2_372603A', 'BLND_372700A', 'O__2_372881A', 'NE_3_386876A', 'HE_1_388863A', 'CA_2_393366A', 'HE_1_402620A', 'S__2_406860A', 'HE_1_447149A', 'BLND_407400A', 'S__2_407635A', 'H__1_410173A', 'H__1_434046A', 'BLND_436300A', 'HE_2_468564A', 'CA_B_468564A', 'AR_4_471126A', 'BLND_472000A', 'AR_4_474012A', 'INCI_486000A', 'H__1_486133A', 'O__3_495891A', 'O__3_500684A', 'HE_1_501568A', 'AR_3_519182A', 'N__1_520026A', 'FE14_530301A', 'O__1_557734A', 'N__2_575461A', 'HE_1_587564A', 'O__1_630030A', 'BLND_630000A', 'S__3_631206A', 'O__1_636378A', 'N__2_654805A', 'H__1_656281A', 'N__2_658345A', 'HE_1_667815A', 'S__2_671644A', 'BLND_672000A', 'S__2_673082A', 'AR_5_700583A', 'AR_3_713579A', 'O__2_731892A', 'O__2_731999A', 'BLND_732500A', 'AR_4_733215A', 'AR_3_775111A', 'BLND_844600A', 'CA_2_849802A', 'CA_2_854209A', 'CA_2_866214A', 'BLND_857900A', 'S__3_906862A', 'H__1_922897A', 'S__3_953062A', 'H__1_954593A', 'HE_1_108303m', 'H__1_187510m', 'H__1_128180m', 'H__1_109380m', 'H__1_100493m', 'H__1_405113m', 'H__1_262513m', 'H__1_216551m', 'H__1_194454m', 'C__2_157636m', 'N__2_121767m', 'N__2_205244m', 'N__3_573238m', 'O__1_631679m', 'O__1_145495m', 'O__3_518004m', 'O__3_883323m', 'O__4_258832m', 'NE_2_128101m', 'NE_3_155509m', 'NE_3_360036m', 'NE_5_143228m', 'NE_5_242065m', 'NE_6_764318m', 'NA_3_731706m', 'NA_4_903098m', 'NA_4_213162m', 'NA_6_143228m', 'NA_6_861836m', 'MG_4_448712m', 'MG_5_560700m', 'MG_5_135464m', 'MG_7_550177m', 'MG_7_900655m', 'MG_8_302765m', 'AL_5_290450m', 'AL_6_365932m', 'AL_6_911329m', 'AL_8_582933m', 'AL_8_369722m', 'SI_2_348046m', 'SI_6_196247m', 'SI_7_248071m', 'SI_7_651288m', 'SI_9_392820m', 'SI_9_258394m', 'SI10_143008m', 'S__3_187078m', 'S__3_334704m', 'S__4_105076m', 'S__8_991400A', 'S__9_125201m', 'S__9_375414m', 'S_11_191960m', 'S_11_139238m', 'AR_2_698337m', 'AR_3_898898m', 'AR_3_218253m', 'AR_5_789971m', 'AR_5_130985m', 'AR_6_452800m', 'AR10_553402A', 'AR11_259535m', 'CA_4_320610m', 'CA_5_415739m', 'CA_5_114792m', 'CA_8_232117m', 'SC_5_231119m', 'TI_6_171509m', 'V__7_130376m', 'CR_8_101065m', 'MN_9_796849A', 'NI12_423090A', 'O__3_166081A', 'O__3_166615A', 'O__5_121834A', 'SI_3_189203A', 'BLND_233500A_1')
8.76,0,-1.301029996,6.477,1.09E-06,1.54E-07,0.021705488,0,115.9915185,25.37660611,1.13E-17,1.76E-17,6.33E-18,0.001053073,0.009169568,0.001075479,0.005697196,2.00E-06,1.74E-12,3.83E-07,1.32E-08,8.94E-09,2.21E-08,0.001492943,3.90E-06,5.91E-06,2.01E-06,0.001781822,0.000574783,0,1.66E-18,0.000117207,2.53E-05,0.001336667,0.009488259,0.015800367,0.006311159,3.36E-07,0.000171862,0.079672764,0.140129122,0.00747041,0.001622065,1.161054497,0.390341161,0.000143905,0,3.271409583,15.92410912,2.77992278,6.583328059,3.79074625,0.183733148,0.101288056,5.45E-05,0.019797139,0.147484018,0.040907652,0.193429964,0.045942781,0.263108425,0.473447687,0.000683145,0.000154516,0.000170986,1.18E-05,3.47E-13,8.28E-06,11.18425217,1,0.045107285,0.134584467,0.024283182,0.00133692,0.029135072,0,0.009205962,0.006976391,0.104864232,0.439173365,0.57953035,0.012144756,0.140293689,0.188144819,2.799544275,0.55462371,0.029669916,2.46284575,4.313247674,1.850528514,8.05E-15,0.199132857,0.013762263,0.040337996,0.098819546,2.18E-08,0.047268814,0.000336097,1.81E-07,1.60E-06,8.83E-07,2.67E-06,0.211355149,0.025566492,0.530919678,0.036492816,0.230869042,0.311067156,0.157924552,0.088929679,0.055066776,0.070007595,0.042205203,0.026473827,0.01760143,0.063877461,0.034008482,0.010553833,0.004282233,0.195271853,0.018858789,0.043461611,0.053677448,1.41E-09,0.924963605,0.374612317,0.034163555,0,0,0,0.006144693,1.51E-11,1.24E-12,0,0,1.67E-11,0,0,0,0,0,6.69E-19,0,0,0,0,0.098382809,0,0,0,0,0,0,0.29797772,0.465282613,0.000862744,0,0,0,0,0,0.110912083,0.203842015,0.013748655,4.61E-14,8.07E-14,0,0,0,2.36E-09,2.14E-18,1.52E-19,0,5.54E-13,0,0,0,0,0,0.000146313,0.000428476,0,0.000537376,0.00747041
8.76,0,-1.301029996,6.727,4.28E-06,1.12E-06,0.021682774,0,115.7570589,25.21540016,3.62E-16,5.65E-16,2.03E-16,0.001427642,0.009634894,0.00142322,0.008030131,1.27E-05,5.08E-09,1.57E-06,1.01E-07,6.82E-08,1.69E-07,0.001830207,2.30E-05,3.49E-05,1.19E-05,0.002269282,0.001701377,0,3.13E-17,0.000334723,5.28E-05,0.00224512,0.014955467,0.024902091,0.009943465,1.32E-06,0.000497631,0.086561177,0.130197082,0.007312867,0.001629682,1.051639189,0.353578422,0.000230361,7.01E-17,3.27964121,15.7769566,2.914218938,6.892489419,3.965005369,0.271558967,0.101986609,4.04E-05,0.019895458,0.126760786,0.041102899,0.166224496,0.03946371,0.263220896,0.473564525,0.001978081,0.000204422,0.000231719,3.70E-05,1.00E-09,2.61E-05,11.16164487,1,0.127158739,0.379382225,0.024454867,0.001517971,0.020421009,0,0.007166951,0.007192849,0.105337629,0.3255006,0.429536984,0.017376034,0.103979534,0.185484177,2.797738614,0.546775314,0.029790601,2.046333144,3.588213,1.541753522,7.20E-14,0.215880235,0.014936517,0.043803297,0.107355821,6.94E-08,0.051244394,0.000343535,1.34E-07,1.19E-06,6.53E-07,1.97E-06,0.292713663,0.025536921,0.73526625,0.036447476,0.235196766,0.310296254,0.15762744,0.08879098,0.054990209,0.069777651,0.042081991,0.026401364,0.017556061,0.050353736,0.032098415,0.009726802,0.011427579,0.13455246,0.012981492,0.120071379,0.147024825,5.48E-06,0.754626998,0.520118754,0.047441728,1.47E-15,1.78E-15,0,0.008923631,5.99E-08,4.88E-09,0,0,3.07E-08,1.08E-18,8.92E-20,0,0,0,4.75E-18,0,0,0,0,0.084410334,0,0,0,0,0,0,0.405880867,0.629587518,0.003283747,0,0,0,0,0,0.078554734,0.214762175,0.014502242,4.10E-13,7.16E-13,0,0,0,6.39E-09,1.53E-17,1.09E-18,0,4.73E-12,4.18E-19,0,0,0,0,0.000433074,0.001268303,2.29E-18,0.000902344,0.007312867
8.76,0,-1.301029996,6.977,1.54E-05,7.09E-06,0.021320386,0,115.552683,24.98139857,3.05E-14,4.76E-14,1.71E-14,0.001823255,0.009979192,0.001808437,0.010831074,7.26E-05,3.46E-08,5.36E-06,5.97E-07,4.05E-07,1.00E-06,0.002164386,0.000127306,0.000193947,6.66E-05,0.002739485,0.004260042,0,1.53E-15,0.000807081,0.000114922,0.003336591,0.021194275,0.035292263,0.014086323,4.75E-06,0.001243679,0.085702125,0.111296425,0.006758623,0.001564695,0.887540198,0.29844883,0.000331957,2.29E-15,3.280786935,15.72703197,2.80960338,6.6457532,3.822119932,0.371334889,0.101771865,2.74E-05,0.019865376,0.10139353,0.041039788,0.132952897,0.031559367,0.263282679,0.473642727,0.004943565,0.000245485,0.000281812,0.000110445,3.46E-09,7.78E-05,11.14193833,1,0.319503121,0.95330727,0.024448263,0.001633962,0.013683397,0,0.005350274,0.006806545,0.105176871,0.231934548,0.306059651,0.0228312,0.074090422,0.169950817,2.79661391,0.500977363,0.029735481,1.599533388,2.805567816,1.206034428,4.88E-13,0.226666246,0.014760704,0.043290876,0.106289804,2.06E-07,0.05380541,0.00033987,9.09E-08,8.04E-07,4.42E-07,1.34E-06,0.380005044,0.025533136,0.954536856,0.036436724,0.236411501,0.310073145,0.157538306,0.08875402,0.054975093,0.069714358,0.042045526,0.026381865,0.017543981,0.038451353,0.028769468,0.008642411,0.02797276,0.089349896,0.008618135,0.305255691,0.372091557,4.18E-05,0.581625575,0.691090233,0.063039914,5.04E-14,6.14E-14,0,0.012784539,2.72E-07,2.22E-08,0,0,2.23E-07,3.74E-17,3.09E-18,0,0,0,1.05E-16,0,0,0,0,0.071107888,0,0,0,0,0,0,0.525064632,0.81237783,0.011500095,0,0,0,0,0,0.053420771,0.222945961,0.015061795,2.84E-12,4.99E-12,0,0,0,1.56E-08,7.61E-17,5.40E-18,0,1.11E-11,1.47E-17,0,0,0,0,0.001084368,0.003175484,8.32E-17,0.001340847,0.006758623
8.76,0,-1.301029996,7.227,4.90E-05,3.44E-05,0.020600302,0,115.312736,24.70299522,3.17E-13,4.95E-13,1.78E-13,0.002175057,0.010184684,0.002198181,0.013736471,0.000352441,1.02E-07,1.45E-05,2.44E-06,1.66E-06,4.10E-06,0.002481909,0.000598446,0.000926252,0.000327775,0.003140857,0.008319595,0,9.15E-15,0.00150774,0.000255081,0.004287063,0.026406368,0.043984395,0.017543418,1.51E-05,0.002452995,0.074704254,0.086575006,0.005838158,0.001401019,0.690315882,0.232230053,0.000420589,1.05E-14,3.270513466,15.8107853,2.388025422,5.657878178,3.255096904,0.457525799,0.10090297,1.70E-05,0.01977882,0.074993708,0.04086962,0.098335641,0.023342248,0.263277121,0.473477221,0.009750818,0.00026995,0.000311808,0.00030101,7.26E-09,0.000211868,11.11880191,1,0.652089101,1.945538636,0.024340234,0.001646174,0.008767934,0,0.003839982,0.005693745,0.104788573,0.159202744,0.21008369,0.026880506,0.050855776,0.138340045,2.796690159,0.407783791,0.029620564,1.168166373,2.048074503,0.87990813,2.09E-12,0.228486031,0.012814624,0.037569217,0.092653536,5.44E-07,0.054237981,0.000320948,5.66E-08,5.01E-07,2.74E-07,8.32E-07,0.452649132,0.025560659,1.137018626,0.036474327,0.235067959,0.31059338,0.157724012,0.088852882,0.055033979,0.069877926,0.042134407,0.026433111,0.017576454,0.028195318,0.023335641,0.007056381,0.057047571,0.057588724,0.00555594,0.65300151,0.793323685,0.000165605,0.419424868,0.863673546,0.078747168,2.63E-13,3.21E-13,0,0.017559779,8.58E-07,6.98E-08,0,0,6.97E-07,2.07E-16,1.70E-17,0,0,0,3.63E-16,0,0,0,0,0.058532595,0,0,0,0,0,0,0.633935313,0.981877674,0.035741253,0,0,0,0,0,0.034825698,0.227328215,0.015348918,1.29E-11,2.28E-11,0,0,0,3.45E-08,2.29E-16,1.62E-17,0,1.89E-11,6.77E-17,0,0,0,0,0.002117701,0.006201863,3.32E-16,0.001722659,0.005838158
8.76,0,-1.301029996,7.477,0.000135296,0.000121585,0.019551232,0,115.019614,24.39510435,2.18E-12,3.40E-12,1.22E-12,0.002450275,0.010255139,0.002557445,0.016311,0.001341032,1.76E-07,3.33E-05,7.25E-06,4.92E-06,1.22E-05,0.002766641,0.001877515,0.003105884,0.00122837,0.003534599,0.013056331,0,3.57E-14,0.002253225,0.000546681,0.004975365,0.029759297,0.049615566,0.019760866,4.19E-05,0.003828024,0.058151577,0.062661227,0.004781422,0.001171191,0.502997019,0.169351954,0.000479178,3.77E-14,3.250902244,15.99937235,1.78729013,4.247293268,2.444311941,0.512003766,0.099635964,1.01E-05,0.019687745,0.052361525,0.040699827,0.068661541,0.01630033,0.263248078,0.473340656,0.015217009,0.000282881,0.000327318,0.000746273,1.02E-08,0.000524808,11.09053821,1,1.047952299,3.126690727,0.024186725,0.001574015,0.005383964,0,0.002681626,0.004252942,0.104437471,0.106342382,0.140326377,0.028779853,0.033971442,0.099344108,2.798117056,0.292851091,0.029517025,0.807500392,1.414749725,0.607249333,7.65E-12,0.22222815,0.009892986,0.028990742,0.072132434,1.29E-06,0.052750667,0.000290792,3.35E-08,2.97E-07,1.62E-07,4.92E-07,0.497034364,0.025613683,1.248517182,0.036551075,0.232581202,0.311733877,0.158154715,0.089069512,0.055154558,0.070227522,0.042325435,0.026542288,0.017644751,0.019624039,0.016721795,0.005139181,0.092292484,0.036045818,0.003478425,1.111689942,1.341126628,0.000420116,0.283204142,1.012741252,0.09224541,1.11E-12,1.36E-12,0,0.022681626,2.10E-06,1.70E-07,0,0,1.75E-06,1.00E-15,8.20E-17,0,0,0,1.04E-15,0,0,0,0,0.046700141,1.83E-19,0,0,0,0,0,0.714043622,1.10852032,0.097363879,0,0,0,0,0,0.021941315,0.227578848,0.01534348,5.12E-11,9.09E-11,0,0,0,6.97E-08,5.83E-16,4.10E-17,0,2.54E-11,2.28E-16,0,0,0,0,0.003323082,0.00973325,8.78E-16,0.00199931,0.004781422
8.76,0,-1.301029996,7.727,0.000329801,0.000330551,0.018700803,0,114.5737597,24.01012848,1.08E-11,1.69E-11,6.10E-12,0.002651505,0.010422333,0.00287205,0.018277846,0.003270812,2.37E-07,7.12E-05,1.81E-05,1.23E-05,3.04E-05,0.003011817,0.003172028,0.005797931,0.002625934,0.003997937,0.017962737,0,1.00E-13,0.002949514,0.001037357,0.005512833,0.031792179,0.053121385,0.021098815,0.000102245,0.005108944,0.042117603,0.043724405,0.003790991,0.000927444,0.353465254,0.119162837,0.000512614,1.14E-13,3.22673419,16.19306637,1.220982213,2.913126387,1.675513458,0.539185345,0.09815249,5.99E-06,0.019612992,0.03563725,0.04056707,0.046731689,0.011094751,0.263202976,0.47319391,0.020308856,0.000290097,0.000334521,0.001730876,1.20E-08,0.001216418,11.04754759,1,1.398543249,4.17268436,0.024042952,0.00147185,0.003222358,0,0.001851699,0.002955235,0.104207696,0.07048673,0.093013223,0.029094376,0.02251649,0.065181781,2.799931226,0.192147301,0.029440745,0.541561162,0.948138423,0.406608522,2.78E-08,0.211729032,0.00706274,0.020687736,0.052249211,2.88E-06,0.050261027,0.000263022,1.99E-08,1.76E-07,9.54E-08,2.92E-07,0.51423927,0.025668824,1.29169402,0.036631342,0.230282285,0.312951327,0.158620151,0.089299447,0.055281503,0.070605521,0.042530245,0.026658851,0.017717966,0.013092626,0.010811842,0.003388352,0.122379568,0.022600269,0.002180718,1.544655975,1.835630998,0.000751133,0.181590547,1.125636938,0.102416456,3.80E-12,4.63E-12,0,0.027491013,3.98E-06,3.22E-07,0,0,3.64E-06,4.22E-15,3.44E-16,0,0,0,2.39E-15,0,0,0,0,0.035543468,3.70E-19,0,0,0,0,0,0.757572916,1.178092469,0.234840101,0,0,0,0,0,0.013546532,0.223730032,0.015060177,2.14E-07,3.85E-07,7.77E-16,0,0,1.33E-07,1.30E-15,9.15E-17,0,2.85E-11,6.14E-16,0,0,0,0,0.004571259,0.013391478,1.98E-15,0.002215543,0.003790991
8.76,0,-1.301029996,7.977,0.000724819,0.000749478,0.017720833,0,114.1171342,23.40255939,5.89E-08,9.21E-08,3.31E-08,0.00279338,0.010693402,0.003130429,0.019544167,0.004952517,3.03E-07,0.000150441,4.17E-05,2.83E-05,7.00E-05,0.003207958,0.004233895,0.007933493,0.003699598,0.004595697,0.023046984,0,3.13E-10,0.003606501,0.001620326,0.006028583,0.033536756,0.056287947,0.022242426,0.000224996,0.006259302,0.029580907,0.030308559,0.002958278,0.000704269,0.244938817,0.082738114,0.000538002,2.96E-13,3.201108447,16.30694025,0.795933618,1.907961516,1.095027556,0.554410437,0.096416228,3.73E-06,0.019554442,0.024192795,0.040470779,0.031724632,0.007531837,0.263172152,0.473082791,0.024880904,0.000295099,0.000337236,0.003782421,1.41E-08,0.002657409,11.00351839,1,1.664912663,4.967462714,0.02393094,0.001377682,0.001863281,0,0.001272784,0.00199069,0.104075723,0.04665442,0.061562412,0.028598562,0.014903011,0.040953389,2.800946539,0.120727341,0.029377277,0.358626273,0.627611545,0.268979045,9.19E-08,0.199346141,0.004851325,0.014206184,0.03670019,6.17E-06,0.047320734,0.000245406,1.24E-08,1.10E-07,5.87E-08,1.81E-07,0.509356416,0.025707881,1.279478158,0.036690849,0.22876981,0.313852477,0.158953202,0.089463524,0.055372544,0.070878351,0.042678332,0.026743781,0.017770962,0.008407385,0.006589657,0.002099013,0.141470249,0.014156054,0.001365134,1.867733599,2.159448267,0.00107071,0.112077716,1.20359934,0.109421802,1.06E-11,1.30E-11,0,0.031491111,6.06E-06,4.90E-07,0,0,6.43E-06,1.53E-14,1.24E-15,0,0,0,4.38E-15,0,0,0,0,0.025313074,2.44E-18,0,0,0,0,0,0.76146589,1.184045832,0.503471682,0,0,0,0,0,0.008247968,0.214867516,0.014448423,7.34E-07,1.32E-06,1.63E-14,0,0,2.45E-07,3.92E-12,2.73E-13,0,2.98E-11,1.41E-15,0,0,0,0,0.005862939,0.017184046,4.38E-15,0.002423576,0.002958278
8.76,0,-1.301029996,8.227,0.001460478,0.001504433,0.016463434,0,114.0106386,22.32898871,3.42E-07,5.34E-07,1.92E-07,0.002896476,0.011093104,0.00333126,0.02010452,0.006255016,3.74E-07,0.000314462,9.12E-05,6.20E-05,0.000153262,0.0033605,0.005472672,0.01016269,0.004690018,0.005384328,0.02840265,0,1.02E-09,0.004235232,0.002097739,0.006492363,0.035514978,0.060080256,0.0235375,0.000453604,0.007315146,0.0206912,0.021131987,0.002282919,0.000515414,0.168976887,0.057246399,0.000568233,6.88E-13,3.171680095,16.31349737,0.510498647,1.230908016,0.703331571,0.567642393,0.094192304,2.49E-06,0.019511619,0.016522226,0.040411236,0.021665474,0.005143248,0.263166081,0.472983482,0.029077674,0.000300404,0.000338694,0.007632438,1.70E-08,0.005362553,10.99324976,1,1.858804865,5.5457741,0.02385137,0.001289452,0.001040813,0,0.000873954,0.001331695,0.104043923,0.031020624,0.040933835,0.027431176,0.009909167,0.025468006,2.801287834,0.075073879,0.029321554,0.236672162,0.414066631,0.17739758,2.19E-07,0.183830529,0.003286154,0.009621738,0.025671136,1.25E-05,0.043637042,0.000238753,8.26E-09,7.31E-08,3.86E-08,1.20E-07,0.482408934,0.025730239,1.211746042,0.036721934,0.227784863,0.314337263,0.1591346,0.089557346,0.055426634,0.071033067,0.042759822,0.026790991,0.017800106,0.005278564,0.003936604,0.001267459,0.149814913,0.00902417,0.000869164,2.083149283,2.306591595,0.001334028,0.067707718,1.254424985,0.113988864,2.56E-11,3.13E-11,0,0.034476001,7.86E-06,6.36E-07,0,0,9.89E-06,4.77E-14,3.87E-15,0,0,0,6.53E-15,0,0,0,0,0.016844496,5.06E-17,0,0,0,0,0,0.722182474,1.12085109,0.957632127,0,0,0,0,0,0.004971226,0.19877438,0.013362989,1.77E-06,3.19E-06,6.82E-14,0,0,4.39E-07,1.03E-11,7.18E-13,0,3.08E-11,2.90E-15,0,0,0,0,0.007219958,0.021182692,9.80E-15,0.002611348,0.002282919
8.76,0,-1.301029996,8.477,0.002706676,0.002737844,0.015565079,1.31E-15,114.2345094,20.51708016,1.26E-06,1.97E-06,7.09E-07,0.002970234,0.011493268,0.00346559,0.019965715,0.007469767,4.47E-07,0.000624423,0.000185501,0.00012634,0.000311838,0.003464655,0.007208577,0.013059469,0.005850891,0.006403192,0.033876699,0,2.11E-09,0.004791797,0.002407119,0.006736691,0.037570128,0.064356065,0.024877509,0.000840731,0.008272659,0.01480364,0.014965403,0.001747569,0.000369156,0.117214188,0.03987034,0.000606346,1.47E-12,3.133337489,16.21805261,0.331785314,0.805572871,0.456707393,0.581286623,0.091004862,1.79E-06,0.019487283,0.011450567,0.040397083,0.015014649,0.00356377,0.263187258,0.472946017,0.03288555,0.000306882,0.000340014,0.013768545,2.02E-08,0.009677409,11.01483606,1,1.997849395,5.960603416,0.023801895,0.001187383,0.000554357,0,0.000603104,0.000904095,0.10417342,0.02082845,0.027485039,0.025386797,0.006653472,0.016137015,2.801178157,0.047568882,0.029279703,0.15712193,0.275028051,0.117906121,4.13E-07,0.163187258,0.002251434,0.006593318,0.018366476,2.28E-05,0.038735818,0.000238808,5.95E-09,5.27E-08,2.74E-08,8.60E-08,0.432676724,0.025739933,1.086834559,0.036737938,0.227082035,0.314549308,0.159213315,0.089602294,0.055448198,0.07110086,0.04280015,0.02681243,0.017813552,0.003238686,0.002372771,0.000759787,0.149043137,0.005814113,0.000558846,2.223600549,2.308814362,0.001530108,0.040789802,1.285905747,0.116821469,5.55E-11,6.76E-11,0,0.036494826,9.23E-06,7.46E-07,0,0,1.36E-05,1.29E-13,1.05E-14,0,0,0,1.48E-11,0,0,0,0,0.010629909,1.98E-16,0,0,0,0,0,0.641472385,0.991054731,1.603197856,0,0,0,0,0,0.002997725,0.174248847,0.01171986,3.31E-06,5.97E-06,2.29E-13,0,0,7.57E-07,2.07E-11,1.44E-12,0,3.15E-11,1.57E-11,0,0,0,0,0.00859899,0.025277397,5.31E-12,0.002712006,0.001747569
8.76,0,-1.301029996,8.727,0.004596703,0.004534344,0.015048258,8.81E-15,114.8502131,17.94403359,4.00E-06,6.25E-06,2.25E-06,0.003039515,0.011927801,0.003553209,0.019155803,0.008682314,5.30E-07,0.001128134,0.00034006,0.000232289,0.000572355,0.003535974,0.009649975,0.016988907,0.007338619,0.007683003,0.039192153,0,3.76E-09,0.005213399,0.002589151,0.006626661,0.039264227,0.068472675,0.025969541,0.001427739,0.00912008,0.011057283,0.010875846,0.001339402,0.000265944,0.082940587,0.028372086,0.000649505,5.69E-10,3.079217849,16.01873903,0.223884432,0.547568313,0.306737278,0.595042617,0.086093006,1.39E-06,0.01948264,0.008171534,0.040442467,0.010714151,0.002542523,0.263205064,0.472925545,0.03625282,0.000315117,0.00034194,0.021784282,2.38E-08,0.015320882,11.07420406,1,2.099210328,6.263161193,0.023776009,0.001062359,0.000287838,0,0.000424856,0.00063415,0.104515543,0.014382051,0.018978441,0.022535723,0.004594197,0.010660253,2.800795939,0.031423916,0.029256079,0.106821885,0.187333918,0.080512033,6.51E-07,0.138248935,0.001593538,0.004670343,0.013717097,3.71E-05,0.032818376,0.000244005,4.62E-09,4.08E-08,2.09E-08,6.64E-08,0.366883931,0.025741414,0.921596891,0.036738531,0.22635999,0.314615192,0.159228503,0.089615192,0.055455628,0.071117448,0.042808348,0.026818125,0.017816495,0.001967222,0.001471891,0.000456913,0.140777764,0.003903547,0.000373778,2.318406869,2.200739534,0.001674386,0.025130045,1.304869642,0.118535347,2.16E-08,2.64E-08,4.76E-18,0.037766357,1.02E-05,8.28E-07,2.12E-20,1.26E-20,1.70E-05,3.11E-13,2.52E-14,0,0,0,4.41E-11,0,0,0,0,0.006580597,5.81E-16,0,0,0,0,0,0.533937077,0.817842818,2.356260968,0,0,0,0,0,0.001857828,0.143870644,0.009686638,5.15E-06,9.29E-06,6.47E-13,0,0,1.24E-06,3.76E-11,2.62E-12,0,3.23E-11,3.67E-11,0,0,0,0,0.009921346,0.029271747,3.63E-11,0.002671158,0.001339402
