LOGOHSUN,AGNFRAC,LOGZ,LOGQ,('C__3_977000A', 'N__3_991000A', 'H__1_102572A', 'BLND_103500A', 'INCI_121500A', 'H__1_121567A', 'N__5_123882A', 'BLND_124000A', 'N__5_124280A', 'SI_2_126474A', 'BLND_130400A', 'SI_2_130928A', 'C__2_133500A', 'BLND_139700A', 'BLND_140200A', 'BLND_140600A', 'N__4_148332A', 'N__4_148650A', 'BLND_148600A', 'SI_2_153343A', 'C__4_154819A', 'BLND_154900A', 'C__4_155078A', 'HE_2_164043A', 'BLND_166600A', 'AL_2_167079A', 'N__4_171860A', 'BLND_175000A', 'BLND_186000A', 'BLND_188800A', 'C__3_190668A', 'BLND_190900A', 'C__3_190873A', 'C__3_229690A', 'O__3_232095A', 'BLND_247100A', 'BLND_232600A', 'BLND_233500A', 'BLND_266500A', 'BLND_279800A', 'MG_2_280271A', 'NE_3_334218A', 'NE_5_342603A', 'BA_C_0', 'BAC__364600A', 'O__2_372603A', 'BLND_372700A', 'O__2_372881A', 'NE_3_386876A', 'HE_1_388863A', 'CA_2_393366A', 'HE_1_402620A', 'S__2_406860A', 'HE_1_447149A', 'BLND_407400A', 'S__2_407635A', 'H__1_410173A', 'H__1_434046A', 'BLND_436300A', 'HE_2_468564A', 'CA_B_468564A', 'AR_4_471126A', 'BLND_472000A', 'AR_4_474012A', 'INCI_486000A', 'H__1_486133A', 'O__3_495891A', 'O__3_500684A', 'HE_1_501568A', 'AR_3_519182A', 'N__1_520026A', 'FE14_530301A', 'O__1_557734A', 'N__2_575461A', 'HE_1_587564A', 'O__1_630030A', 'BLND_630000A', 'S__3_631206A', 'O__1_636378A', 'N__2_654805A', 'H__1_656281A', 'N__2_658345A', 'HE_1_667815A', 'S__2_671644A', 'BLND_672000A', 'S__2_673082A', 'AR_5_700583A', 'AR_3_713579A', 'O__2_731892A', 'O__2_731999A', 'BLND_732500A', 'AR_4_733215A', 'AR_3_775111A', 'BLND_844600A', 'CA_2_849802A', 'CA_2_854209A', 'CA_2_866214A', 'BLND_857900A', 'S__3_906862A', 'H__1_922897A', 'S__3_953062A', 'H__1_954593A', 'HE_1_108303m', 'H__1_187510m', 'H__1_128180m', 'H__1_109380m', 'H__1_100493m', 'H__1_405113m', 'H__1_262513m', 'H__1_216551m', 'H__1_194454m', 'C__2_157636m', 'N__2_121767m', 'N__2_205244m', 'N__3_573238m', 'O__1_631679m', 'O__1_145495m', 'O__3_518004m', 'O__3_883323m', 'O__4_258832m', 'NE_2_128101m', 'NE_3_155509m', 'NE_3_360036m', 'NE_5_143228m', 'NE_5_242065m', 'NE_6_764318m', 'NA_3_731706m', 'NA_4_903098m', 'NA_4_213162m', 'NA_6_143228m', 'NA_6_861836m', 'MG_4_448712m', 'MG_5_560700m', 'MG_5_135464m', 'MG_7_550177m', 'MG_7_900655m', 'MG_8_302765m', 'AL_5_290450m', 'AL_6_365932m', 'AL_6_911329m', 'AL_8_582933m', 'AL_8_369722m', 'SI_2_348046m', 'SI_6_196247m', 'SI_7_248071m', 'SI_7_651288m', 'SI_9_392820m', 'SI_9_258394m', 'SI10_143008m', 'S__3_187078m', 'S__3_334704m', 'S__4_105076m', 'S__8_991400A', 'S__9_125201m', 'S__9_375414m', 'S_11_191960m', 'S_11_139238m', 'AR_2_698337m', 'AR_3_898898m', 'AR_3_218253m', 'AR_5_789971m', 'AR_5_130985m', 'AR_6_452800m', 'AR10_553402A', 'AR11_259535m', 'CA_4_320610m', 'CA_5_415739m', 'CA_5_114792m', 'CA_8_232117m', 'SC_5_231119m', 'TI_6_171509m', 'V__7_130376m', 'CR_8_101065m', 'MN_9_796849A', 'NI12_423090A', 'O__3_166081A', 'O__3_166615A', 'O__5_121834A', 'SI_3_189203A', 'BLND_233500A_1')
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76,0,-1.301029996,6.477,1.35E-06,2.21E-07,0.018858255,0,108.6540896,26.17719676,8.49E-16,1.41E-15,5.58E-16,0.001094992,0.009340972,0.001111199,0.006602304,2.85E-06,9.22E-09,6.27E-07,2.27E-08,1.53E-08,3.80E-08,0.001604742,4.67E-06,7.53E-06,2.86E-06,0.00914567,0.00083059,0,1.39E-16,0.000168372,3.19E-05,0.00156891,0.012917827,0.021505761,0.008586984,4.16E-07,0.000236341,0.08922512,0.155805267,0.008610091,0.001835876,1.277633578,0.429475817,0.00020577,1.29E-15,3.278045075,15.70650798,2.998385667,7.105912889,4.093124842,0.241554824,0.106321221,5.95E-05,0.020707458,0.158445176,0.042773487,0.207786781,0.049341605,0.261908078,0.472651304,0.000939478,0.001226291,0.001354552,1.58E-05,5.58E-09,1.11E-05,13.92377817,1,0.058014687,0.173094454,0.025383958,0.001566916,0.033046341,0,0.011029375,0.007753229,0.109565713,0.509116232,0.671847303,0.014317549,0.16263611,0.199101038,2.803209673,0.586920739,0.030987275,2.588756647,4.530260826,1.941535832,2.00E-13,0.221192074,0.015410864,0.045175994,0.110667258,3.02E-08,0.052506964,0.000342903,1.98E-07,1.75E-06,9.62E-07,2.91E-06,0.237278425,0.025453596,0.596036971,0.036547227,0.242605723,0.310363383,0.157482907,0.088566726,0.054893644,0.069792986,0.042029628,0.026371866,0.017575652,0.065627374,0.034939225,0.010944226,0.005215561,0.21660547,0.020899595,0.052719043,0.065228539,8.60E-06,0.91890352,0.459673335,0.041931502,2.53E-14,3.08E-14,0,0.007655419,3.42E-07,2.79E-08,0,0,3.16E-07,6.06E-17,5.02E-18,0,0,0,7.10E-16,0,0,0,0,0.101965688,0,0,0,0,0,0,0.325272221,0.50680552,0.001152412,0,0,0,0,0,0.104057989,0.218681945,0.014773044,1.10E-12,1.92E-12,0,0,0,1.07E-08,1.46E-16,1.04E-17,0,3.72E-11,5.30E-19,0,0,0,0,0.000211424,0.000619176,2.42E-17,0.000630349,0.008610091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76,0,-1.301029996,6.727,5.16E-06,1.59E-06,0.018820189,0,108.2839117,25.96498423,2.60E-14,4.32E-14,1.72E-14,0.001472019,0.009782965,0.001448801,0.009093375,1.80E-05,8.04E-08,2.57E-06,1.73E-07,1.17E-07,2.90E-07,0.001943091,2.59E-05,4.23E-05,1.64E-05,0.012204732,0.002473155,0,2.54E-15,0.000481893,6.51E-05,0.00266429,0.020191483,0.033608833,0.013415457,1.58E-06,0.000685836,0.097318612,0.142911672,0.00845836,0.001844763,1.147413249,0.385678233,0.000322429,5.99E-14,3.287697161,15.54637224,3.146435331,7.447003155,4.285804416,0.3470347,0.105356467,4.40E-05,0.020470662,0.135179811,0.042277603,0.177249211,0.042069401,0.262003155,0.472807571,0.002726467,0.001628549,0.001842902,4.92E-05,2.20E-08,3.47E-05,13.87634069,1,0.16311041,0.486656151,0.025151104,0.001765457,0.022907256,0,0.008586751,0.007983912,0.10826183,0.376908517,0.497350158,0.020296845,0.120397476,0.195255521,2.801009464,0.575583596,0.030603155,2.130157729,3.732492114,1.602271293,1.34E-12,0.236895899,0.016790536,0.049242902,0.120697161,9.58E-08,0.056233438,0.000348517,1.46E-07,1.29E-06,7.10E-07,2.15E-06,0.324384858,0.025417981,0.814794953,0.036495268,0.243529968,0.309501577,0.15715142,0.08840694,0.054807571,0.069536278,0.041886435,0.026290536,0.017525237,0.050413249,0.032706625,0.009990852,0.013774132,0.147930599,0.014262461,0.144700315,0.177454259,6.98E-05,0.725867508,0.616529968,0.056242902,1.15E-12,1.40E-12,0,0.010772555,1.39E-06,1.13E-07,0,0,1.24E-06,2.74E-15,2.27E-16,0,0,0,3.97E-15,0,0,0,0,0.086873817,0,0,0,0,0,0,0.436403785,0.67511041,0.004321136,0,0,0,0,0,0.072615142,0.226962145,0.015352997,7.32E-12,1.28E-11,0,0,0,2.89E-08,9.98E-16,7.10E-17,0,1.00E-10,2.56E-17,0,0,0,0,0.000629527,0.001843628,1.53E-15,0.001070063,0.00845836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76,0,-1.301029996,6.977,1.80E-05,9.76E-06,0.018513263,0,108.0079293,25.65935622,5.55E-13,9.24E-13,3.69E-13,0.001870866,0.010154809,0.001833926,0.011953054,0.000101866,4.13E-07,8.76E-06,1.00E-06,6.81E-07,1.69E-06,0.002288474,0.000133718,0.000221809,8.81E-05,0.014931563,0.006167207,0,3.17E-14,0.001152324,0.000137639,0.003999245,0.028330764,0.047157106,0.018814701,5.54E-06,0.001698971,0.09612347,0.120543721,0.007860671,0.001771876,0.961014443,0.323086121,0.000454706,5.05E-13,3.290016047,15.48440892,3.015103364,7.137597936,4.106856298,0.460904314,0.103936314,2.98E-05,0.020198861,0.107664957,0.041713602,0.141169252,0.033504295,0.262084264,0.472861143,0.00675435,0.001986533,0.002280262,0.000145983,6.57E-08,0.000102911,13.84097417,1,0.404077908,1.205594538,0.024850068,0.001891508,0.015312608,0,0.006422391,0.007497876,0.106818539,0.269425128,0.355526887,0.026412951,0.086067147,0.176618105,2.799376986,0.520625531,0.030184387,1.655800636,2.90214279,1.246342154,8.50E-12,0.246398792,0.016553601,0.048547875,0.119215884,2.83E-07,0.058490922,0.000343444,9.89E-08,8.75E-07,4.80E-07,1.45E-06,0.415531292,0.025411095,1.043768289,0.036484063,0.242220194,0.309213052,0.157037223,0.08836097,0.054784305,0.069453447,0.04184261,0.026265064,0.017509833,0.037909443,0.028855291,0.008743274,0.032956798,0.099298323,0.009570498,0.361347975,0.441175545,0.000395047,0.543437903,0.790786948,0.072140587,1.02E-11,1.24E-11,0,0.014926528,5.03E-06,4.11E-07,0,0,4.26E-06,2.49E-14,2.06E-15,0,0,0,1.91E-14,0,0,0,0,0.073009031,1.79E-18,0,0,0,0,0,0.555929643,0.857524936,0.014917089,0,0,0,0,0,0.048831063,0.232736541,0.015754067,4.75E-11,8.29E-11,0,0,0,7.04E-08,5.17E-15,3.67E-16,0,2.14E-10,2.23E-16,0,0,0,0,0.001569869,0.004597401,1.45E-14,0.001605928,0.007860671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76,0,-1.301029996,7.227,5.57E-05,4.51E-05,0.017885038,0,107.7604069,25.29258492,5.58E-12,9.31E-12,3.73E-12,0.00221969,0.010319583,0.002211528,0.014775538,0.000486626,1.22E-06,2.40E-05,4.02E-06,2.72E-06,6.75E-06,0.002604069,0.000587775,0.00100361,0.000415835,0.016724744,0.012003516,0,1.84E-13,0.002137754,0.000294817,0.005226345,0.035176116,0.058564074,0.023349658,1.71E-05,0.003307277,0.083512275,0.092936523,0.006854084,0.00159035,0.743297545,0.250003139,0.000568531,2.31E-12,3.281848433,15.54938155,2.538519495,6.020280028,3.465498838,0.55459283,0.102206944,1.86E-05,0.019936272,0.079704276,0.041178502,0.104508068,0.024803792,0.262120927,0.472782068,0.013149369,0.002222923,0.00257255,0.000397124,1.35E-07,0.000279783,13.80925472,1,0.804357381,2.399886984,0.024531613,0.001909368,0.009680103,0,0.004592516,0.006216802,0.105490676,0.184118164,0.242961637,0.030959691,0.058815219,0.141291518,2.798769385,0.416494004,0.029802537,1.206033779,2.11307842,0.907044641,2.70E-08,0.247127519,0.014324418,0.041994726,0.103581968,7.50E-07,0.058661393,0.000320996,6.18E-08,5.47E-07,2.99E-07,9.07E-07,0.4897972,0.025436366,1.230394927,0.036519746,0.239144221,0.309640861,0.157192189,0.08845043,0.054837697,0.069586237,0.041916243,0.026308784,0.017537829,0.0271316,0.022871225,0.006979657,0.064739122,0.063411189,0.006113518,0.747504238,0.909336347,0.001537389,0.37973253,0.954982106,0.0871068,5.27E-11,6.41E-11,0,0.019833616,1.53E-05,1.25E-06,0,0,1.27E-05,1.39E-13,1.14E-14,0,0,0,5.80E-14,0,0,0,0,0.05973818,2.25E-17,0,0,0,0,0,0.662020468,1.02166133,0.04573052,0,0,0,0,0,0.031499969,0.235044264,0.015904439,1.73E-07,3.06E-07,3.65E-13,0,0,1.54E-07,2.01E-11,1.42E-12,0,3.58E-10,9.86E-16,0,0,0,0,0.003055409,0.008948013,5.72E-14,0.002098355,0.006854084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76,0,-1.301029996,7.477,0.000150185,0.000151848,0.017015786,0,107.510649,24.89820847,4.00E-08,6.68E-08,2.68E-08,0.002495678,0.010445064,0.002564395,0.017152969,0.001761776,2.18E-06,5.68E-05,1.20E-05,8.12E-06,2.01E-05,0.002891349,0.001726447,0.003214733,0.001488255,0.017694813,0.01899336,0,7.76E-10,0.003212228,0.000605832,0.006238411,0.039905412,0.066487096,0.026475821,4.63E-05,0.005139376,0.065062015,0.067332749,0.005693435,0.001337854,0.540372087,0.1818999,0.000647018,8.59E-12,3.265159108,15.6981333,1.889814583,4.495427211,2.588167126,0.613129541,0.100441619,1.11E-05,0.019733463,0.056292283,0.040776121,0.073812954,0.017520672,0.262146079,0.472657229,0.020434728,0.002348973,0.002727982,0.000990322,1.98E-07,0.000697225,13.77724881,1,1.263248559,3.769105487,0.024252067,0.001845653,0.005928026,0,0.003198447,0.004628852,0.104532072,0.122895264,0.162171135,0.033290529,0.039257078,0.100219243,2.799079178,0.295427211,0.029525182,0.839639188,1.470245552,0.630606364,1.70E-07,0.24056001,0.011073353,0.032448008,0.08070659,1.81E-06,0.057103483,0.000290444,3.69E-08,3.27E-07,1.78E-07,5.41E-07,0.535016287,0.025483275,1.343961413,0.036588574,0.235843147,0.310570659,0.157548234,0.088636933,0.054945502,0.069875971,0.042075921,0.026400338,0.017595527,0.018625031,0.016053621,0.004979015,0.100557504,0.039921072,0.003849286,1.223252318,1.476916813,0.003883425,0.250516788,1.08907542,0.099270233,2.23E-10,2.72E-10,0,0.024909797,3.70E-05,3.01E-06,0,0,3.15E-05,6.81E-13,5.58E-14,0,0,0,3.84E-10,3.86E-19,3.31E-20,0,0,0.047381609,2.36E-16,0,0,0,0,0,0.737221248,1.139376096,0.12302681,0,0,0,0,0,0.019822726,0.233663242,0.015793661,1.17E-06,2.08E-06,6.71E-13,0,0,3.09E-07,7.56E-11,5.32E-12,0,4.74E-10,3.26E-15,0,0,0,0,0.004834315,0.014159045,1.58E-13,0.002504385,0.005693435
