#Name   q    Err_down    Err_up
rf0780      7.00000      0.00000    0.0980854
rf0433      7.13078     0.130780     0.425036
rf0446      8.30780      1.14433     0.294256
rf0447      7.65390     0.359646     0.294256
rf0448      7.16348     0.163476     0.196171
rf0456      7.19617     0.163476     0.326951
rf0462      7.16348    0.0980854     0.196171
rf0463      7.35965     0.261561     0.326951
rf0779      7.29426     0.130781     0.196170
rf0376      7.42504     0.163476     0.294256
rf0377      7.55582     0.196170     0.294256
rf0378      7.03270    0.0326953     0.228866
rf0383      7.75199     0.653902     0.294256
rf0384      7.22887     0.163476     0.261561
rf0706      7.22887    0.0980854     0.261561
rf0707      7.19617     0.163476     0.457731
rf0386      7.19617     0.130781     0.163476
rf0387      7.13078    0.0653901     0.228866
rf0391      7.09809    0.0653901     0.196171
rf0711      7.00000      0.00000     0.490427
rf0397      7.35965     0.294256      1.01355
rf0398      7.68660     0.425036     0.261561
rf0399      7.19617     0.163476     0.261560
rf0400      7.55582     0.359646     0.294256
rf0405      7.68660     0.294256     0.555817
rf0414      7.94816     0.196171     0.261560
rf0741      7.26156     0.163476     0.196170
rf0415      7.32695     0.261561     0.163476
rf0465      7.35965     0.261561     0.196170
rf0466      7.22887     0.196170     0.261561
rf0471      7.29426     0.228866     0.326951
rf0765      7.85007     0.130781     0.261560
rf0773      7.42504    0.0653901     0.228866
rf0774      7.35965     0.130781     0.228866
rf0500      7.00000      0.00000     0.326951
rf0781      7.09809    0.0653901     0.196171
rf0782      7.58851     0.228866     0.163476
rf0720      7.26156     0.196171     0.261561
rf0724      7.00000      0.00000     0.490427
rf0402      7.00000      0.00000     0.490427
rf0403      7.58851     0.261561     0.228866
rf0365      7.00000      0.00000    0.0653901
rf0367      7.35965    0.0653901     0.163476
rf0372      7.49043     0.425036    0.0653901
rf0374      7.16348     0.130780     0.196171
rf0375      7.00000      0.00000     0.163476
rf0388      7.71929     0.228866     0.882768
rf0392      7.45773    0.0980849     0.261561
rf0394      7.78468     0.425036     0.359646
rf0395      7.52312     0.392342     0.457731
rf0396      7.68660     0.425036     0.915463
rf0719      7.00000      0.00000     0.523122
rf0401      7.49043    0.0980854     0.196171
rf0725      7.26156    0.0980854     0.130780
rf0730      7.22887     0.228866     0.228866
rf0346      7.98085     0.980853     0.588512
rf0348      8.11163     0.490426     0.359647
rf0688      7.22887     0.130780     0.261561
rf0689      7.00000      0.00000     0.490427
rf0351      7.35965     0.130781     0.163476
rf0353      7.68660     0.228866     0.130780
