#Name   Z    Err_down    Err_up
rf0780      7.35897      0.00000     0.980853
rf0433      8.30713     0.425036     0.425036
rf0446      8.96103     0.196171      0.00000
rf0447      8.79755     0.130780    0.0980854
rf0448      8.30713     0.228866     0.392341
rf0456      8.14365     0.490426     0.359646
rf0462      7.65323     0.294256     0.588512
rf0463      8.86294     0.130780    0.0653902
rf0779      8.50330     0.130780     0.196171
rf0376      8.33982     0.294256     0.425036
rf0377      8.89564    0.0653902    0.0326951
rf0378      8.43791    0.0980853     0.196171
rf0383      8.92834    0.0980853    0.0326951
rf0384      7.48975     0.130780     0.621207
rf0706      8.66677     0.196171     0.163476
rf0707      8.50330     0.196171     0.130780
rf0386      8.63408     0.130780     0.130780
rf0387      8.56869     0.130780     0.228866
rf0391      7.94748     0.588512     0.326951
rf0711      8.79755      1.43858     0.163476
rf0397      8.69947     0.130780    0.0326952
rf0398      8.73216     0.163476    0.0980853
rf0399      8.33982     0.294256     0.326951
rf0400      8.96103    0.0326951      0.00000
rf0405      8.83025     0.163476    0.0653902
rf0414      8.04557     0.686597     0.261561
rf0741      7.68592     0.326951     0.555817
rf0415      8.63408     0.130780     0.130780
rf0465      8.11096     0.555817     0.294256
rf0466      8.33982     0.326951     0.326951
rf0471      8.20904     0.555817     0.392341
rf0765      7.35897      0.00000     0.784682
rf0773      7.35897      0.00000     0.784682
rf0774      7.55514     0.196171     0.653902
rf0500      8.24174     0.228866     0.130780
rf0781      7.58784     0.228866     0.621207
rf0782      8.14365     0.784682     0.457731
rf0720      8.30713     0.294256     0.326951
rf0724      8.79755      1.43858     0.163476
rf0402      8.79755      1.43858     0.163476
rf0403      8.47060     0.261561     0.163476
rf0365      7.35897      0.00000     0.850073
rf0367      7.35897      0.00000     0.817378
rf0372      8.33982     0.228866    0.0980853
rf0374      8.33982     0.294256     0.261561
rf0375      8.33982     0.163475     0.196171
rf0388      8.63408     0.130780    0.0326951
rf0392      7.98018     0.621207     0.261561
rf0394      8.92834    0.0980853      0.00000
rf0395      8.92834    0.0980853    0.0326951
rf0396      8.60138     0.130780     0.326951
rf0719      8.96103      1.60206      0.00000
rf0401      7.35897      0.00000     0.686597
rf0725      7.58784     0.228866     0.523122
rf0730      8.63408     0.163476     0.130780
rf0346      8.96103    0.0980853      0.00000
rf0348      8.73216    0.0980853    0.0326951
rf0688      8.11096     0.457731     0.326951
rf0689      8.79755      1.43858     0.163476
rf0351      8.33982     0.163475     0.261561
rf0353      8.14365     0.653902     0.228866
rf0690      7.35897      0.00000     0.817378
rf0692      7.55514     0.196171     0.653902
rf0354      8.96103      1.60206      0.00000
rf0693      7.35897      0.00000     0.915463
rf0358      8.20904     0.653902     0.326951
rf0363      8.11096     0.686597     0.261561
rf0364      8.53599     0.130780     0.130780
rf0366      8.79755      1.43858     0.163476
rf0368      8.07826     0.621207     0.261561
rf0694      8.27443     0.261561     0.490426
rf0370      8.24174     0.523122     0.261561
rf0695      7.35897      0.00000     0.882768
rf0696      8.79755      1.43858     0.163476
rf0373      8.96103      1.60206     -1.60206
rf0697      7.58784     0.228866     0.621207
rf0701      7.52245     0.163476     0.588512
rf0702      7.35897      0.00000     0.653902
rf0381      8.20904     0.621207     0.294256
rf0703      7.35897      0.00000     0.719292
rf0385      8.27443     0.425036     0.326951
rf0776      7.45706    0.0980853     0.686597
rf0495      8.30713     0.196171    0.0653902
rf0496      7.39166    0.0326951      1.47128
rf0777      7.35897      0.00000     0.751987
rf0778      7.35897      0.00000     0.784682
rf0499      8.92834      1.56936    0.0326951
rf0502      8.14365     0.784682     0.653902
rf0503      8.79755      1.43858     0.163476
rf0784      8.73216     0.359646     0.228866
rf0785      8.33982     0.196171     0.261561
rf0789      7.35897      0.00000     0.850073
rf0505      8.96103      1.60206      0.00000
rf0506      8.56869     0.326951     0.163476
rf0792      7.71862     0.261561     0.588512
rf0507      8.14365     0.555817     0.359646
rf0510      8.96103      1.60206     -1.60206
rf0513      8.73216     0.130780    0.0980853
rf0795      7.48975     0.130780     0.555817
rf0796      7.68592    0.0653902      0.00000
rf0797      7.62053     0.261561     0.555817
rf0290      8.89564    0.0653902    0.0326951
rf0323      8.43791     0.196171     0.425036
rf0453      8.20904     0.523122     0.359646
rf0763      7.42436    0.0653902     0.817377
rf0436      8.04557     0.686597     0.392341
rf0439      7.35897      0.00000     0.784682
rf0441      8.04557     0.686597     0.261561
rf0476      8.14365     0.555817     0.294256
rf0477      8.14365     0.621207     0.686597
rf0771      8.69947     0.130780    0.0980853
rf0487      8.96103      1.60206      0.00000
rf0488      8.79755      1.43858     0.163476
rf0756      7.35897      0.00000     0.719292
rf0413      8.30713     0.261561     0.359646
rf0723      8.14365     0.555817     0.294256
rf0427      8.56869     0.130780    0.0980853
rf0464      8.07826     0.719292     0.196171
rf0430      7.71862     0.359646     0.523122
rf0761      7.42436    0.0653902     0.719292
rf0750      8.07826     0.555817     0.392341
rf0432      8.20904     0.555817     0.261561
rf0434      8.11096     0.621207     0.261561
rf0788      7.65323     0.294256     0.588512
rf0712      8.17635     0.817378     0.653902
rf0729      8.27443     0.326951     0.457731
rf0731      7.35897      0.00000     0.751987
rf0419      8.11096     0.751987     0.163476
rf0425      8.37252     0.196171     0.425036
rf0753      7.39166    0.0326951     0.686597
rf0435      8.43791     0.196171    0.0653902
rf0454      8.07826     0.588512     0.294256
rf0455      8.30713     0.196171    0.0653902
rf0762      7.35897      0.00000     0.948158
rf0467      8.24174     0.523122     0.425036
rf0479      7.94748     0.588512     0.294256
rf0714      8.07826     0.490426     0.261561
rf0412      8.30713     0.326951     0.261561
rf0717      8.11096     0.621207     0.392341
rf0718      8.27443     0.653902     0.228866
rf0444      8.40521     0.163476    0.0653902
rf0705      8.24174     0.523122     0.294256
rf0713      7.75131     0.392341     0.523122
rf0473      8.37252     0.326951     0.425036
rf0480      7.91479     0.555817     0.359646
rf0482      8.79755      1.43858     0.163476
rf0485      7.42436    0.0653902     0.719292
rf0474      8.07826     0.719292     0.228866
rf0772      7.35897      0.00000     0.490426
rf0775      7.35897      0.00000     0.425036
rf0428      7.71862     0.228866     0.457731
rf0764      7.58784     0.228866     0.653902
rf0460      8.83025     0.163476    0.0653902
rf0461      8.20904     0.457731     0.294256
rf0791      7.52245     0.163476     0.621207
rf0728      7.75131     0.392341     0.588512
rf0745      7.39166    0.0326951     0.490427
rf0748      8.96103    0.0980853      0.00000
rf0431      7.39166    0.0326951     0.621207
rf0459      7.52245     0.163476     0.686597
rf0440      8.17635     0.555817     0.686597
rf0393      7.35897      0.00000     0.817378
rf0749      7.45706    0.0980853     0.686597
rs0002      8.33982     0.294256     0.359646
rs0003      8.79755      1.43858     0.163476
rs0004      7.75131     0.294256     0.490426
rs0005      8.17635     0.817378     0.425036
rs1314      8.53599     0.130780     0.130780
rs0006      8.20904     0.686597     0.555817
rs0007      8.01287     0.523122     0.359646
rs0009      7.48975     0.130780     0.719292
rs0010      8.11096     0.490426     0.294256
rs0011      7.75131     0.326951     0.523122
rs0012      8.30713     0.392341     0.392341
rs0013      8.27443     0.425036     0.457731
rs0014      8.30713     0.130780     0.196171
rs0015      7.48975     0.130780     0.686597
rs0018      8.89564     0.326951    0.0653901
rs0019      8.69947     0.163475    0.0980853
rs0021      8.79755      1.43858     0.163476
rs0022      8.56869     0.163476      0.00000
rs0023      8.60138    0.0980853     0.130780
rs0029      8.79755     0.163475    0.0653902
rs0030      8.37252    0.0980853    0.0980853
rs0032      8.96103     0.130780      0.00000
rs0035      8.11096     0.751987     0.196171
rs0037      7.58784     0.228866     0.588512
rs0039      7.65323     0.294256     0.555817
rs0040      8.11096     0.490426     0.392341
rs0041      8.17635     0.817378     0.425036
rs0042      8.30713     0.261561     0.523122
rs0043      8.79755      1.43858     0.163476
rs0044      8.50330     0.196171     0.326951
rs0045      7.78401     0.326951     0.294256
rs0046      8.89564     0.392341    0.0326951
rs1315      8.30713     0.130780     0.163476
rs0048      8.63408     0.163476    0.0980853
rs0049      8.96103    0.0980853      0.00000
rs1316      8.56869     0.163476     0.228866
rs0050      8.73216     0.163476    0.0980853
rs0051      8.76486     0.130780    0.0980853
rs0052      8.47060     0.130780    0.0980853
rs0053      8.92834     0.130780    0.0326951
rs0054      8.14365     0.621207     0.294256
rs0055      8.86294     0.163476    0.0653902
rs0056      8.30713     0.261561     0.425036
rs0057      8.07826     0.719292     0.326951
rs1317      8.66677      1.30780     0.261561
rs0060      8.04557     0.653902     0.294256
rs1318      8.07826     0.719292     0.686597
rs1319      8.92834     0.130780    0.0326951
rs0062      7.71862     0.228866     0.457731
rs0063      8.20904     0.490427     0.392341
rs0064      8.53599     0.163476    0.0653901
rs0065      8.17635     0.555817     0.261561
rs0066      7.35897      0.00000     0.719292
rs0068      8.14365     0.555817     0.359646
rs0070      7.71862     0.359646     0.523122
rs0074      8.47060     0.130780     0.130780
rs0077      8.89564     0.163476    0.0326951
rs0080      8.96103    0.0326951      0.00000
rs0081      8.11096     0.751987     0.751987
rs0082      7.45706    0.0980853     0.719292
rs0083      7.62053     0.228866     0.163476
rs0084      8.79755      1.43858     0.163476
rs0085      8.24174     0.457731     0.326951
rs0088      8.14365     0.588512     0.228866
rs0087      8.47060     0.163476     0.130780
rs0089      8.86294     0.163476    0.0653902
rs0090      8.07826     0.719292     0.294256
rs0092      8.79755      1.43858     0.163476
rs0093      8.86294     0.163476    0.0326952
rs0094      8.76486     0.457731     0.163476
