#Name 	 q_Estimate 	 Err_down 	 Err_up
 rf0001 	 7.719292 	 0.228866 	 0.261561 
 rf0002 	 7.425036 	 0.032695 	 0.065390 
 rf0003 	 7.228866 	 0.098085 	 0.130780 
 rf0006 	 7.490427 	 0.130780 	 0.163476 
 rf0007 	 7.196171 	 0.065390 	 0.098085 
 rf0010 	 8.602060 	 8.602060 	 -8.602060 
 rf0011 	 7.359646 	 0.098085 	 0.098085 
 rf0013 	 7.555817 	 0.000000 	 0.000000 
 rf0014 	 7.588512 	 0.228866 	 0.261561 
 rf0015 	 7.359646 	 0.032695 	 0.065390 
 rf0016 	 7.294256 	 0.032695 	 0.065390 
 rf0017 	 7.621207 	 0.163476 	 0.130780 
 rf0020 	 7.294256 	 0.098085 	 0.130780 
 rf0022 	 7.457732 	 0.032695 	 0.032695 
 rf0023 	 8.602060 	 8.602060 	 -8.602060 
 rf0024 	 7.163476 	 0.098085 	 0.130780 
 rf0025 	 7.359646 	 0.065390 	 0.032695 
 rf0029 	 7.588512 	 0.098085 	 0.130780 
 rf0030 	 7.294256 	 0.130780 	 0.098085 
 rf0031 	 7.392341 	 0.065390 	 0.032695 
 rf0033 	 7.653902 	 0.196171 	 0.261561 
 rf0034 	 8.602060 	 8.602060 	 -8.602060 
 rf0040 	 7.130780 	 0.098085 	 0.130780 
 rf0042 	 7.751987 	 0.163476 	 0.196171 
 rf0043 	 7.098085 	 0.098085 	 0.098085 
 rf0045 	 7.719292 	 0.163476 	 0.228866 
 rf0048 	 7.621207 	 0.130780 	 0.228866 
 rf0049 	 7.686597 	 0.196171 	 0.228866 
 rf0051 	 8.602060 	 8.602060 	 -8.602060 
 rf0053 	 7.719292 	 0.130780 	 0.163476 
 rf0055 	 7.555817 	 0.163476 	 0.163476 
 rf0057 	 7.261561 	 0.130780 	 0.098085 
 rf0058 	 7.425036 	 0.130780 	 0.130780 
 rf0059 	 7.653902 	 0.098085 	 0.130780 
 rf0060 	 7.555817 	 0.163476 	 0.163476 
 rf0062 	 7.261561 	 0.065390 	 0.065390 
 rf0064 	 8.602060 	 8.602060 	 -8.602060 
 rf0065 	 7.653902 	 0.196171 	 0.196171 
 rf0071 	 7.098085 	 0.065390 	 0.098085 
