#Name 	 Z_Estimate 	 Err_down 	 Err_up
 rf0780 	 8.241738 	 0.098085 	 0.065390 
 rf0433 	 8.437908 	 0.130780 	 0.294256 
 rf0446 	 7.358970 	 0.000000 	 0.196171 
 rf0447 	 8.666774 	 0.000000 	 0.000000 
 rf0448 	 8.437908 	 0.098085 	 0.098085 
 rf0456 	 8.470603 	 0.098085 	 0.130780 
 rf0462 	 8.274433 	 0.065390 	 0.130780 
 rf0463 	 8.470603 	 0.032695 	 0.065390 
 rf0779 	 8.961030 	 0.301030 	 -0.301030 
 rf0376 	 8.437908 	 0.032695 	 0.065390 
 rf0377 	 8.961030 	 0.301030 	 -0.301030 
 rf0378 	 8.503298 	 0.098085 	 0.130780 
 rf0383 	 8.961030 	 0.301030 	 -0.301030 
 rf0384 	 8.274433 	 0.032695 	 0.065390 
 rf0706 	 8.470603 	 0.065390 	 0.065390 
 rf0707 	 8.274433 	 0.000000 	 0.000000 
 rf0386 	 8.961030 	 0.301030 	 -0.301030 
 rf0387 	 8.535994 	 0.130780 	 0.130780 
 rf0391 	 8.307128 	 0.065390 	 0.098085 
 rf0711 	 8.307128 	 0.032695 	 0.000000 
 rf0397 	 8.961030 	 0.301030 	 -0.301030 
 rf0398 	 8.470603 	 0.065390 	 0.098085 
 rf0399 	 8.372518 	 0.032695 	 0.032695 
 rf0400 	 8.961030 	 0.301030 	 -0.301030 
 rf0405 	 8.634079 	 0.000000 	 0.032695 
 rf0414 	 7.980177 	 0.000000 	 0.000000 
 rf0741 	 8.274433 	 0.065390 	 0.130780 
 rf0415 	 8.437908 	 0.065390 	 0.065390 
 rf0465 	 8.307128 	 0.032695 	 0.098085 
 rf0466 	 8.405213 	 0.065390 	 0.065390 
 rf0471 	 8.437908 	 0.130780 	 0.163476 
 rf0765 	 8.045567 	 0.032695 	 0.065390 
 rf0773 	 8.241738 	 0.098085 	 0.065390 
 rf0774 	 8.143652 	 0.098085 	 0.130780 
 rf0500 	 8.961030 	 0.301030 	 -0.301030 
 rf0781 	 8.274433 	 0.065390 	 0.098085 
 rf0782 	 8.209043 	 0.032695 	 0.032695 
 rf0720 	 8.961030 	 0.301030 	 -0.301030 
 rf0724 	 8.961030 	 0.301030 	 -0.301030 
 rf0402 	 8.961030 	 0.301030 	 -0.301030 
 rf0403 	 8.961030 	 0.301030 	 -0.301030 
 rf0365 	 8.961030 	 0.301030 	 -0.301030 
 rf0367 	 8.274433 	 0.032695 	 0.000000 
 rf0372 	 8.961030 	 0.301030 	 -0.301030 
 rf0374 	 8.339823 	 0.098085 	 0.130780 
 rf0375 	 8.666774 	 0.000000 	 0.000000 
 rf0388 	 8.961030 	 0.301030 	 -0.301030 
 rf0392 	 8.176347 	 0.000000 	 0.032695 
 rf0394 	 8.961030 	 0.301030 	 -0.301030 
 rf0395 	 8.961030 	 0.301030 	 -0.301030 
 rf0396 	 8.961030 	 0.301030 	 -0.301030 
 rf0719 	 8.961030 	 0.301030 	 -0.301030 
 rf0401 	 8.241738 	 0.098085 	 0.032695 
 rf0725 	 8.274433 	 0.032695 	 0.098085 
 rf0730 	 8.405213 	 0.065390 	 0.065390 
 rf0346 	 8.961030 	 0.130780 	 0.000000 
 rf0348 	 8.961030 	 0.301030 	 -0.301030 
 rf0688 	 8.274433 	 0.032695 	 0.098085 
 rf0689 	 8.307128 	 0.065390 	 0.098085 
 rf0351 	 8.274433 	 0.032695 	 0.000000 
 rf0353 	 8.078262 	 0.000000 	 0.000000 
 rf0690 	 8.078262 	 0.000000 	 0.032695 
 rf0692 	 8.241738 	 0.000000 	 0.032695 
 rf0354 	 8.961030 	 0.301030 	 -0.301030 
 rf0693 	 8.241738 	 0.065390 	 0.032695 
 rf0358 	 8.078262 	 0.000000 	 0.032695 
 rf0363 	 8.045567 	 0.000000 	 0.000000 
 rf0364 	 8.961030 	 0.301030 	 -0.301030 
 rf0366 	 8.961030 	 0.301030 	 -0.301030 
 rf0368 	 8.241738 	 0.000000 	 0.032695 
 rf0694 	 8.209043 	 0.032695 	 0.000000 
 rf0370 	 8.307128 	 0.032695 	 0.032695 
 rf0695 	 8.339823 	 0.065390 	 0.098085 
 rf0696 	 8.274433 	 0.032695 	 0.098085 
 rf0373 	 8.961030 	 0.301030 	 -0.301030 
 rf0697 	 8.274433 	 0.098085 	 0.065390 
 rf0701 	 8.274433 	 0.032695 	 0.130780 
 rf0702 	 8.176347 	 0.065390 	 0.032695 
 rf0381 	 8.339823 	 0.065390 	 0.130780 
 rf0703 	 8.241738 	 0.098085 	 0.032695 
 rf0385 	 8.339823 	 0.032695 	 0.065390 
 rf0776 	 8.274433 	 0.032695 	 0.032695 
 rf0495 	 8.437908 	 0.065390 	 0.065390 
 rf0496 	 8.241738 	 0.032695 	 0.032695 
 rf0777 	 8.274433 	 0.065390 	 0.000000 
 rf0778 	 8.274433 	 0.032695 	 0.065390 
 rf0499 	 8.274433 	 0.032695 	 0.032695 
 rf0502 	 8.339823 	 0.065390 	 0.098085 
 rf0503 	 8.307128 	 0.032695 	 0.000000 
 rf0784 	 8.209043 	 0.065390 	 0.032695 
 rf0785 	 8.372518 	 0.098085 	 0.065390 
 rf0789 	 8.143652 	 0.032695 	 0.032695 
 rf0505 	 8.339823 	 0.098085 	 0.098085 
 rf0506 	 8.535994 	 0.032695 	 0.032695 
 rf0792 	 8.274433 	 0.065390 	 0.098085 
 rf0507 	 8.437908 	 0.130780 	 0.130780 
 rf0510 	 8.961030 	 0.301030 	 -0.301030 
 rf0513 	 8.961030 	 0.301030 	 -0.301030 
 rf0795 	 8.241738 	 0.000000 	 0.000000 
 rf0796 	 8.961030 	 0.301030 	 -0.301030 
 rf0797 	 8.274433 	 0.032695 	 0.098085 
 rf0290 	 8.666774 	 0.000000 	 0.000000 
 rf0323 	 8.437908 	 0.065390 	 0.130780 
 rf0453 	 8.437908 	 0.098085 	 0.163476 
 rf0763 	 8.241738 	 0.065390 	 0.032695 
 rf0436 	 8.274433 	 0.130780 	 0.196171 
 rf0439 	 8.110957 	 0.032695 	 0.032695 
 rf0441 	 8.241738 	 0.065390 	 0.032695 
 rf0476 	 8.307128 	 0.032695 	 0.130780 
 rf0477 	 8.274433 	 0.032695 	 0.032695 
 rf0771 	 8.699469 	 0.196171 	 0.065390 
 rf0487 	 8.307128 	 0.065390 	 0.130780 
 rf0488 	 8.961030 	 0.301030 	 -0.301030 
 rf0756 	 8.176347 	 0.098085 	 0.098085 
 rf0413 	 8.372518 	 0.065390 	 0.098085 
 rf0723 	 8.274433 	 0.032695 	 0.098085 
 rf0427 	 8.437908 	 0.065390 	 0.130780 
 rf0464 	 7.980177 	 0.000000 	 0.032695 
 rf0430 	 8.274433 	 0.065390 	 0.098085 
 rf0761 	 8.241738 	 0.032695 	 0.032695 
 rf0750 	 8.274433 	 0.032695 	 0.032695 
 rf0432 	 8.372518 	 0.065390 	 0.130780 
 rf0434 	 8.274433 	 0.065390 	 0.032695 
 rf0788 	 8.372518 	 0.098085 	 0.098085 
 rf0712 	 8.274433 	 0.065390 	 0.032695 
 rf0729 	 8.307128 	 0.065390 	 0.130780 
 rf0731 	 8.274433 	 0.065390 	 0.130780 
 rf0419 	 8.045567 	 0.000000 	 0.000000 
 rf0425 	 8.470603 	 0.098085 	 0.163476 
 rf0753 	 8.241738 	 0.065390 	 0.032695 
 rf0435 	 8.961030 	 0.301030 	 -0.301030 
 rf0454 	 8.437908 	 0.130780 	 0.130780 
 rf0455 	 8.470603 	 0.065390 	 0.130780 
 rf0762 	 8.012872 	 0.032695 	 0.032695 
 rf0467 	 8.470603 	 0.098085 	 0.196171 
 rf0479 	 8.241738 	 0.032695 	 0.032695 
 rf0714 	 8.307128 	 0.065390 	 0.098085 
 rf0412 	 8.339823 	 0.065390 	 0.098085 
 rf0717 	 8.307128 	 0.032695 	 0.065390 
 rf0718 	 8.274433 	 0.032695 	 0.130780 
 rf0444 	 8.503298 	 0.000000 	 0.000000 
 rf0705 	 8.405213 	 0.065390 	 0.130780 
 rf0713 	 8.274433 	 0.065390 	 0.130780 
 rf0473 	 8.470603 	 0.065390 	 0.163476 
 rf0480 	 8.339823 	 0.065390 	 0.098085 
 rf0482 	 8.470603 	 0.098085 	 0.130780 
 rf0485 	 8.110957 	 0.065390 	 0.065390 
 rf0474 	 8.078262 	 0.000000 	 0.000000 
 rf0772 	 7.980177 	 0.000000 	 0.032695 
 rf0775 	 8.078262 	 0.000000 	 0.032695 
 rf0428 	 8.209043 	 0.000000 	 0.000000 
 rf0764 	 8.274433 	 0.065390 	 0.098085 
 rf0460 	 8.961030 	 0.301030 	 -0.301030 
 rf0461 	 8.143652 	 0.032695 	 0.000000 
 rf0791 	 8.274433 	 0.065390 	 0.098085 
 rf0728 	 8.241738 	 0.098085 	 0.130780 
 rf0745 	 8.045567 	 0.032695 	 0.032695 
 rf0748 	 8.961030 	 0.301030 	 -0.301030 
 rf0431 	 8.241738 	 0.032695 	 0.032695 
 rf0459 	 8.241738 	 0.065390 	 0.032695 
 rf0440 	 8.274433 	 0.032695 	 0.065390 
 rf0393 	 8.274433 	 0.032695 	 0.032695 
 rf0749 	 8.241738 	 0.098085 	 0.032695 
 rs0002 	 8.372518 	 0.065390 	 0.130780 
 rs0003 	 8.961030 	 0.301030 	 -0.301030 
 rs0004 	 8.274433 	 0.065390 	 0.000000 
 rs0005 	 8.961030 	 0.301030 	 -0.301030 
 rs1314 	 8.961030 	 0.301030 	 -0.301030 
 rs0006 	 8.110957 	 0.000000 	 0.032695 
 rs0007 	 8.339823 	 0.065390 	 0.065390 
 rs0009 	 8.209043 	 0.065390 	 0.032695 
 rs0010 	 8.339823 	 0.032695 	 0.130780 
 rs0011 	 8.339823 	 0.065390 	 0.130780 
 rs0012 	 8.274433 	 0.065390 	 0.000000 
 rs0013 	 8.307128 	 0.032695 	 0.098085 
 rs0014 	 8.405213 	 0.000000 	 0.000000 
 rs0015 	 8.961030 	 0.301030 	 -0.301030 
 rs0018 	 8.961030 	 1.602060 	 0.000000 
 rs0019 	 8.764859 	 0.163476 	 0.098085 
 rs0021 	 8.961030 	 0.301030 	 -0.301030 
 rs0022 	 8.961030 	 0.301030 	 -0.301030 
 rs0023 	 8.961030 	 0.301030 	 -0.301030 
 rs0029 	 8.666774 	 0.032695 	 0.000000 
 rs0030 	 8.274433 	 0.000000 	 0.000000 
 rs0032 	 7.358970 	 0.000000 	 1.602060 
 rs0035 	 8.045567 	 0.000000 	 0.000000 
 rs0037 	 8.274433 	 0.032695 	 0.000000 
 rs0039 	 8.241738 	 0.000000 	 0.032695 
 rs0040 	 8.405213 	 0.098085 	 0.130780 
 rs0041 	 8.503298 	 0.163476 	 0.228866 
 rs0042 	 8.339823 	 0.065390 	 0.032695 
