#Name 	 q_Estimate 	 Err_down 	 Err_up
 rf0780 	 7.000000 	 0.000000 	 0.098085 
 rf0433 	 7.000000 	 0.000000 	 0.261561 
 rf0446 	 8.013548 	 0.948158 	 0.588512 
 rf0447 	 7.523122 	 0.196171 	 0.261561 
 rf0448 	 7.032695 	 0.032695 	 0.228866 
 rf0456 	 7.032695 	 0.032695 	 0.130780 
 rf0462 	 7.196171 	 0.065390 	 0.130780 
 rf0463 	 7.359646 	 0.228866 	 0.196171 
 rf0779 	 7.261561 	 0.098085 	 0.228866 
 rf0376 	 7.392341 	 0.163476 	 0.326951 
 rf0377 	 7.588512 	 0.163476 	 0.261561 
 rf0378 	 7.065390 	 0.065390 	 0.163476 
 rf0383 	 7.555817 	 0.294256 	 0.359646 
 rf0384 	 7.196171 	 0.098085 	 0.196171 
 rf0706 	 7.359646 	 0.196171 	 0.130780 
 rf0707 	 7.228866 	 0.163476 	 0.392341 
 rf0386 	 7.196171 	 0.098085 	 0.163476 
 rf0387 	 7.163476 	 0.098085 	 0.196171 
 rf0391 	 7.130780 	 0.065390 	 0.130780 
 rf0711 	 7.000000 	 0.000000 	 0.294256 
 rf0397 	 7.980853 	 0.523122 	 0.326951 
 rf0398 	 7.359646 	 0.196171 	 0.196171 
 rf0399 	 7.163476 	 0.130780 	 0.261561 
 rf0400 	 7.555817 	 0.261561 	 0.261561 
 rf0405 	 7.555817 	 0.196171 	 0.294256 
 rf0414 	 7.882768 	 0.130780 	 0.228866 
 rf0741 	 7.228866 	 0.065390 	 0.130780 
 rf0415 	 7.261561 	 0.163476 	 0.196171 
 rf0465 	 7.294256 	 0.130780 	 0.163476 
 rf0466 	 7.196171 	 0.130780 	 0.261561 
 rf0471 	 7.261561 	 0.163476 	 0.228866 
 rf0765 	 7.817378 	 0.098085 	 0.163476 
 rf0773 	 7.392341 	 0.065390 	 0.130780 
 rf0774 	 7.294256 	 0.065390 	 0.163476 
 rf0500 	 7.294256 	 0.294256 	 0.130780 
 rf0781 	 7.163476 	 0.098085 	 0.163476 
 rf0782 	 7.523122 	 0.098085 	 0.196171 
 rf0720 	 7.261561 	 0.163476 	 0.228866 
 rf0724 	 7.000000 	 0.000000 	 0.294256 
 rf0402 	 7.000000 	 0.000000 	 0.294256 
 rf0403 	 7.523122 	 0.163476 	 0.228866 
 rf0365 	 7.000000 	 0.000000 	 0.065390 
 rf0367 	 7.326951 	 0.065390 	 0.130780 
 rf0372 	 7.457732 	 0.261561 	 0.163476 
 rf0374 	 7.130780 	 0.098085 	 0.228866 
 rf0375 	 7.000000 	 0.000000 	 0.326951 
 rf0388 	 8.013548 	 0.359646 	 0.588512 
 rf0392 	 7.490427 	 0.098085 	 0.130780 
 rf0394 	 7.817378 	 0.359646 	 0.228866 
 rf0395 	 7.523122 	 0.261561 	 0.294256 
 rf0396 	 7.915463 	 0.523122 	 0.686597 
 rf0719 	 7.000000 	 0.000000 	 0.294256 
 rf0401 	 7.457732 	 0.065390 	 0.098085 
 rf0725 	 7.261561 	 0.065390 	 0.130780 
 rf0730 	 7.163476 	 0.163476 	 0.163476 
 rf0346 	 7.915463 	 0.915463 	 0.686597 
 rf0348 	 7.980853 	 0.326951 	 0.359646 
 rf0688 	 7.196171 	 0.098085 	 0.228866 
 rf0689 	 7.000000 	 0.000000 	 0.294256 
 rf0351 	 7.359646 	 0.163476 	 0.163476 
 rf0353 	 7.719292 	 0.196171 	 0.098085 
 rf0690 	 7.588512 	 0.098085 	 0.163476 
 rf0692 	 7.392341 	 0.098085 	 0.130780 
 rf0354 	 7.000000 	 0.000000 	 0.392341 
 rf0693 	 7.490427 	 0.098085 	 0.196171 
 rf0358 	 7.751987 	 0.196171 	 0.196171 
 rf0363 	 7.751987 	 0.130780 	 0.196171 
 rf0364 	 7.261561 	 0.163476 	 0.163476 
 rf0366 	 7.000000 	 0.000000 	 0.294256 
 rf0368 	 7.359646 	 0.098085 	 0.130780 
 rf0694 	 7.686597 	 0.163476 	 0.490427 
 rf0370 	 7.261561 	 0.098085 	 0.196171 
 rf0695 	 7.000000 	 0.000000 	 0.196171 
 rf0696 	 7.000000 	 0.000000 	 0.294256 
 rf0373 	 8.602060 	 8.602060 	 -8.602060 
 rf0697 	 7.326951 	 0.098085 	 0.130780 
 rf0701 	 7.130780 	 0.065390 	 0.098085 
 rf0702 	 7.490427 	 0.098085 	 0.098085 
 rf0381 	 7.359646 	 0.163476 	 0.196171 
 rf0703 	 7.392341 	 0.065390 	 0.163476 
 rf0385 	 7.163476 	 0.130780 	 0.228866 
 rf0776 	 7.261561 	 0.163476 	 0.098085 
 rf0495 	 8.602060 	 0.425036 	 0.000000 
 rf0496 	 7.457732 	 0.098085 	 0.653902 
 rf0777 	 7.130780 	 0.098085 	 0.196171 
 rf0778 	 7.000000 	 0.000000 	 0.130780 
 rf0499 	 7.000000 	 0.000000 	 0.326951 
 rf0502 	 7.000000 	 0.000000 	 0.098085 
 rf0503 	 7.000000 	 0.000000 	 0.523122 
 rf0784 	 7.000000 	 0.000000 	 0.196171 
 rf0785 	 7.261561 	 0.098085 	 0.228866 
 rf0789 	 7.228866 	 0.130780 	 0.130780 
 rf0505 	 7.000000 	 0.000000 	 0.294256 
 rf0506 	 7.163476 	 0.163476 	 0.882768 
 rf0792 	 7.425036 	 0.098085 	 0.130780 
 rf0507 	 7.032695 	 0.032695 	 0.228866 
 rf0510 	 8.602060 	 8.602060 	 -8.602060 
 rf0513 	 7.196171 	 0.163476 	 0.163476 
 rf0795 	 7.000000 	 0.000000 	 0.261561 
 rf0796 	 7.065390 	 0.032695 	 0.065390 
 rf0797 	 7.359646 	 0.098085 	 0.130780 
 rf0290 	 7.817378 	 0.261561 	 0.392341 
 rf0323 	 7.326951 	 0.196171 	 0.359646 
 rf0453 	 7.032695 	 0.032695 	 0.196171 
 rf0763 	 7.523122 	 0.098085 	 0.163476 
 rf0436 	 7.359646 	 0.163476 	 0.228866 
 rf0439 	 7.523122 	 0.098085 	 0.098085 
 rf0441 	 7.490427 	 0.130780 	 0.163476 
 rf0476 	 7.196171 	 0.098085 	 0.196171 
 rf0477 	 7.425036 	 0.163476 	 0.425036 
 rf0771 	 7.196171 	 0.130780 	 0.163476 
 rf0487 	 7.000000 	 0.000000 	 0.425036 
 rf0488 	 7.000000 	 0.000000 	 0.294256 
 rf0756 	 7.392341 	 0.065390 	 0.130780 
 rf0413 	 7.163476 	 0.130780 	 0.261561 
 rf0723 	 7.163476 	 0.098085 	 0.163476 
 rf0427 	 7.163476 	 0.130780 	 0.130780 
 rf0464 	 7.882768 	 0.130780 	 0.196171 
 rf0430 	 7.457732 	 0.098085 	 0.130780 
 rf0761 	 7.392341 	 0.065390 	 0.130780 
 rf0750 	 7.261561 	 0.130780 	 0.163476 
 rf0432 	 7.098085 	 0.098085 	 0.196171 
 rf0434 	 7.457732 	 0.098085 	 0.163476 
 rf0788 	 7.196171 	 0.098085 	 0.130780 
 rf0712 	 7.000000 	 0.000000 	 0.098085 
 rf0729 	 7.326951 	 0.196171 	 0.261561 
 rf0731 	 7.130780 	 0.032695 	 0.130780 
 rf0419 	 7.719292 	 0.130780 	 0.163476 
 rf0425 	 7.196171 	 0.130780 	 0.326951 
 rf0753 	 7.326951 	 0.065390 	 0.130780 
 rf0435 	 8.602060 	 0.294256 	 0.000000 
 rf0454 	 7.196171 	 0.098085 	 0.163476 
 rf0455 	 8.602060 	 0.457732 	 0.000000 
 rf0762 	 7.555817 	 0.130780 	 0.228866 
 rf0467 	 7.000000 	 0.000000 	 0.196171 
 rf0479 	 7.326951 	 0.098085 	 0.163476 
 rf0714 	 7.098085 	 0.065390 	 0.130780 
 rf0412 	 7.261561 	 0.163476 	 0.196171 
 rf0717 	 7.326951 	 0.130780 	 0.196171 
 rf0718 	 7.359646 	 0.196171 	 0.130780 
 rf0444 	 8.602060 	 0.326951 	 0.000000 
 rf0705 	 7.261561 	 0.163476 	 0.196171 
 rf0713 	 7.130780 	 0.065390 	 0.130780 
 rf0473 	 7.000000 	 0.000000 	 0.228866 
 rf0480 	 7.000000 	 0.000000 	 0.065390 
 rf0482 	 7.000000 	 0.000000 	 0.294256 
 rf0485 	 7.653902 	 0.098085 	 0.163476 
 rf0474 	 7.555817 	 0.098085 	 0.196171 
 rf0772 	 7.882768 	 0.098085 	 0.130780 
 rf0775 	 7.621207 	 0.098085 	 0.130780 
 rf0428 	 7.359646 	 0.098085 	 0.098085 
 rf0764 	 7.261561 	 0.098085 	 0.130780 
 rf0460 	 7.326951 	 0.228866 	 0.228866 
 rf0461 	 7.555817 	 0.163476 	 0.228866 
 rf0791 	 7.326951 	 0.098085 	 0.130780 
 rf0728 	 7.261561 	 0.098085 	 0.130780 
 rf0745 	 7.751987 	 0.065390 	 0.130780 
 rf0748 	 7.555817 	 0.359646 	 0.196171 
 rf0431 	 7.425036 	 0.065390 	 0.098085 
 rf0459 	 7.523122 	 0.098085 	 0.130780 
 rf0440 	 7.523122 	 0.196171 	 0.555817 
 rf0393 	 7.751987 	 0.098085 	 0.163476 
 rf0749 	 7.490427 	 0.065390 	 0.130780 
 rs0002 	 7.228866 	 0.163476 	 0.261561 
 rs0003 	 7.000000 	 0.000000 	 0.294256 
 rs0004 	 7.555817 	 0.130780 	 0.130780 
 rs0005 	 7.000000 	 0.000000 	 0.163476 
 rs1314 	 7.228866 	 0.130780 	 0.196171 
 rs0006 	 7.686597 	 0.196171 	 0.588512 
 rs0007 	 7.196171 	 0.098085 	 0.130780 
 rs0009 	 7.523122 	 0.098085 	 0.130780 
 rs0010 	 7.196171 	 0.130780 	 0.130780 
 rs0011 	 7.163476 	 0.098085 	 0.130780 
 rs0012 	 7.359646 	 0.163476 	 0.326951 
 rs0013 	 7.228866 	 0.163476 	 0.294256 
 rs0014 	 7.326951 	 0.130780 	 0.163476 
 rs0015 	 7.065390 	 0.032695 	 0.228866 
 rs0018 	 7.719292 	 0.719292 	 0.686597 
 rs0019 	 7.196171 	 0.163476 	 0.163476 
 rs0021 	 7.000000 	 0.000000 	 0.490427 
 rs0022 	 8.242414 	 0.294256 	 0.359646 
 rs0023 	 7.392341 	 0.196171 	 0.130780 
 rs0029 	 7.555817 	 0.261561 	 0.228866 
 rs0030 	 7.751987 	 0.425036 	 0.359646 
 rs0032 	 7.784683 	 0.784683 	 0.817378 
 rs0035 	 7.686597 	 0.130780 	 0.196171 
 rs0037 	 7.294256 	 0.098085 	 0.130780 
 rs0039 	 7.359646 	 0.098085 	 0.130780 
 rs0040 	 7.000000 	 0.000000 	 0.130780 
 rs0041 	 7.490427 	 0.261561 	 0.425036 
 rs0042 	 7.294256 	 0.130780 	 0.425036 
 rs0043 	 7.000000 	 0.000000 	 0.294256 
 rs0044 	 7.621207 	 0.196171 	 0.457732 
 rs0045 	 8.209719 	 0.196171 	 0.359646 
 rs0046 	 7.359646 	 0.261561 	 1.177024 
 rs1315 	 7.392341 	 0.163476 	 0.228866 
 rs0048 	 7.228866 	 0.163476 	 0.163476 
 rs0049 	 8.307804 	 1.177024 	 0.294256 
 rs1316 	 7.228866 	 0.196171 	 0.294256 
 rs0050 	 7.228866 	 0.163476 	 0.196171 
 rs0051 	 7.261561 	 0.196171 	 0.163476 
 rs0052 	 7.196171 	 0.163476 	 0.163476 
 rs0053 	 7.653902 	 0.359646 	 0.261561 
 rs0054 	 7.294256 	 0.098085 	 0.196171 
 rs0055 	 7.359646 	 0.228866 	 0.196171 
 rs0056 	 7.261561 	 0.163476 	 0.294256 
 rs0057 	 7.490427 	 0.130780 	 0.196171 
 rs1317 	 7.000000 	 0.000000 	 0.326951 
 rs0060 	 7.425036 	 0.098085 	 0.130780 
 rs1318 	 7.000000 	 0.000000 	 0.392341 
 rs1319 	 7.621207 	 0.359646 	 0.523122 
 rs0062 	 7.392341 	 0.098085 	 0.098085 
 rs0063 	 7.000000 	 0.000000 	 0.163476 
 rs0064 	 8.144329 	 0.359646 	 0.392341 
 rs0065 	 7.163476 	 0.098085 	 0.163476 
 rs0066 	 7.228866 	 0.065390 	 0.130780 
 rs0068 	 7.196171 	 0.130780 	 0.196171 
 rs0070 	 7.228866 	 0.098085 	 0.130780 
 rs0074 	 7.163476 	 0.163476 	 0.130780 
 rs0077 	 7.359646 	 0.294256 	 0.228866 
 rs0080 	 8.503975 	 0.653902 	 0.098085 
 rs0081 	 7.000000 	 0.000000 	 0.294256 
 rs0082 	 7.130780 	 0.098085 	 0.196171 
 rs0083 	 7.392341 	 0.065390 	 0.065390 
 rs0084 	 7.000000 	 0.000000 	 0.294256 
 rs0085 	 7.065390 	 0.065390 	 0.163476 
 rs0088 	 7.359646 	 0.130780 	 0.130780 
 rs0087 	 7.425036 	 0.163476 	 0.130780 
 rs0089 	 7.294256 	 0.228866 	 0.228866 
 rs0090 	 7.490427 	 0.130780 	 0.196171 
 rs0092 	 7.000000 	 0.000000 	 0.294256 
 rs0093 	 7.261561 	 0.163476 	 0.228866 
 rs0094 	 7.457732 	 0.294256 	 0.457732 
 rs0095 	 7.490427 	 0.098085 	 0.196171 
 rs0096 	 7.392341 	 0.228866 	 0.228866 
 rs0097 	 7.653902 	 0.196171 	 0.392341 
 rs0098 	 7.196171 	 0.163476 	 1.405890 
 rs0104 	 7.326951 	 0.196171 	 0.163476 
 rs0105 	 7.065390 	 0.065390 	 0.098085 
 rs0107 	 7.000000 	 0.000000 	 0.294256 
 rs0109 	 7.425036 	 0.163476 	 0.228866 
 rs0111 	 7.294256 	 0.065390 	 0.130780 
 rs1321 	 7.000000 	 0.000000 	 0.294256 
 rs1322 	 7.000000 	 0.000000 	 0.653902 
 rs0113 	 7.948158 	 0.326951 	 0.621207 
 rs0114 	 7.392341 	 0.130780 	 0.228866 
 rs0118 	 7.228866 	 0.130780 	 0.326951 
 rs0120 	 7.065390 	 0.065390 	 0.228866 
 rs0121 	 7.163476 	 0.163476 	 0.130780 
 rs0122 	 7.425036 	 0.130780 	 0.196171 
 rs0124 	 7.294256 	 0.098085 	 0.130780 
 rs0125 	 8.602060 	 8.602060 	 -8.602060 
 rs0126 	 7.359646 	 0.163476 	 0.392341 
 rs0127 	 7.621207 	 0.294256 	 0.980853 
 rs0128 	 7.294256 	 0.196171 	 0.196171 
 rs0129 	 7.457732 	 0.261561 	 0.294256 
 rs0130 	 7.228866 	 0.098085 	 0.130780 
 rs0132 	 7.228866 	 0.065390 	 0.130780 
 rs0133 	 8.602060 	 0.490427 	 0.000000 
 rs0134 	 7.948158 	 0.326951 	 0.653902 
 rs0135 	 7.228866 	 0.163476 	 0.163476 
 rs0136 	 8.307804 	 0.457732 	 0.294256 
 rs0137 	 7.196171 	 0.130780 	 0.196171 
 rs0138 	 7.326951 	 0.130780 	 0.098085 
 rs0139 	 8.144329 	 0.130780 	 0.228866 
 rs0140 	 7.719292 	 0.098085 	 0.163476 
 rs0141 	 7.130780 	 0.098085 	 0.098085 
 rs0142 	 7.817378 	 0.196171 	 0.392341 
 rs0143 	 7.425036 	 0.261561 	 0.261561 
 rs0145 	 7.261561 	 0.196171 	 0.098085 
 rs0146 	 7.523122 	 0.163476 	 0.196171 
 rs0147 	 7.228866 	 0.163476 	 0.621207 
 rs0148 	 7.653902 	 0.261561 	 0.326951 
 rs0149 	 7.032695 	 0.032695 	 0.163476 
 rs1323 	 7.163476 	 0.098085 	 0.163476 
 rs1324 	 7.228866 	 0.163476 	 0.196171 
 rs0150 	 7.130780 	 0.065390 	 0.098085 
 rs0151 	 7.457732 	 0.098085 	 0.163476 
 rs0152 	 7.392341 	 0.098085 	 0.098085 
 rs0154 	 7.326951 	 0.098085 	 0.130780 
 rs1325 	 7.000000 	 0.000000 	 0.294256 
 rs0155 	 7.425036 	 0.228866 	 0.457732 
 rs0156 	 7.228866 	 0.130780 	 0.163476 
 rs0159 	 8.602060 	 0.784683 	 0.000000 
 rs0161 	 7.130780 	 0.098085 	 0.228866 
 rs0163 	 7.588512 	 0.196171 	 0.294256 
 rs0165 	 7.261561 	 0.130780 	 0.294256 
 rs0166 	 7.392341 	 0.228866 	 0.163476 
