#Name   Z    Err_down    Err_up
rf0780      8.27443    0.0980853    0.0653902
rf0433      8.43791     0.130780     0.326951
rf0446      7.35897      0.00000     0.196171
rf0447      8.63408      0.00000      0.00000
rf0448      8.47060    0.0980853    0.0653902
rf0456      8.43791    0.0653901    0.0980854
rf0462      8.27443    0.0326951     0.163475
rf0463      8.47060    0.0326952    0.0653902
rf0779      8.96103      1.60206     -1.60206
rf0376      8.47060    0.0326952    0.0326951
rf0377      8.96103      1.60206     -1.60206
rf0378      8.53599    0.0980854    0.0653901
rf0383      8.96103      1.60206     -1.60206
rf0384      8.27443    0.0326951    0.0980853
rf0706      8.43791    0.0326951    0.0326952
rf0707      8.30713      0.00000      0.00000
rf0386      8.96103      1.60206     -1.60206
rf0387      8.50330    0.0980853     0.130780
rf0391      8.33982    0.0653902    0.0653902
rf0711      8.33982    0.0326951      0.00000
rf0397      8.96103      1.60206     -1.60206
rf0398      8.43791    0.0326951    0.0980854
rf0399      8.43791    0.0653901      0.00000
rf0400      8.96103      1.60206     -1.60206
rf0405      8.60138      0.00000      0.00000
rf0414      8.01287     0.653902    -0.653902
rf0741      8.27443    0.0653902     0.163475
rf0415      8.47060    0.0653902    0.0326951
rf0465      8.37252    0.0653902    0.0653901
rf0466      8.40521    0.0653902    0.0326951
rf0471      8.33982    0.0326951     0.261561
rf0765      8.07826      0.00000    0.0326951
rf0773      8.27443    0.0980853    0.0653902
rf0774      8.14365    0.0980853     0.163476
rf0500      8.96103      1.60206     -1.60206
rf0781      8.27443    0.0653902     0.130780
rf0782      8.27443    0.0326951      0.00000
rf0720      8.96103      1.60206     -1.60206
rf0724      8.96103      1.60206     -1.60206
rf0402      8.96103      1.60206     -1.60206
rf0403      8.96103      1.60206     -1.60206
rf0365      8.96103      1.60206     -1.60206
rf0367      8.27443      0.00000    0.0326951
rf0372      8.96103      1.60206     -1.60206
rf0374      8.33982    0.0980853     0.163476
rf0375      8.66677      0.00000      0.00000
rf0388      8.96103      1.60206     -1.60206
rf0392      8.17635     0.817378    -0.817378
rf0394      8.96103      1.60206     -1.60206
rf0395      8.96103      1.60206     -1.60206
rf0396      8.96103      1.60206     -1.60206
rf0719      8.96103      1.60206     -1.60206
rf0401      8.24174    0.0980853    0.0326951
rf0725      8.30713    0.0653902    0.0980853
rf0730      8.40521    0.0653902    0.0653902
rf0346      8.96103     0.130780      0.00000
rf0348      8.96103      1.60206     -1.60206
rf0688      8.30713    0.0326951    0.0980853
rf0689      8.33982    0.0653902    0.0980853
rf0351      8.30713    0.0326951    0.0326951
rf0353      8.11096     0.751987    -0.751987
rf0690      8.11096     0.751987    -0.751987
rf0692      8.27443    0.0326951    0.0326951
rf0354      8.96103      1.60206     -1.60206
rf0693      8.24174    0.0653902    0.0653902
rf0358      8.11096     0.751987    -0.751987
rf0363      8.07826     0.719292    -0.719292
rf0364      8.96103      1.60206     -1.60206
rf0366      8.96103      1.60206     -1.60206
rf0368      8.27443    0.0326951      0.00000
rf0694      8.17635     0.817378    -0.817378
rf0370      8.33982    0.0653902    0.0653902
rf0695      8.33982    0.0653902     0.163476
rf0696      8.33982    0.0653902    0.0980853
rf0373      8.96103      1.60206     -1.60206
rf0697      8.27443    0.0653902    0.0980853
rf0701      8.30713    0.0653902     0.163476
rf0702      8.14365      0.00000      0.00000
rf0381      8.40521    0.0980853    0.0653902
rf0703      8.24174    0.0653902    0.0653902
rf0385      8.40521    0.0653902    0.0326951
rf0776      8.30713    0.0326951    0.0980853
rf0495      8.43791    0.0326951    0.0653902
rf0496      8.27443    0.0326951      0.00000
rf0777      8.27443    0.0326951    0.0326951
rf0778      8.30713    0.0326951    0.0653902
rf0499      8.27443    0.0326951    0.0653902
rf0502      8.37252    0.0653902    0.0980853
rf0503      8.30713      0.00000    0.0653902
rf0784      8.24174    0.0326951    0.0326951
rf0785      8.30713      0.00000     0.196171
rf0789      8.14365     0.784682    -0.784682
rf0505      8.40521     0.130780    0.0980853
rf0506      8.50330    0.0326951    0.0326952
rf0792      8.30713    0.0653902    0.0653902
rf0507      8.43791    0.0980853    0.0653902
rf0510      8.96103      1.60206     -1.60206
rf0513      8.37252      1.01355     -1.01355
rf0795      8.27443      0.00000      0.00000
rf0796      8.96103      1.60206     -1.60206
rf0797      8.33982    0.0653902    0.0653902
rf0290      8.60138      0.00000      0.00000
rf0323      8.43791    0.0653901    0.0980854
rf0453      8.43791    0.0980853    0.0980854
rf0763      8.24174    0.0326951    0.0326951
rf0436      8.27443    0.0980853     0.196171
rf0439      8.11096      0.00000      0.00000
rf0441      8.27443    0.0653902    0.0326951
rf0476      8.30713    0.0326951     0.196171
rf0477      8.27443      0.00000    0.0653902
rf0771      8.56869    0.0653902     0.228866
rf0487      8.37252    0.0980853     0.130780
rf0488      8.96103      1.60206     -1.60206
rf0756      8.20904     0.130780    0.0653902
rf0413      8.37252    0.0653902    0.0980853
rf0723      8.33982    0.0653902    0.0653902
rf0427      8.47060    0.0980853    0.0980853
rf0464      8.01287     0.653902    -0.653902
rf0430      8.27443    0.0326951     0.130780
rf0761      8.27443    0.0326951    0.0326951
rf0750      8.27443    0.0326951    0.0653902
rf0432      8.40521    0.0653902    0.0980853
rf0434      8.27443    0.0326951    0.0653902
rf0788      8.43791    0.0980853    0.0326952
rf0712      8.27443    0.0326951    0.0653902
rf0729      8.30713    0.0326951     0.130780
rf0731      8.27443    0.0653902     0.228866
rf0419      8.07826     0.719292    -0.719292
rf0425      8.43791    0.0653901     0.163476
rf0753      8.24174    0.0653902    0.0653902
rf0435      8.96103      1.60206     -1.60206
rf0454      8.50330     0.196171    0.0653902
rf0455      8.47060    0.0653902     0.130780
rf0762      8.04557    0.0326951    0.0326951
rf0467      8.50330     0.130780     0.130780
rf0479      8.27443    0.0326951      0.00000
rf0714      8.33982    0.0653902    0.0653902
rf0412      8.33982    0.0326951    0.0653902
rf0717      8.37252    0.0653902    0.0653901
rf0718      8.30713    0.0653902     0.130780
rf0444      8.50330      1.14433     -1.14433
rf0705      8.47060    0.0980853    0.0653902
rf0713      8.30713    0.0980853    0.0980853
rf0473      8.50330    0.0980853    0.0980853
rf0480      8.43791     0.130780    0.0653902
rf0482      8.50330    0.0980853    0.0653902
rf0485      8.14365    0.0326951    0.0326951
rf0474      8.11096     0.751987    -0.751987
rf0772      8.01287      0.00000      0.00000
rf0775      8.11096     0.751987    -0.751987
rf0428      8.17635     0.817378    -0.817378
rf0764      8.27443    0.0326951     0.163475
rf0460      8.96103      1.60206     -1.60206
rf0461      8.14365     0.784682    -0.784682
rf0791      8.27443    0.0653902     0.130780
rf0728      8.24174    0.0980853     0.130780
rf0745      8.07826    0.0326951      0.00000
rf0748      8.96103      1.60206     -1.60206
rf0431      8.24174    0.0326951    0.0326951
rf0459      8.24174    0.0326951    0.0326951
rf0440      8.30713    0.0326951    0.0653902
rf0393      8.27443    0.0326951    0.0326951
rf0749      8.24174    0.0980853    0.0653902
rs0002      8.40521    0.0653902    0.0653902
rs0003      8.96103      1.60206     -1.60206
rs0004      8.27443    0.0326951    0.0326951
rs0005      8.96103      1.60206     -1.60206
rs1314      8.96103      1.60206     -1.60206
rs0006      8.14365     0.784682    -0.784682
rs0007      8.30713    0.0326951     0.196171
rs0009      8.24174    0.0326951    0.0326951
rs0010      8.33982    0.0326951     0.196171
rs0011      8.47060     0.163476    0.0326951
rs0012      8.20904      0.00000      0.00000
rs0013      8.33982    0.0653902    0.0653902
rs0014      8.40521      1.04624     -1.04624
rs0015      8.96103      1.60206     -1.60206
rs0018      8.96103      1.60206      0.00000
rs0019      8.79755     0.130780    0.0980854
rs0021      8.96103      1.60206     -1.60206
rs0022      8.96103      1.60206     -1.60206
rs0023      8.96103      1.60206     -1.60206
rs0029      8.63408    0.0326952    0.0326951
rs0030      8.30713      0.00000      0.00000
rs0032      7.35897      0.00000      1.60206
rs0035      8.07826     0.719292    -0.719292
rs0037      8.27443      0.00000    0.0326951
rs0039      8.27443    0.0326951    0.0326951
rs0040      8.47060     0.130780    0.0653902
rs0041      8.40521    0.0653902     0.326951
rs0042      8.37252    0.0326952    0.0326951
rs0043      8.27443    0.0653902      0.00000
rs0044      8.56869    0.0326951      0.00000
rs0045      8.40521    0.0326951    0.0653902
rs0046      8.96103      1.60206     -1.60206
rs1315      8.96103      1.60206     -1.60206
rs0048      8.47060    0.0980853    0.0653902
rs0049      7.35897      0.00000     0.294256
rs1316      8.60138     0.130780     0.228866
rs0050      8.56869    0.0980853     0.163476
rs0051      8.53599    0.0653902    0.0653901
rs0052      8.30713      0.00000    0.0326951
rs0053      8.66677      1.30780     -1.30780
rs0054      8.27443    0.0326951    0.0653902
rs0055      8.96103      1.60206     -1.60206
rs0056      8.33982    0.0326951    0.0326952
rs0057      8.17635     0.817378    -0.817378
rs1317      8.50330    0.0653902    0.0653902
rs0060      8.27443    0.0326951      0.00000
rs1318      8.96103      1.60206     -1.60206
rs1319      8.89564     0.130780    0.0653901
rs0062      8.96103      1.60206     -1.60206
rs0063      8.50330    0.0653902      0.00000
rs0064      8.96103      1.60206     -1.60206
rs0065      8.47060     0.163476    0.0653902
rs0066      8.27443    0.0653902    0.0980853
rs0068      8.37252    0.0980853     0.163476
rs0070      8.33982    0.0653902     0.163476
rs0074      8.50330    0.0653902    0.0980853
rs0077      8.96103      1.60206     -1.60206
rs0080      8.66677      0.00000    0.0980853
rs0081      8.27443    0.0326951    0.0326951
rs0082      8.33982    0.0653902    0.0980853
rs0083      8.27443    0.0326951    0.0326951
rs0084      8.47060    0.0980853    0.0653902
rs0085      8.43791    0.0653901    0.0980854
rs0088      8.20904     0.850073    -0.850073
rs0087      8.96103      1.60206     -1.60206
rs0089      8.96103      1.60206     -1.60206
rs0090      8.17635      0.00000      0.00000
rs0092      8.27443      0.00000      0.00000
rs0093      8.96103      1.60206     -1.60206
rs0094      8.96103      1.60206     -1.60206
rs0095      8.14365      0.00000      0.00000
rs0096      8.96103      1.60206     -1.60206
rs0097      8.96103      1.60206     -1.60206
rs0098      8.40521    0.0326951    0.0653902
rs0104      8.96103      1.60206     -1.60206
rs0105      8.37252    0.0653902     0.196171
rs0107      8.96103      1.60206     -1.60206
rs0109      8.96103      1.60206     -1.60206
rs0111      8.33982    0.0980853    0.0653902
rs1321      8.30713    0.0326951    0.0980853
rs1322      8.30713    0.0980853     0.163476
rs0113      8.96103      1.60206     -1.60206
rs0114      8.40521    0.0326951    0.0326951
rs0118      8.40521    0.0653902     0.196171
rs0120      8.43791    0.0326951    0.0653902
rs0121      8.37252      0.00000      0.00000
rs0122      8.27443    0.0326951    0.0326951
rs0124      8.27443    0.0326951    0.0980853
rs0125      8.96103      1.60206     -1.60206
rs0126      8.40521    0.0326951    0.0326951
rs0127      8.96103      1.60206     -1.60206
rs0128      8.56869    0.0980853     0.228866
rs0129      8.89564    0.0653902    0.0326951
rs0130      8.43791    0.0980853    0.0653902
rs0132      8.20904    0.0980853     0.130780
rs0133      8.96103      1.60206     -1.60206
rs0134      8.96103      1.60206     -1.60206
rs0135      8.50330    0.0653902     0.130780
rs0136      8.96103      1.60206     -1.60206
rs0137      8.96103      1.60206     -1.60206
rs0138      8.33982    0.0653902    0.0653902
rs0139      8.01287     0.653902    -0.653902
rs0140      8.07826     0.719292    -0.719292
rs0141      8.33982    0.0326951    0.0653902
rs0142      8.96103      1.60206     -1.60206
rs0143      8.96103      1.60206     -1.60206
rs0145      8.96103      1.60206     -1.60206
rs0146      8.96103      1.60206     -1.60206
rs0147      8.43791    0.0653901    0.0326952
rs0148      8.47060    0.0326952    0.0326951
rs0149      8.40521    0.0653902    0.0980853
rs1323      8.33982    0.0653902    0.0653902
rs1324      8.63408      0.00000    0.0326951
rs0150      8.33982    0.0653902    0.0326952
rs0151      8.27443      0.00000    0.0326951
rs0152      8.27443      0.00000    0.0326951
rs0154      8.27443    0.0326951    0.0980853
rs1325      8.37252    0.0653902    0.0653901
rs0155      8.56869    0.0653902     0.130780
rs0156      8.96103      1.60206     -1.60206
rs0159      8.96103      1.60206     -1.60206
rs0161      8.40521    0.0980853     0.228866
rs0163      8.96103      1.60206     -1.60206
rs0165      8.33982    0.0326951     0.130780
rs0166      8.37252      1.01355     -1.01355
rs0167      8.17635     0.817378    -0.817378
rs0168      8.20904     0.850073    -0.850073
rs0170      8.30713    0.0326951    0.0326951
rs0171      8.30713    0.0326951     0.163476
rs0172      8.47060    0.0653902    0.0653902
rs0173      8.27443      0.00000    0.0653902
rs0174      8.33982    0.0653902     0.163476
rs0175      8.96103      1.60206     -1.60206
rs0177      8.24174    0.0326951    0.0326951
rs0178      8.11096     0.751987    -0.751987
rs0179      8.40521    0.0653902    0.0980853
rs0180      8.43791    0.0653901     0.163476
rs0181      8.96103      1.60206     -1.60206
rs0182      8.53599    0.0980854     0.228866
rs0183      8.96103      1.60206     -1.60206
rs0188      8.50330    0.0980853     0.326951
rs0190      8.66677    0.0326951    0.0653902
rs0191      8.63408    0.0326952    0.0326951
rs0193      8.47060    0.0980853    0.0653902
rs0194      8.50330    0.0326951     0.130780
rs0196      8.63408      0.00000      0.00000
rs0201      8.96103      1.60206     -1.60206
rs0202      8.50330      0.00000      0.00000
rs0203      8.96103      1.60206     -1.60206
rs0206      8.96103      1.60206     -1.60206
rs0209      8.40521      0.00000      0.00000
rs0210      8.43791    0.0980853    0.0653902
rs0211      8.96103      1.60206     -1.60206
rs0212      8.33982    0.0653902     0.196171
rs0214      8.53599    0.0326952    0.0980853
rs0215      8.30713    0.0326951     0.163476
rs0218      8.33982    0.0653902    0.0326952
rs0220      8.20904     0.850073    -0.850073
rs0221      8.47060    0.0653902    0.0653902
rs0222      8.66677    0.0653902     0.130780
rs0223      8.66677    0.0653902     0.130780
rs0225      8.96103      1.60206     -1.60206
rs0226      8.96103      1.60206     -1.60206
rs0227      8.37252      1.01355     -1.01355
rs0228      8.37252    0.0653902    0.0653901
rs0231      8.37252    0.0326952    0.0326951
rs1329      8.96103      1.60206     -1.60206
rs0236      8.27443    0.0326951     0.163475
rs0237      8.96103      1.60206     -1.60206
rs0239      8.47060      1.11163     -1.11163
rs0240      8.96103      1.60206     -1.60206
rs0241      8.96103      1.60206     -1.60206
rs0242      8.33982      0.00000    0.0326952
rs0243      8.96103      1.60206     -1.60206
rs0244      8.96103      1.60206     -1.60206
rs0246      8.07826     0.719292    -0.719292
rs0247      8.07826     0.719292    -0.719292
rs0250      8.96103      1.60206     -1.60206
rs0253      8.66677    0.0326951      0.00000
rs0255      8.30713    0.0326951    0.0326951
rs0256      8.96103      1.60206     -1.60206
rs0257      8.33982    0.0653902     0.163476
rs0259      8.96103      1.60206     -1.60206
rs0260      8.96103      1.60206     -1.60206
