#Name   q    Err_down    Err_up
rf0780      7.00000      0.00000    0.0980854
rf0433      7.03270    0.0326953     0.228866
rf0446      8.04624      1.04624     0.555817
rf0447      7.52312     0.261561     0.359646
rf0448      7.06539    0.0653901     0.228866
rf0456      7.06539    0.0653901     0.130781
rf0462      7.16348    0.0980854     0.196171
rf0463      7.35965     0.261561     0.261561
rf0779      7.26156    0.0980854     0.228866
rf0376      7.42504     0.196171     0.294256
rf0377      7.58851     0.228866     0.359646
rf0378      7.03270    0.0326953     0.196170
rf0383      7.52312     0.457732     0.457731
rf0384      7.19617     0.130781     0.228866
rf0706      7.13078    0.0980849     0.261561
rf0707      7.16348    0.0980854     0.359646
rf0386      7.19617     0.130781     0.163476
rf0387      7.03270    0.0326953     0.228866
rf0391      7.03270    0.0326953     0.163476
rf0711      7.00000      0.00000     0.490427
rf0397      7.35965     0.294256      1.04624
rf0398      7.42504     0.294256     0.228866
rf0399      7.13078    0.0980849     0.163476
rf0400      7.55582     0.359646     0.294256
rf0405      7.68660     0.359646     0.294256
rf0414      7.91546     0.196171     0.294256
rf0741      7.19617    0.0980854     0.163476
rf0415      7.16348    0.0980854     0.326951
rf0465      7.29426     0.228866     0.196170
rf0466      7.13078    0.0980849     0.196171
rf0471      7.26156     0.228866     0.294256
rf0765      7.85007     0.130781     0.196171
rf0773      7.39234    0.0653901     0.196171
rf0774      7.29426    0.0980854     0.228866
rf0500      7.00000      0.00000     0.326951
rf0781      7.09809    0.0653901     0.228866
rf0782      7.45773    0.0980849     0.261561
rf0720      7.19617    0.0980854     0.196170
rf0724      7.00000      0.00000     0.490427
rf0402      7.00000      0.00000     0.490427
rf0403      7.58851     0.261561     0.228866
rf0365      7.00000      0.00000    0.0653901
rf0367      7.32695    0.0653901     0.163476
rf0372      7.49043     0.425036    0.0653901
rf0374      7.16348     0.130780     0.163476
rf0375      7.00000      0.00000     0.163476
rf0388      7.71929     0.163476     0.882768
rf0392      7.42504    0.0653901     0.261561
rf0394      7.81738     0.425036     0.425037
rf0395      7.52312     0.392342     0.392341
rf0396      7.68660     0.425036     0.915463
rf0719      7.00000      0.00000     0.523122
rf0401      7.45773    0.0980849     0.163476
rf0725      7.29426    0.0980854    0.0980849
rf0730      7.09809    0.0980854      1.34050
rf0346      7.91546     0.915463     0.653903
rf0348      8.14433     0.490427     0.359646
rf0688      7.22887     0.130780     0.261561
rf0689      7.00000      0.00000     0.490427
rf0351      7.35965     0.130781     0.163476
rf0353      7.68660     0.261561     0.130780
rf0690      7.58851    0.0980854     0.196171
rf0692      7.35965    0.0980854     0.228866
rf0354      7.00000      0.00000     0.523122
rf0693      7.49043    0.0980854     0.196171
rf0358      7.78468     0.294256     0.163476
rf0363      7.81738     0.196170     0.130781
rf0364      7.16348    0.0980854     0.294256
rf0366      7.00000      0.00000     0.490427
rf0368      7.39234     0.163476     0.130781
rf0694      7.71929     0.228866     0.457732
rf0370      7.32695     0.196171     0.130780
rf0695      7.00000      0.00000     0.130780
rf0696      7.00000      0.00000     0.490427
rf0373      8.60206      1.60206     -1.60206
rf0697      7.32695     0.130780     0.196171
rf0701      7.09809    0.0653901     0.163476
rf0702      7.49043    0.0980854     0.130781
rf0381      7.39234     0.294256     0.261561
rf0703      7.39234    0.0980849     0.163476
rf0385      7.13078    0.0980849     0.163476
rf0776      7.16348     0.130780     0.163476
rf0495      8.47128     0.294256     0.130780
rf0496      7.39234    0.0653901     0.784683
rf0777      7.09809    0.0980854     0.196171
rf0778      7.00000      0.00000    0.0980854
rf0499      7.00000      0.00000     0.425036
rf0502      7.00000      0.00000    0.0980854
rf0503      7.00000      0.00000     0.359646
rf0784      7.00000      0.00000     0.228866
rf0785      7.26156    0.0980854     0.228866
rf0789      7.16348    0.0980854     0.163476
rf0505      7.00000      0.00000     0.490427
rf0506      7.09809    0.0980854     0.817378
rf0792      7.42504     0.130780     0.196171
rf0507      7.06539    0.0653901     0.228866
rf0510      8.60206      1.60206     -1.60206
rf0513      7.06539    0.0653901     0.326951
rf0795      7.00000      0.00000     0.196171
rf0796      7.03270      0.00000      0.00000
rf0797      7.35965     0.130781     0.196170
rf0290      8.01355     0.588511     0.359647
rf0323      7.19617    0.0980854     0.326951
rf0453      7.03270    0.0326953     0.163476
rf0763      7.49043    0.0980854     0.196171
rf0436      7.39234     0.261561     0.425036
rf0439      7.52312    0.0980854     0.196170
rf0441      7.39234    0.0653901     0.326951
rf0476      7.22887     0.196170     0.196171
rf0477      7.42504     0.261561     0.457731
rf0771      7.16348     0.163476     0.326951
rf0487      7.00000      0.00000     0.523122
rf0488      7.00000      0.00000     0.490427
rf0756      7.42504    0.0980854     0.163476
rf0413      7.09809    0.0980854     0.228866
rf0723      7.09809    0.0653901     0.130780
rf0427      7.06539    0.0653901     0.294256
rf0464      7.88277     0.163476     0.261561
rf0430      7.45773     0.130780     0.228866
rf0761      7.35965    0.0653901     0.196170
rf0750      7.29426     0.228866     0.196170
rf0432      7.06539    0.0653901    0.0980854
rf0434      7.49043     0.196170     0.228866
rf0788      7.16348    0.0980854     0.228866
rf0712      7.00000      0.00000    0.0980854
rf0729      7.32695     0.228866     0.326951
rf0731      7.13078    0.0653901     0.163476
rf0419      7.75199     0.196171     0.196171
rf0425      7.09809    0.0653901     0.261561
rf0753      7.32695    0.0980854     0.163476
rf0435      8.60206     0.719293      0.00000
rf0454      7.22887     0.196170     0.196171
rf0455      8.43858     0.294255     0.163476
rf0762      8.60206     0.719293      0.00000
rf0467      7.00000      0.00000     0.196171
rf0479      7.32695     0.130780     0.196171
rf0714      7.06539    0.0653901     0.196171
rf0412      7.62121     0.163476     0.261560
rf0717      7.35965     0.228866     0.196170
rf0718      7.32695     0.196171     0.196171
rf0444      8.60206     0.621207      0.00000
rf0705      7.26156     0.228866     0.228866
rf0713      7.03270    0.0326953     0.196170
rf0473      7.00000      0.00000     0.228866
rf0480      7.00000      0.00000    0.0980854
rf0482      7.00000      0.00000     0.490427
rf0485      7.68660     0.130781     0.163476
rf0474      7.49043    0.0980854     0.294256
rf0772      7.91546     0.130780     0.196170
rf0775      7.62121    0.0980854     0.196170
rf0428      7.32695     0.130780    0.0980854
rf0764      7.22887    0.0980854     0.163476
rf0460      7.39234     0.326951     0.261561
rf0461      7.55582     0.196170     0.261561
rf0791      7.32695     0.130780     0.163476
rf0728      7.22887     0.163476     0.228866
rf0745      7.81738     0.163476     0.130781
rf0748      7.55582     0.490427     0.228866
rf0431      7.42504    0.0980854     0.163476
rf0459      7.49043    0.0980854     0.196171
rf0440      7.52312     0.196171     0.653902
rf0393      7.81738     0.196170     0.163476
rf0749      7.49043    0.0980854     0.163476
rs0002      7.16348    0.0980854     0.196171
rs0003      7.00000      0.00000     0.523122
rs0004      7.55582     0.196170     0.163476
rs0005      7.00000      0.00000     0.228866
rs1314      7.19617    0.0980854     0.228866
rs0006      7.71929     0.326951     0.588512
rs0007      7.22887     0.196170     0.130781
rs0009      7.49043    0.0980854     0.196171
rs0010      7.13078    0.0980849     0.130781
rs0011      7.19617     0.163476     0.130780
rs0012      7.39234     0.261561     0.326951
rs0013      7.13078    0.0980849     0.261561
rs0014      7.32695     0.130780     0.130780
rs0015      7.03270    0.0326953     0.196170
rs0018      7.16348     0.163476     0.326951
rs0019      7.06539    0.0653901     0.359646
rs0021      7.00000      0.00000     0.425036
rs0022      8.27511     0.523122     0.326951
rs0023      7.35965     0.228866     0.392341
rs0029      7.49043     0.228866     0.425036
rs0030      7.78468     0.392342     0.326951
rs0032      7.85007     0.850073     0.719293
rs0035      7.75199     0.228866     0.163476
rs0037      7.29426     0.130781     0.130780
rs0039      7.35965     0.130781     0.163476
rs0040      7.00000      0.00000     0.130780
rs0041      8.60206      1.04624      0.00000
rs0042      7.32695     0.196171     0.457732
rs0043      7.00000      0.00000     0.490427
rs0044      7.65390     0.294256     0.490427
rs0045      8.24241     0.163476     0.359646
rs0046      7.29426     0.261561      1.30780
rs1315      7.35965     0.196171     0.228866
rs0048      7.09809    0.0653901     0.326951
rs0049      8.17702      1.17702     0.425036
rs1316      7.13078     0.130780     0.294256
rs0050      7.09809    0.0653901     0.359646
rs0051      7.13078    0.0980849     0.326951
rs0052      7.09809    0.0653901     0.196171
rs0053      7.62121     0.457732     0.457731
rs0054      7.32695     0.261561     0.163476
rs0055      7.35965     0.294256     0.294256
rs0056      7.19617    0.0980854     0.196170
rs0057      7.42504    0.0980854     0.326951
rs1317      7.00000      0.00000     0.294256
rs0060      7.42504     0.163476     0.196171
rs1318      7.00000      0.00000     0.228866
rs1319      7.62121     0.490427     0.686597
rs0062      7.35965     0.130781     0.130780
rs0063      7.03270    0.0326953     0.196170
rs0064      8.01355     0.359646     0.588512
rs0065      7.13078    0.0980849     0.130781
rs0066      7.22887    0.0653901     0.130781
rs0068      7.13078    0.0980849     0.130781
rs0070      7.16348    0.0980854     0.196171
rs0074      7.06539    0.0653901     0.228866
rs0077      7.39234     0.359646     0.359646
