#Name 	 Z_Estimate 	 Err_down 	 Err_up
 rf0001 	 8.568689 	 0.130780 	 0.130780 
 rf0002 	 8.666774 	 0.032695 	 0.032695 
 rf0003 	 8.732164 	 0.065390 	 0.065390 
 rf0006 	 8.634079 	 0.065390 	 0.098085 
 rf0007 	 8.732164 	 0.032695 	 0.065390 
 rf0010 	 8.503298 	 0.065390 	 0.065390 
 rf0011 	 8.699469 	 0.065390 	 0.065390 
 rf0013 	 8.601384 	 0.000000 	 0.000000 
 rf0014 	 8.634079 	 0.163476 	 0.098085 
 rf0015 	 8.535994 	 0.000000 	 0.032695 
 rf0016 	 8.699469 	 0.000000 	 0.032695 
 rf0017 	 8.601384 	 0.098085 	 0.065390 
 rf0020 	 8.699469 	 0.065390 	 0.065390 
 rf0022 	 8.666774 	 0.032695 	 0.000000 
 rf0023 	 8.568689 	 0.098085 	 0.098085 
 rf0024 	 8.764859 	 0.065390 	 0.065390 
 rf0025 	 8.699469 	 0.032695 	 0.032695 
 rf0029 	 8.601384 	 0.065390 	 0.065390 
 rf0030 	 8.732164 	 0.065390 	 0.032695 
 rf0031 	 8.535994 	 0.000000 	 0.000000 
 rf0033 	 8.568689 	 0.098085 	 0.130780 
 rf0034 	 8.470603 	 0.098085 	 0.130780 
 rf0040 	 8.764859 	 0.065390 	 0.065390 
 rf0042 	 8.535994 	 0.065390 	 0.098085 
 rf0043 	 8.764859 	 0.065390 	 0.065390 
 rf0045 	 8.503298 	 0.098085 	 0.130780 
 rf0048 	 8.568689 	 0.065390 	 0.098085 
 rf0049 	 8.568689 	 0.098085 	 0.130780 
 rf0051 	 8.503298 	 0.163476 	 0.130780 
 rf0053 	 8.470603 	 0.065390 	 0.098085 
 rf0055 	 8.634079 	 0.098085 	 0.065390 
 rf0057 	 8.732164 	 0.065390 	 0.065390 
 rf0058 	 8.666774 	 0.065390 	 0.065390 
 rf0059 	 8.568689 	 0.065390 	 0.065390 
 rf0060 	 8.634079 	 0.098085 	 0.098085 
 rf0062 	 8.732164 	 0.065390 	 0.032695 
 rf0064 	 8.470603 	 0.098085 	 0.130780 
 rf0065 	 8.601384 	 0.130780 	 0.098085 
 rf0071 	 8.764859 	 0.032695 	 0.065390 
 rf0072 	 8.274433 	 0.065390 	 0.032695 
 rf0073 	 8.503298 	 0.032695 	 0.032695 
 rf0074 	 8.732164 	 0.032695 	 0.065390 
 rf0075 	 8.601384 	 0.032695 	 0.032695 
 rf0076 	 8.601384 	 0.098085 	 0.098085 
 rf0077 	 8.634079 	 0.098085 	 0.065390 
 rf0079 	 8.666774 	 0.130780 	 0.098085 
 rf0083 	 8.601384 	 0.130780 	 0.130780 
 rf0084 	 8.666774 	 0.065390 	 0.098085 
 rf0092 	 8.764859 	 0.065390 	 0.065390 
 rf0098 	 8.764859 	 0.098085 	 0.098085 
 rf0099 	 8.634079 	 0.098085 	 0.098085 
 rf0104 	 8.535994 	 0.130780 	 0.163476 
 rf0106 	 8.666774 	 0.098085 	 0.098085 
 rf0107 	 8.535994 	 0.098085 	 0.098085 
 rf0108 	 8.405213 	 0.065390 	 0.098085 
