#Name 	 Z_Estimate 	 Err_down 	 Err_up
 rf0780 	 7.358970 	 0.000000 	 1.046243 
 rf0433 	 8.470603 	 0.228866 	 0.359646 
 rf0446 	 8.961030 	 0.163476 	 0.000000 
 rf0447 	 8.862945 	 0.228866 	 0.065390 
 rf0448 	 8.437908 	 0.163476 	 0.163476 
 rf0456 	 8.307128 	 0.523122 	 0.425036 
 rf0462 	 7.718616 	 0.359646 	 0.523122 
 rf0463 	 8.895640 	 0.196171 	 0.032695 
 rf0779 	 8.437908 	 0.098085 	 0.228866 
 rf0376 	 8.339823 	 0.326951 	 0.392341 
 rf0377 	 8.895640 	 0.065390 	 0.032695 
 rf0378 	 8.405213 	 0.098085 	 0.228866 
 rf0383 	 8.928335 	 0.163476 	 0.032695 
 rf0384 	 7.391665 	 0.032695 	 0.653902 
 rf0706 	 8.568689 	 0.196171 	 0.196171 
 rf0707 	 8.470603 	 0.196171 	 0.196171 
 rf0386 	 8.601384 	 0.163476 	 0.163476 
 rf0387 	 8.503298 	 0.130780 	 0.228866 
 rf0391 	 7.685921 	 0.326951 	 0.588512 
 rf0711 	 8.961030 	 1.602060 	 0.000000 
 rf0397 	 8.764859 	 0.326951 	 0.065390 
 rf0398 	 8.862945 	 0.196171 	 0.065390 
 rf0399 	 8.339823 	 0.326951 	 0.392341 
 rf0400 	 8.961030 	 0.065390 	 0.000000 
 rf0405 	 8.862945 	 0.163476 	 0.065390 
 rf0414 	 7.947482 	 0.588512 	 0.359646 
 rf0741 	 7.914787 	 0.555817 	 0.392341 
 rf0415 	 8.666774 	 0.228866 	 0.130780 
 rf0465 	 8.143652 	 0.653902 	 0.359646 
 rf0466 	 8.307128 	 0.425036 	 0.392341 
 rf0471 	 8.241738 	 0.719292 	 0.425036 
 rf0765 	 7.358970 	 0.000000 	 0.751987 
 rf0773 	 7.489750 	 0.130780 	 0.751987 
 rf0774 	 7.685921 	 0.326951 	 0.588512 
 rf0500 	 8.110957 	 0.130780 	 0.228866 
 rf0781 	 7.489750 	 0.130780 	 0.621207 
 rf0782 	 7.947482 	 0.555817 	 0.425036 
 rf0720 	 8.307128 	 0.392341 	 0.359646 
 rf0724 	 8.961030 	 1.602060 	 0.000000 
 rf0402 	 8.961030 	 1.602060 	 0.000000 
 rf0403 	 8.535994 	 0.392341 	 0.163476 
 rf0365 	 7.358970 	 0.000000 	 0.817378 
 rf0367 	 7.358970 	 0.000000 	 0.784682 
 rf0372 	 8.339823 	 0.653902 	 0.065390 
 rf0374 	 8.307128 	 0.326951 	 0.261561 
 rf0375 	 8.307128 	 0.228866 	 0.326951 
 rf0388 	 8.601384 	 0.130780 	 0.098085 
 rf0392 	 7.947482 	 0.588512 	 0.326951 
 rf0394 	 8.928335 	 0.163476 	 0.032695 
 rf0395 	 8.928335 	 0.098085 	 0.032695 
 rf0396 	 8.568689 	 0.228866 	 0.359646 
 rf0719 	 8.961030 	 1.602060 	 0.000000 
 rf0401 	 7.358970 	 0.000000 	 0.653902 
 rf0725 	 7.424360 	 0.065390 	 0.686597 
 rf0730 	 8.699469 	 0.261561 	 0.130780 
 rf0346 	 8.961030 	 0.098085 	 0.000000 
 rf0348 	 8.797554 	 0.098085 	 0.065390 
 rf0688 	 8.078262 	 0.457731 	 0.294256 
 rf0689 	 8.961030 	 1.602060 	 0.000000 
 rf0351 	 8.307128 	 0.261561 	 0.196171 
 rf0353 	 8.241738 	 0.784682 	 0.130780 
 rf0690 	 7.424360 	 0.065390 	 0.751987 
 rf0692 	 7.522445 	 0.163476 	 0.719292 
 rf0354 	 8.961030 	 1.602060 	 0.000000 
 rf0693 	 7.424360 	 0.065390 	 0.850073 
 rf0358 	 8.241738 	 0.751987 	 0.228866 
 rf0363 	 7.947482 	 0.555817 	 0.359646 
 rf0364 	 8.535994 	 0.163476 	 0.196171 
 rf0366 	 8.961030 	 1.602060 	 0.000000 
 rf0368 	 8.012872 	 0.621207 	 0.326951 
 rf0694 	 8.274433 	 0.294256 	 0.457731 
 rf0370 	 8.110957 	 0.457731 	 0.326951 
 rf0695 	 7.358970 	 0.000000 	 0.980853 
