#Name   q    Err_down    Err_up
rf0001      7.35965    0.0326953    0.0653901
rf0003      7.16348    0.0980854    0.0980854
rf0006      7.22887    0.0326948     0.196171
rf0007      7.16348    0.0980854    0.0980854
rf0008      7.75199     0.228866     0.196171
rf0010      7.42504    0.0326953    0.0326948
rf0011      7.13078    0.0326948    0.0653906
rf0014      7.22887    0.0653901     0.163476
rf0015      7.03270    0.0326953    0.0653901
rf0017      7.35965    0.0980854    0.0653901
rf0019      7.39234     0.130780     0.163476
rf0020      7.13078    0.0653901    0.0980854
rf0023      7.39234    0.0326948    0.0980854
rf0024      7.03270    0.0326953    0.0653901
rf0028      7.22887    0.0653901     0.130781
rf0029      7.39234    0.0653901    0.0326953
rf0030      7.09809    0.0326953    0.0653901
rf0031      7.09809    0.0980854    0.0653901
rf0032      7.16348    0.0326953     0.196171
rf0033      7.39234    0.0653901    0.0980854
rf0034      7.45773    0.0326948    0.0653906
rf0040      7.00000      0.00000     0.163476
rf0042      7.52312    0.0653906     0.130780
rf0043      7.06539    0.0653901    0.0980854
rf0045      7.45773    0.0653901    0.0326953
rf0048      7.35965    0.0326953    0.0980849
rf0049      7.39234    0.0326948    0.0980854
rf0051      7.58851    0.0980854    0.0980854
rf0053      7.42504    0.0326953    0.0326948
rf0058      7.19617    0.0653906     0.163476
rf0059      7.45773    0.0326948    0.0326953
rf0060      7.22887    0.0653901      0.00000
rf0061      7.16348    0.0653901     0.196171
rf0062      7.06539      0.00000    0.0326953
rf0064      7.49043    0.0326953    0.0653901
rf0065      7.26156    0.0326953    0.0326953
rf0068      7.35965    0.0980854    0.0980849
rf0071      7.09809    0.0980854    0.0653901
rf0072      7.78468    0.0326953    0.0653901
rf0073      7.49043    0.0326953    0.0326953
rf0074      7.16348    0.0980854     0.130781
rf0076      7.39234     0.130780    0.0653901
rf0077      7.26156    0.0653901    0.0653901
rf0079      7.19617    0.0653906     0.130780
rf0083      7.26156    0.0653901     0.163476
rf0084      7.16348    0.0653901    0.0653901
rf0092      7.06539    0.0653901     0.130781
rf0098      7.00000      0.00000    0.0326953
rf0099      7.22887    0.0326948    0.0326953
rf0102      7.26156    0.0653901     0.163476
rf0104      7.45773    0.0653901    0.0653906
rf0106      7.16348    0.0653901     0.228866
rf0107      7.42504    0.0326953    0.0653901
rf0108      7.42504    0.0326953    0.0326948
rf0109      7.16348    0.0653901    0.0326953
rf0110      7.45773    0.0653901     0.130781
rf0111      7.39234     0.163476    0.0653901
rf0117      7.19617    0.0326953     0.196170
rf0118      7.26156    0.0653901    0.0980854
rf0119      7.22887    0.0653901    0.0980854
rf0120      7.32695     0.130780    0.0653901
rf0122      7.42504    0.0653901    0.0980854
rf0125      7.03270    0.0326953    0.0653901
rf0126      7.09809    0.0980854     0.228866
rf0128      7.16348    0.0326953    0.0326953
rf0129      7.13078    0.0326948    0.0326953
rf0132      7.09809      0.00000    0.0326948
rf0134      7.09809    0.0326953    0.0980854
rf0141      7.39234    0.0653901    0.0980854
rf0143      7.19617    0.0653906    0.0326948
rf0145      7.09809    0.0326953     0.130780
rf0147      7.13078    0.0980849    0.0980854
rf0150      7.00000      0.00000    0.0980854
rf0154      7.39234    0.0326948    0.0653901
rf0155      7.13078    0.0653901     0.294256
rf0156      7.09809    0.0326953     0.196171
rf0157      7.68660    0.0980854    0.0653901
rf0160      7.06539    0.0653901    0.0980854
rf0164      7.00000      0.00000    0.0653901
rf0165      7.00000      0.00000    0.0980854
rf0167      7.00000      0.00000    0.0980854
rf0169      7.39234    0.0653901    0.0653901
rf0170      7.13078    0.0980849    0.0980854
rf0171      7.58851     0.523122     0.228866
rf0172      7.00000      0.00000    0.0980854
rf0173      7.00000      0.00000    0.0653901
rf0175      7.13078    0.0653901    0.0653906
rf0176      7.13078    0.0653901     0.130781
rf0177      7.16348    0.0326953    0.0653901
rf0179      7.26156    0.0326953    0.0653901
rf0180      7.13078    0.0326948    0.0653906
rf0181      7.52312    0.0980854     0.163476
rf0191      7.00000      0.00000    0.0326953
rf0192      7.26156    0.0326953     0.163476
rf0193      7.00000      0.00000    0.0653901
rf0195      7.03270    0.0326953    0.0980849
rf0197      7.22887    0.0326948    0.0326953
rf0199      7.13078    0.0980849    0.0980854
rf0201      7.45773    0.0653901    0.0326953
rf0204      7.49043    0.0326953    0.0653901
rf0205      7.00000      0.00000    0.0980854
rf0206      7.26156     0.130781    0.0980854
rf0207      7.42504    0.0653901    0.0653901
rf0209      7.29426     0.294256     0.196170
rf0210      7.22887    0.0326948     0.196171
rf0216      7.00000      0.00000    0.0653901
rf0217      7.29426     0.196171     0.294256
rf0218      7.06539    0.0653901    0.0653901
rf0223      7.00000      0.00000    0.0326953
rf0226      7.06539    0.0653901    0.0980854
rf0227      7.16348    0.0326953    0.0653901
rf0229      7.06539    0.0326948     0.196171
rf0234      7.00000      0.00000    0.0326953
rf0236      7.26156    0.0653901    0.0980854
rf0237      7.06539    0.0326948    0.0980854
rf0238      7.19617    0.0653906    0.0653901
rf0241      8.01355    0.0326948    0.0653906
rf0242      7.09809      0.00000    0.0653901
rf0245      7.03270    0.0326953    0.0980849
rf0246      8.01355    0.0653896    0.0980854
rf0247      7.35965    0.0326953    0.0653901
rf0249      7.03270    0.0326953    0.0326948
rf0250      7.68660    0.0326953    0.0326948
rf0251      7.09809    0.0326953    0.0326948
rf0252      7.42504    0.0653901    0.0653901
rf0256      7.06539    0.0326948     0.130781
rf0257      7.39234    0.0326948    0.0980854
rf0258      7.09809    0.0326953    0.0653901
rf0259      7.19617    0.0653906    0.0653901
rf0262      7.26156    0.0653901    0.0980854
rf0263      7.22887    0.0326948    0.0326953
rf0264      7.03270    0.0326953     0.130780
rf0265      7.49043    0.0326953    0.0326953
rf0266      7.68660    0.0653901    0.0326948
rf0267      7.16348    0.0326953    0.0326953
rf0268      7.19617    0.0653906    0.0653901
rf0269      7.42504    0.0980854    0.0980854
rf0272      7.55582    0.0653901     0.130781
rf0273      7.39234    0.0653901    0.0980854
rf0280      7.49043    0.0326953    0.0326953
rf0283      7.00000      0.00000    0.0980854
rf0284      7.45773    0.0326948    0.0326953
rf0292      7.03270    0.0326953    0.0653901
rf0294      7.00000      0.00000    0.0326953
rf0296      7.42504     0.228866     0.130780
rf0297      7.35965    0.0653901    0.0980849
rf0298      7.16348    0.0326953    0.0326953
rf0299      7.35965     0.130781    0.0980849
rf0300      7.19617    0.0326953    0.0653901
rf0302      7.32695     0.130780     0.130780
rf0303      7.22887    0.0653901    0.0980854
rf0305      7.22887    0.0653901     0.163476
rf0306      7.35965    0.0653901    0.0653901
rf0314      7.39234    0.0980849    0.0980854
rf0316      7.16348    0.0326953     0.130781
rf0318      7.94816     0.163476    0.0980854
rf0320      7.45773    0.0326948    0.0653906
rf0322      7.16348    0.0653901    0.0653901
rf0323      7.16348    0.0326953     0.130781
rf0326      7.45773    0.0653901    0.0653906
rf0328      7.06539    0.0326948    0.0980854
rf0331      7.45773    0.0653901    0.0326953
rf0332      7.55582    0.0653901    0.0326953
rf0333      7.09809    0.0653901    0.0980854
rf0335      7.39234    0.0653901    0.0653901
rf0338      7.58851    0.0326953     0.163476
rf0339      7.19617     0.130781    0.0980854
rf0340      7.32695    0.0653901    0.0326953
rf0341      7.16348     0.130780     0.228866
rf0342      7.09809    0.0326953    0.0653901
rf0343      7.06539      0.00000    0.0653901
rf0348      7.03270    0.0326953    0.0326948
rf0351      7.26156      0.00000     0.130780
rf0354      7.16348    0.0653901     0.130781
rf0358      7.55582    0.0326948      0.00000
rf0360      7.49043     0.130780     0.163476
rf0363      7.65390    0.0326948    0.0326953
rf0364      7.13078    0.0653901    0.0980854
rf0365      7.16348    0.0326953    0.0326953
rf0366      7.35965    0.0326953    0.0326948
rf0367      7.52312    0.0653906    0.0326948
rf0368      7.39234    0.0326948    0.0653901
rf0370      7.42504    0.0653901    0.0326948
rf0374      7.13078    0.0653901    0.0980854
rf0376      7.42504      0.00000    0.0326948
rf0378      7.09809    0.0653901    0.0980854
rf0381      7.45773    0.0980849    0.0653906
rf0383      7.00000      0.00000    0.0326953
rf0385      7.16348    0.0326953    0.0326953
rf0386      7.06539    0.0326948    0.0980854
rf0387      7.13078    0.0326948    0.0980854
rf0388      7.03270    0.0326953    0.0653901
rf0391      7.22887    0.0653901     0.163476
rf0392      7.52312    0.0326953    0.0653901
rf0393      7.85007    0.0653901    0.0980854
rf0395      7.13078     0.130780     0.196171
rf0396      7.03270      0.00000    0.0653901
rf0398      7.13078    0.0653901     0.163476
rf0399      7.16348    0.0326953      0.00000
rf0400      7.29426     0.196171    0.0326948
rf0401      7.58851    0.0653901    0.0980854
rf0403      7.35965    0.0980854    0.0326948
rf0412      7.22887    0.0653901    0.0653906
rf0413      7.13078    0.0326948    0.0980854
rf0415      7.09809    0.0326953    0.0326948
rf0417      7.29426     0.196171    0.0653901
rf0418      7.09809    0.0653901     0.228866
rf0419      7.68660    0.0653901    0.0326948
rf0425      7.16348    0.0653901    0.0980854
rf0426      7.32695    0.0980854    0.0980854
rf0427      7.03270    0.0326953    0.0653901
rf0428      7.39234    0.0326948    0.0653901
rf0430      7.58851    0.0653901     0.163476
rf0431      7.52312    0.0326953    0.0653901
rf0432      7.16348    0.0653901    0.0653901
rf0433      7.09809    0.0653901     0.163476
rf0434      7.52312    0.0653906    0.0653901
rf0436      7.45773    0.0980849     0.130781
rf0439      7.55582    0.0653901     0.130781
rf0441      7.55582    0.0980854    0.0653906
rf0443      7.39234     0.130780    0.0980854
rf0448      7.13078    0.0653901    0.0653906
rf0450      7.35965     0.130781     0.130780
rf0452      7.09809    0.0326953     0.948158
rf0453      7.16348    0.0653901    0.0653901
rf0454      7.39234     0.163476    0.0653901
rf0455      7.00000      0.00000     0.294256
rf0456      7.16348    0.0653901    0.0653901
rf0459      7.55582    0.0653901    0.0653906
rf0460      7.03270    0.0326953    0.0980849
rf0461      7.45773    0.0326948    0.0653906
rf0462      7.32695    0.0980854    0.0980854
rf0463      7.09809    0.0980854     0.130780
rf0464      7.78468    0.0653906    0.0326948
rf0465      7.39234    0.0653901    0.0980854
rf0466      7.19617    0.0326953    0.0653901
rf0467      7.13078    0.0653901    0.0653906
rf0471      7.22887    0.0326948     0.196171
rf0473      7.06539    0.0326948    0.0980854
rf0474      7.49043    0.0326953    0.0326953
rf0476      7.26156    0.0653901     0.163476
rf0477      7.39234    0.0326948    0.0653901
rf0478      7.45773     0.196170     0.392342
rf0479      7.39234    0.0326948    0.0326953
rf0480      7.16348    0.0653901    0.0326953
rf0482      7.42504    0.0653901    0.0653901
rf0485      7.78468     0.130781    0.0980849
rf0487      7.35965    0.0980854    0.0980849
rf0488      7.16348    0.0326953    0.0653901
rf0496      7.52312    0.0326953    0.0653901
rf0497      7.71929     0.163476     0.261561
rf0498      7.45773    0.0653901    0.0980854
rf0499      7.26156    0.0326953    0.0980854
rf0500      7.06539    0.0326948     0.163476
rf0503      7.22887      0.00000    0.0326953
rf0505      7.35965    0.0980854    0.0980849
rf0507      7.16348    0.0326953    0.0653901
rf0510      7.09809    0.0653901    0.0653901
rf0511      7.22887    0.0326948     0.196171
rf0513      7.00000      0.00000    0.0980854
rf0518      7.55582    0.0980854     0.163476
rf0524      7.19617    0.0653906    0.0653901
rf0545      7.09809    0.0653901    0.0653901
rf0583      7.35965    0.0653901    0.0980849
rf0591      7.13078    0.0653901     0.130781
rf0607      7.45773    0.0653901    0.0326953
rf0622      7.45773    0.0653901    0.0980854
rf0630      7.65390    0.0653901    0.0980854
rf0632      7.26156    0.0980854     0.163476
rf0642      7.65390    0.0653901    0.0326953
rf0644      7.45773    0.0653901     0.196171
rf0663      7.52312    0.0326953    0.0653901
rf0684      7.00000      0.00000    0.0980854
rf0693      7.65390     0.130780    0.0653901
rf0695      7.39234     0.130780    0.0653901
rf0701      7.26156    0.0653901     0.130780
rf0707      7.06539    0.0326948    0.0653901
rf0713      7.22887    0.0653901    0.0980854
rf0730      7.03270    0.0326953    0.0653901
rf0739      7.39234     0.196170     0.130781
rf0745      7.94816     0.130781    0.0980854
rf0783      7.45773    0.0653901    0.0653906
rf0795      7.32695    0.0653901    0.0653901
rs0001      7.45773    0.0326948    0.0326953
rs0002      7.19617    0.0653906    0.0653901
rs0003      7.26156    0.0326953    0.0980854
rs0010      7.22887      0.00000     0.196171
rs0011      7.42504     0.163476    0.0326948
rs0012      7.26156    0.0326953     0.130780
rs0013      7.19617    0.0326953    0.0653901
rs0017      7.03270    0.0326953    0.0653901
rs0019      7.19617     0.163476    0.0980854
rs0020      7.42504    0.0653901    0.0653901
rs0023      7.29426     0.196171    0.0980849
rs0030      7.22887    0.0326948    0.0653906
rs0035      7.65390    0.0653901    0.0326953
rs0038      7.03270    0.0326953    0.0980849
rs0039      7.39234    0.0326948    0.0653901
rs0041      7.78468     0.228866    0.0980849
rs0042      7.26156    0.0653901     0.196170
rs0045      7.16348    0.0326953    0.0653901
rs0046      7.00000      0.00000    0.0980854
rs0047      7.42504    0.0980854    0.0653901
rs0048      7.09809    0.0653901     0.163476
rs0050      7.06539    0.0326948     0.130781
rs0051      7.06539    0.0326948    0.0653901
rs0052      7.16348    0.0653901    0.0653901
rs0054      7.32695    0.0653901    0.0653901
rs0062      7.35965    0.0326953    0.0326948
rs0063      7.13078    0.0326948    0.0326953
rs0064      7.06539    0.0326948     0.130781
rs0065      7.39234     0.196170    0.0653901
rs0068      7.22887    0.0653901     0.130781
rs0070      7.35965    0.0653901    0.0980849
rs0077      7.06539    0.0653901     0.261561
rs0081      7.26156    0.0326953    0.0653901
rs0082      7.45773    0.0653901    0.0653906
rs0083      7.52312    0.0653906    0.0653901
rs0084      7.13078    0.0326948    0.0653906
rs0085      7.16348    0.0326953    0.0653901
rs0087      7.29426    0.0980854    0.0980849
rs0088      7.35965    0.0653901    0.0326948
rs0089      7.00000      0.00000    0.0653901
rs0090      7.45773    0.0326948    0.0326953
rs0092      7.22887    0.0326948    0.0326953
rs0093      7.00000      0.00000    0.0980854
rs0094      7.16348    0.0326953    0.0326953
rs0095      7.45773    0.0326948    0.0326953
rs0096      7.03270    0.0326953     0.130780
rs0097      7.45773      0.00000    0.0326953
rs0098      7.03270    0.0326953    0.0653901
rs0099      7.13078    0.0980849     0.163476
rs0103      7.00000      0.00000     0.196171
rs0104      7.16348    0.0980854    0.0980854
rs0105      7.22887    0.0653901    0.0326953
rs0106      7.35965    0.0980854    0.0980849
rs0111      7.45773    0.0326948    0.0653906
rs0113      7.00000      0.00000    0.0980854
rs0118      7.19617    0.0653906     0.130780
rs0120      7.13078    0.0326948    0.0980854
rs0121      7.00000      0.00000     0.130780
rs0122      7.42504    0.0326953    0.0980854
rs0123      7.00000      0.00000      0.00000
rs0124      7.45773    0.0653901    0.0653906
rs0126      7.35965     0.163476    0.0653901
rs0127      7.22887    0.0326948    0.0653906
rs0128      7.09809    0.0653901     0.130780
rs0129      7.26156     0.196171     0.163476
rs0130      7.45773    0.0980849    0.0326953
rs0132      7.35965    0.0653901    0.0980849
rs0133      7.00000      0.00000    0.0326953
rs0134      7.00000      0.00000    0.0326953
rs0135      7.13078    0.0326948     0.163476
rs0137      7.13078      0.00000    0.0326953
rs0138      7.42504    0.0326953    0.0653901
rs0140      7.65390    0.0326948    0.0326953
rs0141      7.19617    0.0326953    0.0326948
rs0143      7.00000      0.00000     0.130780
rs0145      7.29426     0.130781    0.0980849
rs0146      7.42504    0.0326953    0.0326948
rs0147      7.16348    0.0326953    0.0326953
rs0148      7.16348    0.0980854     0.130781
rs0149      7.13078    0.0326948    0.0653906
rs0150      7.22887    0.0326948    0.0326953
rs0153      7.32695     0.228866     0.163476
rs0154      7.42504    0.0326953    0.0980854
rs0156      7.22887    0.0653901    0.0326953
rs0158      7.22887    0.0980854     0.163476
rs0163      7.09809    0.0326953    0.0653901
rs0165      7.22887    0.0326948     0.130781
rs0166      7.06539    0.0326948    0.0326953
rs0167      7.39234    0.0326948    0.0653901
rs0168      7.52312    0.0326953    0.0326948
rs0170      7.26156    0.0326953    0.0653901
rs0171      7.26156    0.0326953     0.130780
rs0172      7.09809    0.0326953    0.0653901
rs0174      7.39234     0.130780    0.0653901
rs0175      7.19617    0.0326953    0.0326948
rs0178      7.52312    0.0326953    0.0326948
rs0179      7.19617    0.0653906     0.163476
rs0180      7.19617    0.0653906     0.163476
rs0182      7.13078    0.0653901     0.130781
rs0183      7.03270    0.0326953    0.0653901
rs0184      7.39234     0.130780    0.0980854
rs0185      7.13078    0.0980849     0.163476
rs0188      7.32695     0.163476     0.130780
rs0189      7.00000      0.00000    0.0653901
rs0192      7.13078    0.0326948    0.0980854
rs0193      7.13078    0.0653901    0.0653906
rs0195      7.00000      0.00000     0.130780
rs0200      7.42504    0.0326953      0.00000
rs0201      7.06539    0.0653901     0.163476
rs0203      7.06539    0.0653901    0.0653901
rs0206      7.00000      0.00000    0.0980854
rs0209      7.22887    0.0980854    0.0980854
rs0210      7.45773    0.0980849    0.0326953
rs0211      7.06539    0.0653901     0.163476
rs0212      7.22887    0.0326948     0.163476
rs0215      7.35965    0.0980854    0.0653901
rs0218      7.22887    0.0326948    0.0326953
rs0220      7.52312    0.0326953    0.0326948
rs0221      7.06539    0.0326948    0.0980854
rs0224      7.00000      0.00000    0.0326953
rs0225      7.06539    0.0326948    0.0653901
rs0226      7.39234    0.0326948    0.0326953
rs0227      7.00000      0.00000     0.130780
rs0228      7.39234    0.0653901    0.0653901
rs0231      7.22887    0.0326948    0.0326953
rs0236      7.32695    0.0653901    0.0980854
rs0237      7.00000      0.00000    0.0326953
rs0240      7.19617     0.163476    0.0980854
rs0241      7.19617    0.0326953    0.0326948
rs0242      7.09809    0.0326953    0.0653901
rs0243      7.22887    0.0980854    0.0980854
rs0246      7.55582    0.0326948    0.0326953
rs0247      7.58851    0.0326953    0.0980854
rs0250      7.00000      0.00000    0.0653901
rs0251      7.19617     0.130781    0.0980854
rs0255      7.42504    0.0653901    0.0980854
rs0256      7.39234    0.0326948    0.0326953
rs0257      7.22887    0.0326948     0.163476
rs0259      7.13078      0.00000    0.0326953
rs0260      7.00000      0.00000     0.130780
rs0262      7.39234    0.0326948    0.0326953
rs0263      7.06539    0.0653901     0.130781
rs0264      7.49043    0.0326953      0.00000
rs0267      7.03270    0.0326953    0.0326948
rs0268      7.03270    0.0326953    0.0326948
rs0269      7.39234    0.0653901    0.0980854
rs0270      7.29426     0.261561    0.0980849
rs0273      7.22887    0.0653901    0.0326953
rs0274      7.19617    0.0326953     0.228866
rs0275      7.26156    0.0326953     0.163476
rs0276      7.22887    0.0653901    0.0326953
rs0277      7.39234    0.0653901    0.0653901
rs0280      7.00000      0.00000     0.163476
rs0282      7.13078    0.0326948    0.0653906
rs0283      7.19617    0.0326953    0.0326948
rs0284      7.49043    0.0653901    0.0326953
rs0288      7.03270    0.0326953     0.359646
rs0289      7.16348    0.0653901    0.0653901
rs0290      7.45773    0.0653901    0.0653906
rs0297      7.45773    0.0653901    0.0326953
rs0303      7.35965    0.0653901    0.0980849
rs0306      7.09809    0.0326953    0.0980854
rs0308      7.03270    0.0326953     0.163476
rs0313      7.03270    0.0326953     0.228866
rs0314      7.19617    0.0653906     0.130780
rs0316      7.03270    0.0326953    0.0653901
rs0318      7.71929    0.0326948    0.0653906
rs0320      7.09809    0.0326953    0.0653901
rs0323      7.13078    0.0326948    0.0326953
rs0325      7.16348    0.0653901     0.228866
rs0328      7.13078    0.0326948    0.0653906
rs0330      7.13078    0.0980849     0.196171
rs0331      7.13078    0.0326948    0.0326953
rs0334      7.13078    0.0326948    0.0326953
rs0336      7.22887    0.0326948     0.163476
rs0337      7.16348    0.0326953    0.0326953
rs0339      7.09809    0.0980854    0.0980854
rs0340      7.16348    0.0326953    0.0653901
rs0341      7.26156      0.00000    0.0980854
rs0343      7.52312    0.0653906    0.0326948
rs0344      7.42504    0.0326953    0.0326948
rs0345      7.42504    0.0326953    0.0653901
rs0349      7.52312    0.0326953    0.0326948
rs0350      7.45773    0.0653901    0.0326953
rs0354      7.49043    0.0326953    0.0653901
rs0358      7.03270      0.00000    0.0653901
rs0363      7.52312    0.0980854    0.0326948
rs0364      7.39234    0.0326948    0.0653901
rs0365      7.26156    0.0326953     0.163476
rs0367      7.49043    0.0653901    0.0326953
rs0371      7.03270    0.0326953    0.0980849
rs0372      7.52312    0.0653906    0.0653901
rs0373      7.26156    0.0326953     0.130780
rs0374      7.26156    0.0653901    0.0980854
rs0376      7.19617    0.0653906     0.130780
rs0377      7.06539    0.0326948    0.0980854
rs0380      7.45773    0.0326948    0.0653906
rs0384      7.26156    0.0326953     0.163476
rs0386      7.49043    0.0326953    0.0653901
rs0389      7.52312    0.0326953    0.0653901
rs0391      7.00000      0.00000    0.0653901
rs0392      7.75199    0.0653901    0.0326953
rs0393      7.19617    0.0326953    0.0326948
rs0394      7.55582    0.0326948    0.0326953
rs0401      7.00000      0.00000     0.130780
rs0408      7.49043    0.0326953    0.0653901
rs0409      7.06539    0.0326948    0.0980854
rs0410      7.45773    0.0653901    0.0980854
rs0411      7.39234    0.0326948    0.0653901
rs0416      7.39234    0.0326948    0.0326953
rs0417      7.55582    0.0326948    0.0980854
rs0418      7.49043    0.0653901      0.00000
rs0419      7.22887    0.0653901    0.0980854
rs0420      7.06539    0.0326948    0.0326953
rs0421      7.52312    0.0653906    0.0326948
rs0422      7.49043    0.0326953    0.0326953
rs0423      7.26156    0.0980854     0.130780
rs0424      7.45773    0.0653901    0.0326953
rs0425      7.09809      0.00000    0.0653901
rs0427      7.42504    0.0653901    0.0326948
rs0428      7.22887    0.0326948     0.196171
rs0429      7.39234    0.0326948    0.0980854
rs0430      7.35965    0.0326953    0.0653901
rs0432      8.37319     0.163476    0.0980854
rs0433      7.16348    0.0326953     0.130781
rs0435      7.19617    0.0653906    0.0653901
rs0437      7.55582    0.0326948    0.0653906
rs0442      7.39234    0.0326948    0.0980854
rs0444      7.26156    0.0326953    0.0980854
rs0449      7.06539    0.0326948    0.0980854
rs0452      7.16348    0.0326953    0.0980854
rs0453      7.35965     0.228866     0.163476
rs0454      7.06539    0.0326948    0.0653901
rs0456      7.19617    0.0326953    0.0653901
rs0458      7.00000      0.00000    0.0653901
rs0460      7.39234    0.0326948    0.0653901
rs0463      7.71929     0.130780     0.130781
rs0467      7.22887    0.0653901     0.130781
rs0468      7.19617    0.0326953    0.0980854
rs0469      7.58851    0.0653901     0.130780
rs0470      7.26156    0.0653901    0.0980854
rs0472      7.45773    0.0326948      0.00000
rs0473      7.52312    0.0326953    0.0653901
rs0476      7.09809    0.0326953     0.196171
rs0477      7.81738    0.0653901    0.0653901
rs0480      7.13078    0.0326948    0.0653906
rs0485      7.39234    0.0326948    0.0326953
rs0492      7.09809    0.0980854    0.0980854
rs0493      7.35965    0.0326953    0.0653901
