#Name 	 Z_Estimate 	 Err_down 	 Err_up
 rf0780 	 8.241738 	 0.098085 	 0.130780 
 rf0433 	 8.634079 	 0.359646 	 0.098085 
 rf0446 	 7.358970 	 0.000000 	 0.000000 
 rf0447 	 8.634079 	 0.032695 	 0.000000 
 rf0448 	 8.437908 	 0.065390 	 0.065390 
 rf0456 	 8.470603 	 0.065390 	 0.098085 
 rf0462 	 8.339823 	 0.098085 	 0.098085 
 rf0463 	 8.470603 	 0.032695 	 0.065390 
 rf0779 	 8.961030 	 0.301030 	 -0.301030 
 rf0376 	 8.470603 	 0.065390 	 0.032695 
 rf0377 	 8.961030 	 0.301030 	 -0.301030 
 rf0378 	 8.503298 	 0.098085 	 0.098085 
 rf0383 	 8.961030 	 0.301030 	 -0.301030 
 rf0384 	 8.339823 	 0.065390 	 0.098085 
 rf0706 	 8.470603 	 0.032695 	 0.032695 
 rf0707 	 8.274433 	 0.000000 	 0.000000 
 rf0386 	 8.961030 	 0.301030 	 -0.301030 
 rf0387 	 8.503298 	 0.098085 	 0.130780 
 rf0391 	 8.405213 	 0.065390 	 0.065390 
 rf0711 	 8.307128 	 0.000000 	 0.032695 
 rf0397 	 8.961030 	 0.301030 	 -0.301030 
 rf0398 	 8.470603 	 0.065390 	 0.098085 
 rf0399 	 8.405213 	 0.032695 	 0.065390 
 rf0400 	 8.961030 	 0.301030 	 -0.301030 
 rf0405 	 8.601384 	 0.000000 	 0.032695 
 rf0414 	 8.045567 	 0.000000 	 0.032695 
 rf0741 	 8.339823 	 0.130780 	 0.098085 
 rf0415 	 8.437908 	 0.032695 	 0.065390 
 rf0465 	 8.372518 	 0.065390 	 0.065390 
 rf0466 	 8.405213 	 0.032695 	 0.098085 
 rf0471 	 8.405213 	 0.065390 	 0.163476 
 rf0765 	 8.110957 	 0.065390 	 0.032695 
 rf0773 	 8.274433 	 0.098085 	 0.098085 
 rf0774 	 8.143652 	 0.065390 	 0.130780 
 rf0500 	 8.961030 	 0.301030 	 -0.301030 
 rf0781 	 8.339823 	 0.098085 	 0.098085 
 rf0782 	 8.176347 	 0.000000 	 0.032695 
 rf0720 	 8.961030 	 0.301030 	 -0.301030 
 rf0724 	 8.961030 	 0.301030 	 -0.301030 
 rf0402 	 8.961030 	 0.301030 	 -0.301030 
 rf0403 	 8.961030 	 0.301030 	 -0.301030 
 rf0365 	 8.961030 	 0.301030 	 -0.301030 
 rf0367 	 8.339823 	 0.032695 	 0.032695 
 rf0372 	 8.961030 	 0.301030 	 -0.301030 
 rf0374 	 8.372518 	 0.098085 	 0.130780 
 rf0375 	 8.634079 	 0.000000 	 0.000000 
 rf0388 	 8.961030 	 0.301030 	 -0.301030 
 rf0392 	 8.209043 	 0.032695 	 0.032695 
 rf0394 	 8.961030 	 0.301030 	 -0.301030 
 rf0395 	 8.961030 	 0.301030 	 -0.301030 
 rf0396 	 8.961030 	 0.301030 	 -0.301030 
 rf0719 	 8.961030 	 0.301030 	 -0.301030 
 rf0401 	 8.209043 	 0.098085 	 0.065390 
 rf0725 	 8.372518 	 0.098085 	 0.065390 
 rf0730 	 8.405213 	 0.032695 	 0.065390 
 rf0346 	 8.961030 	 0.130780 	 0.000000 
 rf0348 	 8.961030 	 0.301030 	 -0.301030 
 rf0688 	 8.339823 	 0.065390 	 0.065390 
 rf0689 	 8.372518 	 0.065390 	 0.098085 
 rf0351 	 8.274433 	 0.000000 	 0.032695 
 rf0353 	 8.110957 	 0.000000 	 0.000000 
 rf0690 	 8.110957 	 0.032695 	 0.032695 
 rf0692 	 8.274433 	 0.032695 	 0.032695 
 rf0354 	 8.961030 	 0.301030 	 -0.301030 
 rf0693 	 8.241738 	 0.098085 	 0.065390 
 rf0358 	 8.143652 	 0.032695 	 0.000000 
 rf0363 	 8.078262 	 0.000000 	 0.032695 
 rf0364 	 8.961030 	 0.301030 	 -0.301030 
 rf0366 	 8.961030 	 0.301030 	 -0.301030 
 rf0368 	 8.241738 	 0.000000 	 0.032695 
 rf0694 	 8.241738 	 0.032695 	 0.000000 
 rf0370 	 8.372518 	 0.032695 	 0.032695 
 rf0695 	 8.405213 	 0.065390 	 0.065390 
 rf0696 	 8.372518 	 0.065390 	 0.065390 
 rf0373 	 8.961030 	 0.301030 	 -0.301030 
 rf0697 	 8.307128 	 0.098085 	 0.098085 
 rf0701 	 8.372518 	 0.098085 	 0.098085 
 rf0702 	 8.143652 	 0.032695 	 0.065390 
 rf0381 	 8.372518 	 0.065390 	 0.130780 
 rf0703 	 8.241738 	 0.098085 	 0.065390 
 rf0385 	 8.405213 	 0.032695 	 0.065390 
 rf0776 	 8.339823 	 0.065390 	 0.065390 
 rf0495 	 8.437908 	 0.032695 	 0.065390 
 rf0496 	 8.241738 	 0.032695 	 0.032695 
 rf0777 	 8.274433 	 0.032695 	 0.032695 
 rf0778 	 8.307128 	 0.065390 	 0.032695 
 rf0499 	 8.339823 	 0.065390 	 0.032695 
 rf0502 	 8.372518 	 0.032695 	 0.065390 
 rf0503 	 8.372518 	 0.032695 	 0.032695 
 rf0784 	 8.176347 	 0.032695 	 0.032695 
 rf0785 	 8.405213 	 0.065390 	 0.065390 
 rf0789 	 8.176347 	 0.032695 	 0.032695 
 rf0505 	 8.372518 	 0.065390 	 0.098085 
 rf0506 	 8.503298 	 0.000000 	 0.065390 
 rf0792 	 8.339823 	 0.098085 	 0.098085 
 rf0507 	 8.437908 	 0.065390 	 0.130780 
 rf0510 	 8.961030 	 0.301030 	 -0.301030 
 rf0513 	 8.961030 	 0.301030 	 -0.301030 
 rf0795 	 8.241738 	 0.032695 	 0.000000 
 rf0796 	 8.961030 	 0.301030 	 -0.301030 
 rf0797 	 8.372518 	 0.098085 	 0.098085 
 rf0290 	 8.634079 	 0.032695 	 0.000000 
 rf0323 	 8.470603 	 0.065390 	 0.098085 
 rf0453 	 8.437908 	 0.065390 	 0.130780 
 rf0763 	 8.241738 	 0.065390 	 0.065390 
 rf0436 	 8.307128 	 0.130780 	 0.163476 
 rf0439 	 8.110957 	 0.032695 	 0.065390 
 rf0441 	 8.241738 	 0.065390 	 0.065390 
 rf0476 	 8.372518 	 0.065390 	 0.098085 
 rf0477 	 8.339823 	 0.065390 	 0.032695 
 rf0771 	 8.666774 	 0.163476 	 0.098085 
 rf0487 	 8.372518 	 0.065390 	 0.098085 
 rf0488 	 8.961030 	 0.301030 	 -0.301030 
 rf0756 	 8.176347 	 0.098085 	 0.098085 
 rf0413 	 8.405213 	 0.065390 	 0.098085 
 rf0723 	 8.372518 	 0.065390 	 0.098085 
 rf0427 	 8.437908 	 0.065390 	 0.098085 
 rf0464 	 8.078262 	 0.032695 	 0.000000 
 rf0430 	 8.307128 	 0.065390 	 0.098085 
 rf0761 	 8.241738 	 0.065390 	 0.032695 
 rf0750 	 8.307128 	 0.032695 	 0.065390 
 rf0432 	 8.405213 	 0.065390 	 0.098085 
 rf0434 	 8.274433 	 0.032695 	 0.065390 
 rf0788 	 8.405213 	 0.065390 	 0.065390 
 rf0712 	 8.307128 	 0.065390 	 0.098085 
 rf0729 	 8.339823 	 0.065390 	 0.098085 
 rf0731 	 8.339823 	 0.098085 	 0.130780 
 rf0419 	 8.078262 	 0.000000 	 0.032695 
 rf0425 	 8.470603 	 0.098085 	 0.130780 
 rf0753 	 8.209043 	 0.065390 	 0.098085 
 rf0435 	 8.961030 	 0.301030 	 -0.301030 
 rf0454 	 8.437908 	 0.065390 	 0.065390 
 rf0455 	 8.470603 	 0.065390 	 0.163476 
 rf0762 	 8.045567 	 0.065390 	 0.032695 
 rf0467 	 8.470603 	 0.098085 	 0.130780 
 rf0479 	 8.241738 	 0.032695 	 0.000000 
 rf0714 	 8.372518 	 0.032695 	 0.098085 
 rf0412 	 8.372518 	 0.032695 	 0.098085 
 rf0717 	 8.372518 	 0.032695 	 0.065390 
 rf0718 	 8.339823 	 0.065390 	 0.098085 
 rf0444 	 8.503298 	 0.000000 	 0.000000 
 rf0705 	 8.437908 	 0.065390 	 0.065390 
 rf0713 	 8.339823 	 0.098085 	 0.130780 
 rf0473 	 8.470603 	 0.065390 	 0.098085 
 rf0480 	 8.405213 	 0.065390 	 0.098085 
 rf0482 	 8.470603 	 0.065390 	 0.065390 
 rf0485 	 8.110957 	 0.032695 	 0.098085 
 rf0474 	 8.110957 	 0.000000 	 0.032695 
 rf0772 	 8.045567 	 0.032695 	 0.032695 
 rf0775 	 8.143652 	 0.032695 	 0.000000 
 rf0428 	 8.241738 	 0.000000 	 0.000000 
 rf0764 	 8.339823 	 0.098085 	 0.098085 
 rf0460 	 8.961030 	 0.301030 	 -0.301030 
 rf0461 	 8.176347 	 0.000000 	 0.000000 
 rf0791 	 8.307128 	 0.065390 	 0.130780 
 rf0728 	 8.241738 	 0.065390 	 0.163476 
 rf0745 	 8.078262 	 0.032695 	 0.032695 
 rf0748 	 8.961030 	 0.301030 	 -0.301030 
 rf0431 	 8.241738 	 0.065390 	 0.032695 
 rf0459 	 8.209043 	 0.032695 	 0.065390 
 rf0440 	 8.339823 	 0.065390 	 0.065390 
 rf0393 	 8.307128 	 0.065390 	 0.065390 
 rf0749 	 8.209043 	 0.065390 	 0.065390 
 rs0002 	 8.437908 	 0.065390 	 0.065390 
 rs0003 	 8.961030 	 0.301030 	 -0.301030 
 rs0004 	 8.274433 	 0.065390 	 0.032695 
 rs0005 	 8.961030 	 0.301030 	 -0.301030 
 rs1314 	 8.961030 	 0.301030 	 -0.301030 
 rs0006 	 8.176347 	 0.032695 	 0.000000 
 rs0007 	 8.372518 	 0.065390 	 0.065390 
 rs0009 	 8.176347 	 0.032695 	 0.065390 
 rs0010 	 8.437908 	 0.065390 	 0.032695 
 rs0011 	 8.405213 	 0.065390 	 0.065390 
 rs0012 	 8.274433 	 0.032695 	 0.000000 
 rs0013 	 8.372518 	 0.065390 	 0.065390 
 rs0014 	 8.437908 	 0.000000 	 0.000000 
 rs0015 	 8.961030 	 0.301030 	 -0.301030 
 rs0018 	 8.961030 	 1.602060 	 0.000000 
 rs0019 	 8.797554 	 0.130780 	 0.065390 
 rs0021 	 8.961030 	 0.301030 	 -0.301030 
 rs0022 	 8.961030 	 0.301030 	 -0.301030 
 rs0023 	 8.961030 	 0.301030 	 -0.301030 
 rs0029 	 8.601384 	 0.032695 	 0.065390 
 rs0030 	 8.274433 	 0.000000 	 0.000000 
 rs0032 	 7.358970 	 0.000000 	 1.602060 
 rs0035 	 8.078262 	 0.000000 	 0.000000 
 rs0037 	 8.274433 	 0.032695 	 0.032695 
 rs0039 	 8.274433 	 0.032695 	 0.032695 
 rs0040 	 8.437908 	 0.065390 	 0.098085 
 rs0041 	 8.470603 	 0.130780 	 0.228866 
 rs0042 	 8.339823 	 0.032695 	 0.032695 
 rs0043 	 8.176347 	 0.032695 	 0.065390 
 rs0044 	 8.535994 	 0.032695 	 0.000000 
 rs0045 	 8.405213 	 0.032695 	 0.098085 
 rs0046 	 8.961030 	 0.301030 	 -0.301030 
