#Name 	 Z_Estimate 	 Err_down 	 Err_up
 rf0780 	 7.358970 	 0.000000 	 0.948158 
 rf0433 	 8.274433 	 0.523122 	 0.490427 
 rf0446 	 8.928335 	 0.163476 	 0.032695 
 rf0447 	 8.797554 	 0.130780 	 0.098085 
 rf0448 	 8.307128 	 0.294256 	 0.425036 
 rf0456 	 8.078262 	 0.588512 	 0.392341 
 rf0462 	 7.555141 	 0.196171 	 0.653902 
 rf0463 	 8.862945 	 0.130780 	 0.065390 
 rf0779 	 8.437908 	 0.098085 	 0.228866 
 rf0376 	 8.339823 	 0.326951 	 0.392341 
 rf0377 	 8.895640 	 0.032695 	 0.032695 
 rf0378 	 8.405213 	 0.098085 	 0.228866 
 rf0383 	 8.928335 	 0.098085 	 0.032695 
 rf0384 	 7.391665 	 0.032695 	 0.621207 
 rf0706 	 8.666774 	 0.228866 	 0.130780 
 rf0707 	 8.470603 	 0.163476 	 0.163476 
 rf0386 	 8.601384 	 0.163476 	 0.130780 
 rf0387 	 8.568689 	 0.163476 	 0.196171 
 rf0391 	 7.718616 	 0.359646 	 0.555817 
 rf0711 	 7.947482 	 0.588512 	 1.013548 
 rf0397 	 8.764859 	 0.163476 	 0.065390 
 rf0398 	 8.732164 	 0.163476 	 0.098085 
 rf0399 	 8.307128 	 0.294256 	 0.359646 
 rf0400 	 8.961030 	 0.032695 	 0.000000 
 rf0405 	 8.797554 	 0.130780 	 0.098085 
 rf0414 	 7.620531 	 0.261561 	 0.653902 
 rf0741 	 7.587836 	 0.228866 	 0.653902 
 rf0415 	 8.634079 	 0.130780 	 0.130780 
 rf0465 	 8.045567 	 0.588512 	 0.359646 
 rf0466 	 8.307128 	 0.294256 	 0.392341 
 rf0471 	 8.176347 	 0.621207 	 0.392341 
 rf0765 	 7.358970 	 0.000000 	 0.719292 
 rf0773 	 7.358970 	 0.000000 	 0.719292 
 rf0774 	 7.391665 	 0.032695 	 0.817378 
 rf0500 	 8.241738 	 0.261561 	 0.098085 
 rf0781 	 7.489750 	 0.130780 	 0.621207 
 rf0782 	 7.882092 	 0.523122 	 0.490427 
 rf0720 	 8.307128 	 0.294256 	 0.326951 
 rf0724 	 7.947482 	 0.588512 	 1.013548 
 rf0402 	 7.947482 	 0.588512 	 1.013548 
 rf0403 	 8.405213 	 0.261561 	 0.261561 
 rf0365 	 7.358970 	 0.000000 	 0.817378 
 rf0367 	 7.358970 	 0.000000 	 0.751987 
 rf0372 	 8.372518 	 0.228866 	 0.098085 
 rf0374 	 8.307128 	 0.294256 	 0.261561 
 rf0375 	 8.307128 	 0.228866 	 0.228866 
 rf0388 	 8.601384 	 0.098085 	 0.065390 
 rf0392 	 7.587836 	 0.228866 	 0.621207 
 rf0394 	 8.928335 	 0.098085 	 0.000000 
 rf0395 	 8.928335 	 0.098085 	 0.032695 
 rf0396 	 8.601384 	 0.130780 	 0.326951 
 rf0719 	 8.961030 	 1.602060 	 0.000000 
 rf0401 	 7.358970 	 0.000000 	 0.621207 
 rf0725 	 7.424360 	 0.065390 	 0.686597 
 rf0730 	 8.634079 	 0.196171 	 0.130780 
 rf0346 	 8.961030 	 0.098085 	 0.000000 
 rf0348 	 8.797554 	 0.098085 	 0.032695 
 rf0688 	 8.078262 	 0.457731 	 0.294256 
 rf0689 	 7.947482 	 0.588512 	 1.013548 
 rf0351 	 8.307128 	 0.261561 	 0.228866 
 rf0353 	 8.209043 	 0.784682 	 0.163476 
 rf0690 	 7.358970 	 0.000000 	 0.719292 
 rf0692 	 7.457055 	 0.098085 	 0.751987 
 rf0354 	 8.961030 	 1.602060 	 0.000000 
 rf0693 	 7.391665 	 0.032695 	 0.850073 
 rf0358 	 8.241738 	 0.784682 	 0.261561 
 rf0363 	 7.947482 	 0.555817 	 0.359646 
 rf0364 	 8.535994 	 0.130780 	 0.130780 
 rf0366 	 7.947482 	 0.588512 	 1.013548 
 rf0368 	 7.947482 	 0.555817 	 0.359646 
 rf0694 	 8.274433 	 0.392341 	 0.490427 
 rf0370 	 8.110957 	 0.425036 	 0.326951 
 rf0695 	 7.358970 	 0.000000 	 0.915463 
 rf0696 	 7.947482 	 0.588512 	 1.013548 
 rf0373 	 8.961030 	 0.301030 	 -0.301030 
 rf0697 	 7.489750 	 0.130780 	 0.719292 
 rf0701 	 7.424360 	 0.065390 	 0.653902 
 rf0702 	 7.358970 	 0.000000 	 0.621207 
 rf0381 	 8.176347 	 0.621207 	 0.326951 
 rf0703 	 7.358970 	 0.000000 	 0.653902 
 rf0385 	 8.241738 	 0.425036 	 0.359646 
 rf0776 	 7.424360 	 0.065390 	 0.588512 
 rf0495 	 8.307128 	 0.228866 	 0.065390 
 rf0496 	 7.457055 	 0.098085 	 1.307804 
 rf0777 	 7.358970 	 0.000000 	 0.621207 
 rf0778 	 7.358970 	 0.000000 	 0.784682 
 rf0499 	 8.961030 	 1.602060 	 0.000000 
 rf0502 	 8.241738 	 0.882768 	 0.523122 
 rf0503 	 7.358970 	 0.000000 	 1.602060 
 rf0784 	 8.666774 	 0.653902 	 0.294256 
 rf0785 	 8.307128 	 0.261561 	 0.228866 
 rf0789 	 7.358970 	 0.000000 	 0.686597 
 rf0505 	 8.961030 	 1.602060 	 0.000000 
 rf0506 	 8.568689 	 0.425036 	 0.163476 
 rf0792 	 7.980177 	 0.555817 	 0.294256 
 rf0507 	 8.078262 	 0.621207 	 0.425036 
 rf0510 	 8.961030 	 0.301030 	 -0.301030 
 rf0513 	 8.764859 	 0.196171 	 0.065390 
 rf0795 	 7.358970 	 0.000000 	 0.621207 
 rf0796 	 7.424360 	 0.032695 	 0.130780 
 rf0797 	 7.522445 	 0.163476 	 0.653902 
 rf0290 	 8.895640 	 0.065390 	 0.032695 
 rf0323 	 8.470603 	 0.261561 	 0.392341 
 rf0453 	 8.110957 	 0.555817 	 0.457731 
 rf0763 	 7.457055 	 0.098085 	 0.784682 
 rf0436 	 8.012872 	 0.653902 	 0.392341 
 rf0439 	 7.358970 	 0.000000 	 0.686597 
 rf0441 	 7.620531 	 0.261561 	 0.653902 
 rf0476 	 8.045567 	 0.555817 	 0.392341 
 rf0477 	 8.176347 	 0.751987 	 0.588512 
 rf0771 	 8.699469 	 0.163476 	 0.098085 
 rf0487 	 8.961030 	 1.602060 	 0.000000 
 rf0488 	 7.947482 	 0.588512 	 1.013548 
 rf0756 	 7.358970 	 0.000000 	 0.653902 
 rf0413 	 8.339823 	 0.326951 	 0.359646 
 rf0723 	 8.045567 	 0.588512 	 0.359646 
 rf0427 	 8.568689 	 0.163476 	 0.130780 
 rf0464 	 7.947482 	 0.588512 	 0.326951 
 rf0430 	 7.718616 	 0.359646 	 0.523122 
 rf0761 	 7.424360 	 0.065390 	 0.653902 
 rf0750 	 8.045567 	 0.588512 	 0.359646 
 rf0432 	 8.110957 	 0.588512 	 0.359646 
 rf0434 	 7.980177 	 0.555817 	 0.326951 
 rf0788 	 7.555141 	 0.196171 	 0.686597 
 rf0712 	 8.241738 	 0.882768 	 0.555817 
 rf0729 	 8.307128 	 0.326951 	 0.392341 
 rf0731 	 7.358970 	 0.000000 	 0.686597 
 rf0419 	 7.685921 	 0.326951 	 0.588512 
 rf0425 	 8.372518 	 0.261561 	 0.425036 
 rf0753 	 7.391665 	 0.032695 	 0.653902 
 rf0435 	 8.437908 	 0.130780 	 0.065390 
 rf0454 	 8.012872 	 0.588512 	 0.326951 
 rf0455 	 8.307128 	 0.228866 	 0.032695 
 rf0762 	 7.358970 	 0.000000 	 0.915463 
 rf0467 	 8.209043 	 0.686597 	 0.457731 
 rf0479 	 7.522445 	 0.163476 	 0.751987 
 rf0714 	 8.012872 	 0.555817 	 0.294256 
 rf0412 	 8.307128 	 0.294256 	 0.294256 
 rf0717 	 8.045567 	 0.621207 	 0.392341 
 rf0718 	 8.274433 	 0.719292 	 0.163476 
 rf0444 	 8.405213 	 0.098085 	 0.065390 
 rf0705 	 8.209043 	 0.523122 	 0.326951 
 rf0713 	 7.718616 	 0.359646 	 0.555817 
 rf0473 	 8.339823 	 0.326951 	 0.490427 
 rf0480 	 7.489750 	 0.130780 	 0.784682 
 rf0482 	 7.947482 	 0.588512 	 1.013548 
 rf0485 	 7.391665 	 0.032695 	 0.653902 
 rf0474 	 7.947482 	 0.555817 	 0.359646 
 rf0772 	 7.358970 	 0.000000 	 0.588512 
 rf0775 	 7.358970 	 0.000000 	 0.392341 
 rf0428 	 7.980177 	 0.555817 	 0.196171 
 rf0764 	 7.555141 	 0.196171 	 0.653902 
 rf0460 	 8.830249 	 0.130780 	 0.065390 
 rf0461 	 8.241738 	 0.621207 	 0.294256 
 rf0791 	 7.424360 	 0.065390 	 0.719292 
 rf0728 	 7.980177 	 0.588512 	 0.326951 
 rf0745 	 7.358970 	 0.000000 	 0.555817 
 rf0748 	 8.961030 	 0.098085 	 0.000000 
 rf0431 	 7.391665 	 0.032695 	 0.621207 
 rf0459 	 7.489750 	 0.130780 	 0.653902 
 rf0440 	 8.241738 	 0.751987 	 0.555817 
 rf0393 	 7.424360 	 0.065390 	 0.686597 
 rf0749 	 7.391665 	 0.032695 	 0.653902 
 rs0002 	 8.339823 	 0.326951 	 0.359646 
 rs0003 	 8.961030 	 1.602060 	 0.000000 
 rs0004 	 7.980177 	 0.555817 	 0.261561 
 rs0005 	 8.241738 	 0.882768 	 0.359646 
 rs1314 	 8.503298 	 0.130780 	 0.163476 
 rs0006 	 8.241738 	 0.817378 	 0.523122 
 rs0007 	 8.012872 	 0.588512 	 0.326951 
 rs0009 	 7.489750 	 0.130780 	 0.653902 
 rs0010 	 8.078262 	 0.588512 	 0.294256 
 rs0011 	 7.914787 	 0.523122 	 0.326951 
 rs0012 	 8.307128 	 0.326951 	 0.392341 
 rs0013 	 8.274433 	 0.490427 	 0.425036 
 rs0014 	 8.274433 	 0.196171 	 0.163476 
 rs0015 	 7.358970 	 0.000000 	 0.686597 
 rs0018 	 8.895640 	 0.359646 	 0.065390 
 rs0019 	 8.699469 	 0.163476 	 0.098085 
 rs0021 	 7.358970 	 0.000000 	 1.602060 
 rs0022 	 8.503298 	 0.098085 	 0.065390 
 rs0023 	 8.634079 	 0.163476 	 0.098085 
 rs0029 	 8.797554 	 0.196171 	 0.065390 
 rs0030 	 8.372518 	 0.196171 	 0.163476 
 rs0032 	 8.961030 	 0.130780 	 0.000000 
 rs0035 	 7.718616 	 0.359646 	 0.555817 
 rs0037 	 7.489750 	 0.130780 	 0.653902 
 rs0039 	 7.620531 	 0.261561 	 0.588512 
 rs0040 	 8.045567 	 0.588512 	 0.457731 
 rs0041 	 8.110957 	 0.751987 	 0.457731 
 rs0042 	 8.307128 	 0.261561 	 0.523122 
 rs0043 	 7.947482 	 0.588512 	 1.013548 
 rs0044 	 8.503298 	 0.196171 	 0.326951 
 rs0045 	 7.489750 	 0.098085 	 0.490427 
 rs0046 	 8.895640 	 0.425036 	 0.032695 
 rs1315 	 8.274433 	 0.196171 	 0.130780 
 rs0048 	 8.634079 	 0.163476 	 0.130780 
 rs0049 	 8.961030 	 0.098085 	 0.000000 
 rs1316 	 8.568689 	 0.163476 	 0.228866 
 rs0050 	 8.732164 	 0.163476 	 0.098085 
 rs0051 	 8.797554 	 0.163476 	 0.065390 
 rs0052 	 8.470603 	 0.130780 	 0.098085 
 rs0053 	 8.928335 	 0.130780 	 0.032695 
 rs0054 	 8.012872 	 0.555817 	 0.392341 
 rs0055 	 8.862945 	 0.163476 	 0.065390 
 rs0056 	 8.307128 	 0.294256 	 0.392341 
