#Name 	 q_Estimate 	 Err_down 	 Err_up
 rf0780 	 7.000000 	 0.000000 	 0.098085 
 rf0433 	 7.163476 	 0.163476 	 0.425036 
 rf0446 	 8.307804 	 1.177024 	 0.294256 
 rf0447 	 7.686597 	 0.392341 	 0.294256 
 rf0448 	 7.163476 	 0.163476 	 0.196171 
 rf0456 	 7.196171 	 0.163476 	 0.326951 
 rf0462 	 7.228866 	 0.130780 	 0.130780 
 rf0463 	 7.425036 	 0.326951 	 0.294256 
 rf0779 	 7.294256 	 0.130780 	 0.196171 
 rf0376 	 7.425036 	 0.196171 	 0.326951 
 rf0377 	 7.588512 	 0.228866 	 0.294256 
 rf0378 	 7.065390 	 0.065390 	 0.196171 
 rf0383 	 7.523122 	 0.425036 	 0.523122 
 rf0384 	 7.228866 	 0.130780 	 0.294256 
 rf0706 	 7.326951 	 0.163476 	 0.163476 
 rf0707 	 7.228866 	 0.228866 	 0.457732 
 rf0386 	 7.196171 	 0.098085 	 0.196171 
 rf0387 	 7.163476 	 0.098085 	 0.196171 
 rf0391 	 7.130780 	 0.098085 	 0.163476 
 rf0711 	 7.000000 	 0.000000 	 0.425036 
 rf0397 	 7.980853 	 0.882768 	 0.392341 
 rf0398 	 7.621207 	 0.326951 	 0.359646 
 rf0399 	 7.196171 	 0.163476 	 0.294256 
 rf0400 	 7.555817 	 0.359646 	 0.294256 
 rf0405 	 7.751987 	 0.326951 	 0.523122 
 rf0414 	 7.948158 	 0.196171 	 0.261561 
 rf0741 	 7.294256 	 0.163476 	 0.163476 
 rf0415 	 7.326951 	 0.261561 	 0.196171 
 rf0465 	 7.359646 	 0.196171 	 0.196171 
 rf0466 	 7.196171 	 0.163476 	 0.294256 
 rf0471 	 7.294256 	 0.228866 	 0.326951 
 rf0765 	 7.850073 	 0.130780 	 0.261561 
 rf0773 	 7.490427 	 0.130780 	 0.196171 
 rf0774 	 7.392341 	 0.163476 	 0.196171 
 rf0500 	 7.000000 	 0.000000 	 0.359646 
 rf0781 	 7.163476 	 0.098085 	 0.130780 
 rf0782 	 7.555817 	 0.130780 	 0.228866 
 rf0720 	 7.261561 	 0.196171 	 0.261561 
 rf0724 	 7.000000 	 0.000000 	 0.425036 
 rf0402 	 7.000000 	 0.000000 	 0.425036 
 rf0403 	 7.653902 	 0.326951 	 0.163476 
 rf0365 	 7.000000 	 0.000000 	 0.065390 
 rf0367 	 7.359646 	 0.065390 	 0.163476 
 rf0372 	 7.359646 	 0.326951 	 0.163476 
 rf0374 	 7.163476 	 0.130780 	 0.196171 
 rf0375 	 7.000000 	 0.000000 	 0.196171 
 rf0388 	 8.013548 	 0.457732 	 0.588512 
 rf0392 	 7.555817 	 0.163476 	 0.163476 
 rf0394 	 7.817378 	 0.490427 	 0.326951 
 rf0395 	 7.555817 	 0.326951 	 0.425036 
 rf0396 	 7.784683 	 0.490427 	 0.817378 
 rf0719 	 7.000000 	 0.000000 	 0.457732 
 rf0401 	 7.490427 	 0.098085 	 0.163476 
 rf0725 	 7.261561 	 0.098085 	 0.163476 
 rf0730 	 7.228866 	 0.228866 	 0.261561 
 rf0346 	 7.980853 	 0.980853 	 0.621207 
 rf0348 	 7.980853 	 0.392341 	 0.490427 
 rf0688 	 7.228866 	 0.130780 	 0.228866 
 rf0689 	 7.000000 	 0.000000 	 0.457732 
 rf0351 	 7.359646 	 0.130780 	 0.163476 
 rf0353 	 7.751987 	 0.228866 	 0.098085 
 rf0690 	 7.653902 	 0.130780 	 0.196171 
 rf0692 	 7.425036 	 0.130780 	 0.163476 
 rf0354 	 7.000000 	 0.000000 	 0.490427 
 rf0693 	 7.523122 	 0.130780 	 0.228866 
 rf0358 	 7.784683 	 0.228866 	 0.163476 
 rf0363 	 7.751987 	 0.130780 	 0.196171 
 rf0364 	 7.261561 	 0.163476 	 0.261561 
 rf0366 	 7.000000 	 0.000000 	 0.425036 
 rf0368 	 7.392341 	 0.130780 	 0.130780 
 rf0694 	 7.719292 	 0.163476 	 0.490427 
 rf0370 	 7.261561 	 0.098085 	 0.196171 
 rf0695 	 7.000000 	 0.000000 	 0.130780 
 rf0696 	 7.000000 	 0.000000 	 0.425036 
 rf0373 	 8.602060 	 8.602060 	 -8.602060 
 rf0697 	 7.392341 	 0.163476 	 0.163476 
